================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
       0.894 kb        0.340 kb        0.034 kb        0.000       10  (B) xAOD::EventShapeAuxInfo_v1_TopoClusterIsoCentralEventShapeAuxDyn.DensitySigma
       0.894 kb        0.340 kb        0.034 kb        0.000       10  (B) xAOD::EventShapeAuxInfo_v1_TopoClusterIsoForwardEventShapeAuxDyn.DensitySigma
       0.991 kb        0.340 kb        0.034 kb        0.000        1  (T) DataHeader
       1.037 kb        0.341 kb        0.034 kb        0.000       10  (B) DataVector<xAOD::JetRoI_v2>_LVL1JetRoIs
       1.141 kb        0.342 kb        0.034 kb        0.000       10  (B) LArFebErrorSummary_p1_LArFebErrorSummary
       1.014 kb        0.342 kb        0.034 kb        0.000       10  (B) DataVector<xAOD::Photon_v1>_Photons
       0.896 kb        0.342 kb        0.034 kb        0.000       10  (B) xAOD::EventShapeAuxInfo_v1_ParticleFlowIsoCentralEventShapeAuxDyn.DensitySigma
       0.896 kb        0.342 kb        0.034 kb        0.000       10  (B) xAOD::EventShapeAuxInfo_v1_ParticleFlowIsoForwardEventShapeAuxDyn.DensitySigma
       1.025 kb        0.343 kb        0.034 kb        0.000       10  (B) xAOD::MissingETContainer_v1_MET_Track
       1.072 kb        0.344 kb        0.034 kb        0.000       10  (B) xAOD::MissingETContainer_v1_MET_EMTopoRegions
       1.049 kb        0.344 kb        0.034 kb        0.000       10  (B) DataVector<xAOD::JEMTobRoI_v1>_JEMTobRoIs
       1.037 kb        0.346 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::Electron_v1>_Electrons
       1.090 kb        0.346 kb        0.035 kb        0.000       10  (B) MuonFeatureContainer_p3_HLT_MuonFeatureContainer
       0.888 kb        0.346 kb        0.035 kb        0.000       10  (B) xAOD::EventShapeAuxInfo_v1_NeutralParticleFlowIsoCentralEventShapeAuxDyn.Density
       0.888 kb        0.346 kb        0.035 kb        0.000       10  (B) xAOD::EventShapeAuxInfo_v1_NeutralParticleFlowIsoForwardEventShapeAuxDyn.Density
       1.037 kb        0.347 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::CMXCPTob_v1>_CMXCPTobs
       1.043 kb        0.348 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::CMXEtSums_v1>_CMXEtSums
       1.049 kb        0.348 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::CMXJetTob_v1>_CMXJetTobs
       1.037 kb        0.348 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::CPMTower_v2>_CPMTowers
       1.102 kb        0.350 kb        0.035 kb        0.000       10  (B) ZdcRawChannelCollection_p1_ZdcRawChannelCollection
       1.061 kb        0.351 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::Jet_v1>_AntiKt10LCTopoJets
       1.096 kb        0.352 kb        0.035 kb        0.000       10  (B) xAOD::MissingETContainer_v1_MET_LocHadTopoRegions
       1.072 kb        0.352 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::JEMTobRoI_v1>_JEMTobRoIsRoIB
       1.043 kb        0.352 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::JEMEtSums_v2>_JEMEtSums
       1.049 kb        0.352 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::CPMTobRoI_v1>_CPMTobRoIs
       1.055 kb        0.352 kb        0.035 kb        0.000       10  (B) DataVector<xAOD::Jet_v1>_CamKt12LCTopoJets
