Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:08 2016 UTC-Fri Oct 21 01:06:08 2016 UTC (0.001 )  Time stamp start 1477011968487049640 end 1477011968486049640  Run 311071, LB 135, lumi 11.65
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:09 2016 UTC-Fri Oct 21 01:06:09 2016 UTC (0.000 )  Time stamp start 1477011969135033850 end 1477011969135033550  Run 311071, LB 135, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:09 2016 UTC-Fri Oct 21 01:06:09 2016 UTC (0.001 )  Time stamp start 1477011969792082185 end 1477011969791082185  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:10 2016 UTC-Fri Oct 21 01:06:10 2016 UTC (0.001 )  Time stamp start 1477011970756341685 end 1477011970755341685  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:11 2016 UTC-Fri Oct 21 01:06:11 2016 UTC (0.001 )  Time stamp start 1477011971481602790 end 1477011971480602790  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972200111920 end 1477011972199111920  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:12 2016 UTC-Fri Oct 21 01:06:12 2016 UTC (0.001 )  Time stamp start 1477011972482679300 end 1477011972481679300  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:13 2016 UTC-Fri Oct 21 01:06:13 2016 UTC (0.001 )  Time stamp start 1477011973081160505 end 1477011973080160355  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:14 2016 UTC-Fri Oct 21 01:06:14 2016 UTC (0.001 )  Time stamp start 1477011974553883230 end 1477011974552883230  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:15 2016 UTC-Fri Oct 21 01:06:15 2016 UTC (0.001 )  Time stamp start 1477011975307431360 end 1477011975306431360  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:06:16 2016 UTC-Fri Oct 21 01:06:16 2016 UTC (0.001 )  Time stamp start 1477011976016204565 end 1477011976015204565  Run 311071, LB 135, lumi 11.65
Event Veto ['NoiseBurst'], Fri Oct 21 01:06:23 2016 UTC-Fri Oct 21 01:06:23 2016 UTC (0.000 )  Time stamp start 1477011983199897550 end 1477011983199896675  Run 311071, LB 135, lumi 0.01
Event Veto ['NoiseBurst'], Fri Oct 21 01:07:30 2016 UTC-Fri Oct 21 01:07:30 2016 UTC (0.017 )  Time stamp start 1477012050068933295 end 1477012050052025660  Run 311071, LB 136, lumi 199.86
Event Veto ['NoiseBurst'], Fri Oct 21 01:07:50 2016 UTC-Fri Oct 21 01:07:50 2016 UTC (0.014 )  Time stamp start 1477012070457895320 end 1477012070443696760  Run 311071, LB 137, lumi 169.32
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:02 2016 UTC-Fri Oct 21 01:08:02 2016 UTC (0.001 )  Time stamp start 1477012082242761825 end 1477012082241761825  Run 311071, LB 137, lumi 11.93
Event Veto ['NoiseBurst'], Fri Oct 21 01:08:35 2016 UTC-Fri Oct 21 01:08:35 2016 UTC (0.010 )  Time stamp start 1477012115443644175 end 1477012115433624040  Run 311071, LB 138, lumi 112.67
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:43 2016 UTC-Fri Oct 21 01:08:43 2016 UTC (0.001 )  Time stamp start 1477012123025751895 end 1477012123024751895  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:43 2016 UTC-Fri Oct 21 01:08:43 2016 UTC (0.001 )  Time stamp start 1477012123817743880 end 1477012123816743880  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:44 2016 UTC-Fri Oct 21 01:08:44 2016 UTC (0.001 )  Time stamp start 1477012124469837435 end 1477012124468837435  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:45 2016 UTC-Fri Oct 21 01:08:45 2016 UTC (0.001 )  Time stamp start 1477012125172667370 end 1477012125171667370  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:08:45 2016 UTC-Fri Oct 21 01:08:45 2016 UTC (0.001 )  Time stamp start 1477012125861579340 end 1477012125860579340  Run 311071, LB 138, lumi 11.24
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:04 2016 UTC-Fri Oct 21 01:12:04 2016 UTC (0.001 )  Time stamp start 1477012324018643060 end 1477012324017643060  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:04 2016 UTC-Fri Oct 21 01:12:04 2016 UTC (0.001 )  Time stamp start 1477012324657079055 end 1477012324656079055  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:16 2016 UTC-Fri Oct 21 01:12:16 2016 UTC (0.001 )  Time stamp start 1477012336128884190 end 1477012336127884190  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:17 2016 UTC-Fri Oct 21 01:12:17 2016 UTC (0.001 )  Time stamp start 1477012337231448590 end 1477012337230448590  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:18 2016 UTC-Fri Oct 21 01:12:18 2016 UTC (0.001 )  Time stamp start 1477012338098932105 end 1477012338097932105  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:19 2016 UTC-Fri Oct 21 01:12:19 2016 UTC (0.001 )  Time stamp start 1477012339190394820 end 1477012339189394820  Run 311071, LB 141, lumi 12.08
