Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311170 to 311170
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311170 to run 311170  lasting from Fri Oct 21 18:53:49 2016 UTC to Sat Oct 22 12:39:09 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:03 2016 UTC-Fri Oct 21 20:24:03 2016 UTC (0.001 )  Time stamp start 1477081443245389535 end 1477081443244389535  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:04 2016 UTC-Fri Oct 21 20:24:04 2016 UTC (0.001 )  Time stamp start 1477081444230784345 end 1477081444229784345  Run 311170, LB 97, lumi 11.50
Event Veto ['NoiseBurst'], Fri Oct 21 20:24:06 2016 UTC-Fri Oct 21 20:24:06 2016 UTC (0.004 )  Time stamp start 1477081446569877740 end 1477081446565377740  Run 311170, LB 97, lumi 51.77
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:18 2016 UTC-Fri Oct 21 20:24:18 2016 UTC (0.001 )  Time stamp start 1477081458087276285 end 1477081458086276285  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:19 2016 UTC-Fri Oct 21 20:24:19 2016 UTC (0.001 )  Time stamp start 1477081459571942130 end 1477081459570942130  Run 311170, LB 97, lumi 11.50
Event Veto ['NoiseBurst'], Fri Oct 21 20:24:22 2016 UTC-Fri Oct 21 20:24:22 2016 UTC (0.010 )  Time stamp start 1477081462243735115 end 1477081462233717495  Run 311170, LB 98, lumi 117.40
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:23 2016 UTC-Fri Oct 21 20:24:23 2016 UTC (0.001 )  Time stamp start 1477081463799916155 end 1477081463798915955  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:34 2016 UTC-Fri Oct 21 20:24:34 2016 UTC (0.001 )  Time stamp start 1477081474391090745 end 1477081474390539285  Run 311170, LB 98, lumi 6.46
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:36 2016 UTC-Fri Oct 21 20:24:36 2016 UTC (0.001 )  Time stamp start 1477081476719552460 end 1477081476718552460  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:39 2016 UTC-Fri Oct 21 20:24:39 2016 UTC (0.001 )  Time stamp start 1477081479653062995 end 1477081479652062995  Run 311170, LB 98, lumi 11.72
Event Veto ['NoiseBurst'], Fri Oct 21 20:24:51 2016 UTC-Fri Oct 21 20:24:51 2016 UTC (0.010 )  Time stamp start 1477081491388375920 end 1477081491378375770  Run 311170, LB 98, lumi 117.20
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:01 2016 UTC-Fri Oct 21 20:25:01 2016 UTC (0.001 )  Time stamp start 1477081501926336840 end 1477081501925336840  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:03 2016 UTC-Fri Oct 21 20:25:03 2016 UTC (0.001 )  Time stamp start 1477081503366354780 end 1477081503365354780  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:05 2016 UTC-Fri Oct 21 20:25:05 2016 UTC (0.001 )  Time stamp start 1477081505223220465 end 1477081505222220465  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:07 2016 UTC-Fri Oct 21 20:25:07 2016 UTC (0.001 )  Time stamp start 1477081507819715175 end 1477081507818715175  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:17 2016 UTC-Fri Oct 21 20:25:17 2016 UTC (0.001 )  Time stamp start 1477081517143056655 end 1477081517142056655  Run 311170, LB 98, lumi 11.72
Event Veto ['NoiseBurst'], Fri Oct 21 20:25:40 2016 UTC-Fri Oct 21 20:25:40 2016 UTC (0.010 )  Time stamp start 1477081540136699430 end 1477081540126688650  Run 311170, LB 99, lumi 118.41
Event Veto ['NoiseBurst'], Fri Oct 21 20:26:05 2016 UTC-Fri Oct 21 20:26:05 2016 UTC (0.010 )  Time stamp start 1477081565665040580 end 1477081565655037090  Run 311170, LB 99, lumi 118.32
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:26:06 2016 UTC-Fri Oct 21 20:26:06 2016 UTC (0.001 )  Time stamp start 1477081566861602120 end 1477081566860602120  Run 311170, LB 99, lumi 11.83
Event Veto ['NoiseBurst'], Fri Oct 21 20:26:08 2016 UTC-Fri Oct 21 20:26:08 2016 UTC (0.000 )  Time stamp start 1477081568757147635 end 1477081568756818285  Run 311170, LB 99, lumi 3.90
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:26:10 2016 UTC-Fri Oct 21 20:26:10 2016 UTC (0.001 )  Time stamp start 1477081570277202145 end 1477081570276201845  Run 311170, LB 99, lumi 11.83
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:27:57 2016 UTC-Fri Oct 21 20:27:57 2016 UTC (0.001 )  Time stamp start 1477081677872770680 end 1477081677871770680  Run 311170, LB 101, lumi 10.70
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:28:09 2016 UTC-Fri Oct 21 20:28:09 2016 UTC (0.001 )  Time stamp start 1477081689278248665 end 1477081689277248665  Run 311170, LB 101, lumi 10.70
Event Veto ['NoiseBurst'], Fri Oct 21 20:28:13 2016 UTC-Fri Oct 21 20:28:13 2016 UTC (0.010 )  Time stamp start 1477081693979086650 end 1477081693969068785  Run 311170, LB 101, lumi 107.19
