Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310341 to 310341
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310341 to run 310341  lasting from Mon Oct 10 12:37:17 2016 UTC to Tue Oct 11 07:08:26 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:29 2016 UTC-Mon Oct 10 14:06:29 2016 UTC (0.010 )  Time stamp start 1476108389398873935 end 1476108389388873760  Run 310341, LB 94, lumi 91.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:29 2016 UTC-Mon Oct 10 14:06:29 2016 UTC (0.010 )  Time stamp start 1476108389745813195 end 1476108389735813195  Run 310341, LB 94, lumi 91.61
Event Veto ['NoiseBurst'], Mon Oct 10 14:06:31 2016 UTC-Mon Oct 10 14:06:31 2016 UTC (0.010 )  Time stamp start 1476108391048402270 end 1476108391038401900  Run 310341, LB 94, lumi 91.61
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Oct 10 14:06:40 2016 UTC-Mon Oct 10 14:06:40 2016 UTC (0.010 )  Time stamp start 1476108400449306700 end 1476108400439289110  Run 310341, LB 94, lumi 91.77
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:41 2016 UTC-Mon Oct 10 14:06:41 2016 UTC (0.010 )  Time stamp start 1476108401249436380 end 1476108401239436380  Run 310341, LB 94, lumi 91.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:42 2016 UTC-Mon Oct 10 14:06:42 2016 UTC (0.000 )  Time stamp start 1476108402075804215 end 1476108402075804065  Run 310341, LB 94, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:43 2016 UTC-Mon Oct 10 14:06:43 2016 UTC (0.010 )  Time stamp start 1476108403038139620 end 1476108403028139620  Run 310341, LB 94, lumi 91.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:43 2016 UTC-Mon Oct 10 14:06:43 2016 UTC (0.017 )  Time stamp start 1476108403945237485 end 1476108403928039595  Run 310341, LB 94, lumi 157.55
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:44 2016 UTC-Mon Oct 10 14:06:44 2016 UTC (0.010 )  Time stamp start 1476108404099311275 end 1476108404089311275  Run 310341, LB 94, lumi 91.61
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:44 2016 UTC-Mon Oct 10 14:06:44 2016 UTC (0.010 )  Time stamp start 1476108404389444140 end 1476108404379444140  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:46 2016 UTC-Mon Oct 10 14:06:46 2016 UTC (0.010 )  Time stamp start 1476108406774396680 end 1476108406764396680  Run 310341, LB 95, lumi 103.43
Event Veto ['NoiseBurst'], Mon Oct 10 14:06:47 2016 UTC-Mon Oct 10 14:06:47 2016 UTC (0.015 )  Time stamp start 1476108407110027345 end 1476108407094734195  Run 310341, LB 95, lumi 158.17
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:47 2016 UTC-Mon Oct 10 14:06:47 2016 UTC (0.010 )  Time stamp start 1476108407277198825 end 1476108407267198825  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:47 2016 UTC-Mon Oct 10 14:06:47 2016 UTC (0.010 )  Time stamp start 1476108407660419955 end 1476108407650255780  Run 310341, LB 95, lumi 105.12
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:47 2016 UTC-Mon Oct 10 14:06:47 2016 UTC (0.010 )  Time stamp start 1476108407883308780 end 1476108407873308780  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:48 2016 UTC-Mon Oct 10 14:06:48 2016 UTC (0.010 )  Time stamp start 1476108408126576100 end 1476108408116576100  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:48 2016 UTC-Mon Oct 10 14:06:48 2016 UTC (0.010 )  Time stamp start 1476108408532046850 end 1476108408522046850  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:48 2016 UTC-Mon Oct 10 14:06:48 2016 UTC (0.010 )  Time stamp start 1476108408747236230 end 1476108408737236230  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:48 2016 UTC-Mon Oct 10 14:06:48 2016 UTC (0.010 )  Time stamp start 1476108408981688875 end 1476108408971688875  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:49 2016 UTC-Mon Oct 10 14:06:49 2016 UTC (0.010 )  Time stamp start 1476108409376999190 end 1476108409366999190  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:49 2016 UTC-Mon Oct 10 14:06:49 2016 UTC (0.010 )  Time stamp start 1476108409745347335 end 1476108409735347335  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:49 2016 UTC-Mon Oct 10 14:06:49 2016 UTC (0.010 )  Time stamp start 1476108409972038950 end 1476108409962038950  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:50 2016 UTC-Mon Oct 10 14:06:50 2016 UTC (0.010 )  Time stamp start 1476108410296588720 end 1476108410286588720  Run 310341, LB 95, lumi 103.43
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:50 2016 UTC-Mon Oct 10 14:06:50 2016 UTC (0.017 )  Time stamp start 1476108410850741655 end 1476108410834015285  Run 310341, LB 95, lumi 173.00
Event Veto ['MiniNoiseBurst'], Mon Oct 10 14:06:51 2016 UTC-Mon Oct 10 14:06:51 2016 UTC (0.010 )  Time stamp start 1476108411151912580 end 1476108411141912580  Run 310341, LB 95, lumi 103.43
