Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310738 to 310738
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310738 to run 310738  lasting from Sun Oct 16 18:18:32 2016 UTC to Mon Oct 17 10:22:54 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:06 2016 UTC-Sun Oct 16 19:53:06 2016 UTC (0.001 )  Time stamp start 1476647586126316085 end 1476647586125316085  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:07 2016 UTC-Sun Oct 16 19:53:07 2016 UTC (0.001 )  Time stamp start 1476647587791558000 end 1476647587790558000  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:09 2016 UTC-Sun Oct 16 19:53:09 2016 UTC (0.001 )  Time stamp start 1476647589419452750 end 1476647589418452550  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:11 2016 UTC-Sun Oct 16 19:53:11 2016 UTC (0.001 )  Time stamp start 1476647591250584650 end 1476647591249584650  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:13 2016 UTC-Sun Oct 16 19:53:13 2016 UTC (0.001 )  Time stamp start 1476647593148471810 end 1476647593147471810  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:16 2016 UTC-Sun Oct 16 19:53:16 2016 UTC (0.001 )  Time stamp start 1476647596493469035 end 1476647596492469035  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:17 2016 UTC-Sun Oct 16 19:53:17 2016 UTC (0.001 )  Time stamp start 1476647597907491560 end 1476647597906491560  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:20 2016 UTC-Sun Oct 16 19:53:20 2016 UTC (0.001 )  Time stamp start 1476647600046884685 end 1476647600045884685  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:22 2016 UTC-Sun Oct 16 19:53:22 2016 UTC (0.001 )  Time stamp start 1476647602121212670 end 1476647602120212670  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:24 2016 UTC-Sun Oct 16 19:53:24 2016 UTC (0.001 )  Time stamp start 1476647604153540725 end 1476647604152540725  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:25 2016 UTC-Sun Oct 16 19:53:25 2016 UTC (0.001 )  Time stamp start 1476647605908123405 end 1476647605907123405  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:27 2016 UTC-Sun Oct 16 19:53:27 2016 UTC (0.001 )  Time stamp start 1476647607292972950 end 1476647607291972825  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:28 2016 UTC-Sun Oct 16 19:53:28 2016 UTC (0.001 )  Time stamp start 1476647608326214575 end 1476647608325214575  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:29 2016 UTC-Sun Oct 16 19:53:29 2016 UTC (0.001 )  Time stamp start 1476647609566226620 end 1476647609564745595  Run 310738, LB 100, lumi 19.21
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:30 2016 UTC-Sun Oct 16 19:53:30 2016 UTC (0.001 )  Time stamp start 1476647610936178405 end 1476647610934900925  Run 310738, LB 100, lumi 16.57
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:32 2016 UTC-Sun Oct 16 19:53:32 2016 UTC (0.001 )  Time stamp start 1476647612063474460 end 1476647612062474460  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:33 2016 UTC-Sun Oct 16 19:53:33 2016 UTC (0.001 )  Time stamp start 1476647613043684385 end 1476647613042684385  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:34 2016 UTC-Sun Oct 16 19:53:34 2016 UTC (0.001 )  Time stamp start 1476647614760263995 end 1476647614759263995  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:36 2016 UTC-Sun Oct 16 19:53:36 2016 UTC (0.001 )  Time stamp start 1476647616391402890 end 1476647616390402890  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:36 2016 UTC-Sun Oct 16 19:53:36 2016 UTC (0.001 )  Time stamp start 1476647616857822315 end 1476647616856822315  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:37 2016 UTC-Sun Oct 16 19:53:37 2016 UTC (0.001 )  Time stamp start 1476647617973440280 end 1476647617972440105  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:39 2016 UTC-Sun Oct 16 19:53:39 2016 UTC (0.001 )  Time stamp start 1476647619378182025 end 1476647619377182025  Run 310738, LB 100, lumi 12.97
Event Veto ['MiniNoiseBurst'], Sun Oct 16 19:53:41 2016 UTC-Sun Oct 16 19:53:41 2016 UTC (0.001 )  Time stamp start 1476647621580294925 end 1476647621579294925  Run 310738, LB 100, lumi 12.97
