Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310473 to 310473
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310473 to run 310473  lasting from Thu Oct 13 03:34:48 2016 UTC to Thu Oct 13 12:06:59 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:57:59 2016 UTC-Thu Oct 13 04:57:59 2016 UTC (0.010 )  Time stamp start 1476334679471967755 end 1476334679461967755  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:00 2016 UTC-Thu Oct 13 04:58:00 2016 UTC (0.020 )  Time stamp start 1476334680563738605 end 1476334680544033765  Run 310473, LB 90, lumi 250.13
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:01 2016 UTC-Thu Oct 13 04:58:01 2016 UTC (0.010 )  Time stamp start 1476334681341119275 end 1476334681331119275  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:01 2016 UTC-Thu Oct 13 04:58:01 2016 UTC (0.010 )  Time stamp start 1476334681925154190 end 1476334681915154190  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:03 2016 UTC-Thu Oct 13 04:58:03 2016 UTC (0.015 )  Time stamp start 1476334683161881475 end 1476334683146470810  Run 310473, LB 90, lumi 195.62
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:04 2016 UTC-Thu Oct 13 04:58:04 2016 UTC (0.010 )  Time stamp start 1476334684109295225 end 1476334684099295225  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:05 2016 UTC-Thu Oct 13 04:58:05 2016 UTC (0.011 )  Time stamp start 1476334685289903455 end 1476334685279181805  Run 310473, LB 90, lumi 136.10
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:06 2016 UTC-Thu Oct 13 04:58:06 2016 UTC (0.010 )  Time stamp start 1476334686011334490 end 1476334686001334490  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:07 2016 UTC-Thu Oct 13 04:58:07 2016 UTC (0.018 )  Time stamp start 1476334687274507115 end 1476334687256132545  Run 310473, LB 90, lumi 233.24
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:07 2016 UTC-Thu Oct 13 04:58:07 2016 UTC (0.016 )  Time stamp start 1476334687983781195 end 1476334687968254805  Run 310473, LB 90, lumi 197.09
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:08 2016 UTC-Thu Oct 13 04:58:08 2016 UTC (0.010 )  Time stamp start 1476334688825220620 end 1476334688815220620  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:09 2016 UTC-Thu Oct 13 04:58:09 2016 UTC (0.010 )  Time stamp start 1476334689874330765 end 1476334689864330765  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:11 2016 UTC-Thu Oct 13 04:58:11 2016 UTC (0.015 )  Time stamp start 1476334691551420895 end 1476334691536617505  Run 310473, LB 90, lumi 187.91
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:12 2016 UTC-Thu Oct 13 04:58:12 2016 UTC (0.011 )  Time stamp start 1476334692874804220 end 1476334692863415535  Run 310473, LB 90, lumi 144.57
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:13 2016 UTC-Thu Oct 13 04:58:13 2016 UTC (0.015 )  Time stamp start 1476334693915915310 end 1476334693900683315  Run 310473, LB 90, lumi 193.35
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:14 2016 UTC-Thu Oct 13 04:58:14 2016 UTC (0.010 )  Time stamp start 1476334694939164115 end 1476334694929164115  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:15 2016 UTC-Thu Oct 13 04:58:15 2016 UTC (0.010 )  Time stamp start 1476334695430490890 end 1476334695420490890  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:18 2016 UTC-Thu Oct 13 04:58:18 2016 UTC (0.026 )  Time stamp start 1476334698226951725 end 1476334698201080335  Run 310473, LB 90, lumi 328.41
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:19 2016 UTC-Thu Oct 13 04:58:19 2016 UTC (0.010 )  Time stamp start 1476334699930694435 end 1476334699920694435  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:21 2016 UTC-Thu Oct 13 04:58:21 2016 UTC (0.018 )  Time stamp start 1476334701038374820 end 1476334701020188580  Run 310473, LB 90, lumi 230.85
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:21 2016 UTC-Thu Oct 13 04:58:21 2016 UTC (0.010 )  Time stamp start 1476334701698723770 end 1476334701688723770  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:22 2016 UTC-Thu Oct 13 04:58:22 2016 UTC (0.010 )  Time stamp start 1476334702642630395 end 1476334702632630395  Run 310473, LB 90, lumi 126.94
Event Veto ['MiniNoiseBurst'], Thu Oct 13 04:58:23 2016 UTC-Thu Oct 13 04:58:23 2016 UTC (0.010 )  Time stamp start 1476334703402745080 end 1476334703392745080  Run 310473, LB 90, lumi 126.94
