Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:53 2017 UTC-Wed Jun 28 17:33:53 2017 UTC (0.001 )  Time stamp start 1498671233776183130 end 1498671233775183130  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:54 2017 UTC-Wed Jun 28 17:33:54 2017 UTC (0.001 )  Time stamp start 1498671234284938290 end 1498671234283938290  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:56 2017 UTC-Wed Jun 28 17:33:56 2017 UTC (0.001 )  Time stamp start 1498671236257055175 end 1498671236256055175  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:57 2017 UTC-Wed Jun 28 17:33:57 2017 UTC (0.001 )  Time stamp start 1498671237515812675 end 1498671237514812675  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:33:58 2017 UTC-Wed Jun 28 17:33:58 2017 UTC (0.001 )  Time stamp start 1498671238792598960 end 1498671238791598960  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:00 2017 UTC-Wed Jun 28 17:34:00 2017 UTC (0.001 )  Time stamp start 1498671240518162470 end 1498671240517162470  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:01 2017 UTC-Wed Jun 28 17:34:01 2017 UTC (0.001 )  Time stamp start 1498671241495460035 end 1498671241494460035  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:02 2017 UTC-Wed Jun 28 17:34:02 2017 UTC (0.001 )  Time stamp start 1498671242928086440 end 1498671242927086440  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:03 2017 UTC-Wed Jun 28 17:34:03 2017 UTC (0.001 )  Time stamp start 1498671243667476055 end 1498671243666476055  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:04 2017 UTC-Wed Jun 28 17:34:04 2017 UTC (0.001 )  Time stamp start 1498671244498498365 end 1498671244497498365  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:04 2017 UTC-Wed Jun 28 17:34:04 2017 UTC (0.001 )  Time stamp start 1498671244846581690 end 1498671244845545240  Run 328263, LB 106, lumi 8.16
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:07 2017 UTC-Wed Jun 28 17:34:07 2017 UTC (0.001 )  Time stamp start 1498671247282783855 end 1498671247281783855  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:09 2017 UTC-Wed Jun 28 17:34:09 2017 UTC (0.001 )  Time stamp start 1498671249711806220 end 1498671249710806220  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:10 2017 UTC-Wed Jun 28 17:34:10 2017 UTC (0.001 )  Time stamp start 1498671250734649865 end 1498671250733649865  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:11 2017 UTC-Wed Jun 28 17:34:11 2017 UTC (0.001 )  Time stamp start 1498671251471660230 end 1498671251470660230  Run 328263, LB 106, lumi 7.88
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:34:13 2017 UTC-Wed Jun 28 17:34:13 2017 UTC (0.001 )  Time stamp start 1498671253105454595 end 1498671253104454595  Run 328263, LB 106, lumi 7.88
