Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:20 2016 UTC-Wed Oct 19 04:07:20 2016 UTC (0.001 )  Time stamp start 1476850040099056775 end 1476850040098056775  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:36 2016 UTC-Wed Oct 19 04:07:36 2016 UTC (0.001 )  Time stamp start 1476850056032556215 end 1476850056031556215  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:37 2016 UTC-Wed Oct 19 04:07:37 2016 UTC (0.001 )  Time stamp start 1476850057394547500 end 1476850057393547500  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:38 2016 UTC-Wed Oct 19 04:07:38 2016 UTC (0.001 )  Time stamp start 1476850058220731700 end 1476850058219731700  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:38 2016 UTC-Wed Oct 19 04:07:38 2016 UTC (0.001 )  Time stamp start 1476850058982206875 end 1476850058981206875  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:40 2016 UTC-Wed Oct 19 04:07:40 2016 UTC (0.000 )  Time stamp start 1476850060405134010 end 1476850060405133710  Run 310872, LB 150, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:41 2016 UTC-Wed Oct 19 04:07:41 2016 UTC (0.001 )  Time stamp start 1476850061602628955 end 1476850061601628955  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:43 2016 UTC-Wed Oct 19 04:07:43 2016 UTC (0.001 )  Time stamp start 1476850063165564695 end 1476850063164564695  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:44 2016 UTC-Wed Oct 19 04:07:44 2016 UTC (0.001 )  Time stamp start 1476850064360743040 end 1476850064359743040  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:46 2016 UTC-Wed Oct 19 04:07:46 2016 UTC (0.001 )  Time stamp start 1476850066024773515 end 1476850066023773515  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:46 2016 UTC-Wed Oct 19 04:07:46 2016 UTC (0.001 )  Time stamp start 1476850066882400635 end 1476850066881400635  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:06 2016 UTC-Wed Oct 19 04:08:06 2016 UTC (0.001 )  Time stamp start 1476850086253565305 end 1476850086252565305  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:07 2016 UTC-Wed Oct 19 04:08:07 2016 UTC (0.001 )  Time stamp start 1476850087134890385 end 1476850087133890385  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:08 2016 UTC-Wed Oct 19 04:08:08 2016 UTC (0.001 )  Time stamp start 1476850088635224840 end 1476850088634224120  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:08:09 2016 UTC-Wed Oct 19 04:08:09 2016 UTC (0.001 )  Time stamp start 1476850089994437240 end 1476850089993437240  Run 310872, LB 151, lumi 12.62
