Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328263 to 328263
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328263 to run 328263  lasting from Wed Jun 28 15:53:15 2017 UTC to Thu Jun 29 03:38:13 2017 UTC
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:35 2017 UTC-Wed Jun 28 17:31:35 2017 UTC (0.001 )  Time stamp start 1498671095336042945 end 1498671095335042945  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:37 2017 UTC-Wed Jun 28 17:31:37 2017 UTC (0.001 )  Time stamp start 1498671097106100985 end 1498671097105100985  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:37 2017 UTC-Wed Jun 28 17:31:37 2017 UTC (0.001 )  Time stamp start 1498671097611719715 end 1498671097610719715  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:40 2017 UTC-Wed Jun 28 17:31:40 2017 UTC (0.001 )  Time stamp start 1498671100881286810 end 1498671100880286810  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:41 2017 UTC-Wed Jun 28 17:31:41 2017 UTC (0.001 )  Time stamp start 1498671101751229755 end 1498671101750229755  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:42 2017 UTC-Wed Jun 28 17:31:42 2017 UTC (0.001 )  Time stamp start 1498671102586976410 end 1498671102585976410  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:44 2017 UTC-Wed Jun 28 17:31:44 2017 UTC (0.001 )  Time stamp start 1498671104242646010 end 1498671104241646010  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:45 2017 UTC-Wed Jun 28 17:31:45 2017 UTC (0.001 )  Time stamp start 1498671105109063610 end 1498671105108063610  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:46 2017 UTC-Wed Jun 28 17:31:46 2017 UTC (0.001 )  Time stamp start 1498671106330917395 end 1498671106329917395  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:47 2017 UTC-Wed Jun 28 17:31:47 2017 UTC (0.001 )  Time stamp start 1498671107326679630 end 1498671107325679630  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:48 2017 UTC-Wed Jun 28 17:31:48 2017 UTC (0.001 )  Time stamp start 1498671108736156965 end 1498671108735156965  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:50 2017 UTC-Wed Jun 28 17:31:50 2017 UTC (0.001 )  Time stamp start 1498671110196720390 end 1498671110195720390  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:51 2017 UTC-Wed Jun 28 17:31:51 2017 UTC (0.001 )  Time stamp start 1498671111271743290 end 1498671111270743290  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:52 2017 UTC-Wed Jun 28 17:31:52 2017 UTC (0.001 )  Time stamp start 1498671112697746025 end 1498671112696746025  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:53 2017 UTC-Wed Jun 28 17:31:53 2017 UTC (0.001 )  Time stamp start 1498671113622092930 end 1498671113621092930  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:53 2017 UTC-Wed Jun 28 17:31:53 2017 UTC (0.001 )  Time stamp start 1498671113980174895 end 1498671113979174895  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:54 2017 UTC-Wed Jun 28 17:31:54 2017 UTC (0.001 )  Time stamp start 1498671114968441550 end 1498671114967441550  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:55 2017 UTC-Wed Jun 28 17:31:55 2017 UTC (0.001 )  Time stamp start 1498671115549433945 end 1498671115548433945  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:56 2017 UTC-Wed Jun 28 17:31:56 2017 UTC (0.001 )  Time stamp start 1498671116078860345 end 1498671116077860345  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:57 2017 UTC-Wed Jun 28 17:31:57 2017 UTC (0.001 )  Time stamp start 1498671117467659205 end 1498671117466659205  Run 328263, LB 104, lumi 7.89
Event Veto ['MiniNoiseBurst'], Wed Jun 28 17:31:58 2017 UTC-Wed Jun 28 17:31:58 2017 UTC (0.001 )  Time stamp start 1498671118082271770 end 1498671118081271770  Run 328263, LB 104, lumi 7.89
