Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:03:46 2016 UTC-Fri Oct 21 01:03:46 2016 UTC (0.001 )  Time stamp start 1477011826641081355 end 1477011826640081355  Run 311071, LB 132, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:11 2016 UTC-Fri Oct 21 01:05:11 2016 UTC (0.001 )  Time stamp start 1477011911401365660 end 1477011911400365660  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:12 2016 UTC-Fri Oct 21 01:05:12 2016 UTC (0.001 )  Time stamp start 1477011912700108995 end 1477011912699108995  Run 311071, LB 134, lumi 5.30
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Oct 21 01:05:20 2016 UTC-Fri Oct 21 01:05:20 2016 UTC (0.001 )  Time stamp start 1477011920915844690 end 1477011920914844690  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:30 2016 UTC-Fri Oct 21 01:05:30 2016 UTC (0.001 )  Time stamp start 1477011930375121530 end 1477011930374121530  Run 311071, LB 134, lumi 5.30
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:31 2016 UTC-Fri Oct 21 01:05:31 2016 UTC (0.001 )  Time stamp start 1477011931966702820 end 1477011931965702820  Run 311071, LB 134, lumi 5.30
Event Veto ['NoiseBurst'], Fri Oct 21 01:05:32 2016 UTC-Fri Oct 21 01:05:32 2016 UTC (0.010 )  Time stamp start 1477011932957785795 end 1477011932947780980  Run 311071, LB 134, lumi 53.01
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:34 2016 UTC-Fri Oct 21 01:05:34 2016 UTC (0.001 )  Time stamp start 1477011934412503910 end 1477011934411503910  Run 311071, LB 135, lumi 11.65
Event Veto ['NoiseBurst'], Fri Oct 21 01:05:35 2016 UTC-Fri Oct 21 01:05:35 2016 UTC (0.009 )  Time stamp start 1477011935078396550 end 1477011935069125220  Run 311071, LB 135, lumi 107.97
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:35 2016 UTC-Fri Oct 21 01:05:35 2016 UTC (0.001 )  Time stamp start 1477011935754892525 end 1477011935753892525  Run 311071, LB 135, lumi 11.65
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:05:36 2016 UTC-Fri Oct 21 01:05:36 2016 UTC (0.001 )  Time stamp start 1477011936308295800 end 1477011936307295800  Run 311071, LB 135, lumi 11.65
