Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:41 2016 UTC-Fri Oct 14 18:29:41 2016 UTC (0.001 )  Time stamp start 1476469781214806365 end 1476469781213806365  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:42 2016 UTC-Fri Oct 14 18:29:42 2016 UTC (0.000 )  Time stamp start 1476469782748811385 end 1476469782748811235  Run 310634, LB 32, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:15 2016 UTC-Fri Oct 14 18:30:15 2016 UTC (0.001 )  Time stamp start 1476469815750342995 end 1476469815749342995  Run 310634, LB 33, lumi 13.01
Event Veto ['NoiseBurst'], Fri Oct 14 18:30:16 2016 UTC-Fri Oct 14 18:30:16 2016 UTC (0.000 )  Time stamp start 1476469816713260750 end 1476469816713151215  Run 310634, LB 33, lumi 1.43
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:18 2016 UTC-Fri Oct 14 18:30:18 2016 UTC (0.001 )  Time stamp start 1476469818580340040 end 1476469818579339865  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:19 2016 UTC-Fri Oct 14 18:30:19 2016 UTC (0.001 )  Time stamp start 1476469819984703535 end 1476469819983703535  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:21 2016 UTC-Fri Oct 14 18:30:21 2016 UTC (0.001 )  Time stamp start 1476469821582146285 end 1476469821581146285  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:22 2016 UTC-Fri Oct 14 18:30:22 2016 UTC (0.001 )  Time stamp start 1476469822430487710 end 1476469822429487710  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:24 2016 UTC-Fri Oct 14 18:30:24 2016 UTC (0.001 )  Time stamp start 1476469824566901300 end 1476469824565901300  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:27 2016 UTC-Fri Oct 14 18:30:27 2016 UTC (0.001 )  Time stamp start 1476469827293841860 end 1476469827292841860  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:28 2016 UTC-Fri Oct 14 18:30:28 2016 UTC (0.001 )  Time stamp start 1476469828162856445 end 1476469828161856445  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:30 2016 UTC-Fri Oct 14 18:30:30 2016 UTC (0.001 )  Time stamp start 1476469830370722140 end 1476469830369722140  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:40 2016 UTC-Fri Oct 14 18:30:40 2016 UTC (0.001 )  Time stamp start 1476469840077224155 end 1476469840076224155  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:41 2016 UTC-Fri Oct 14 18:30:41 2016 UTC (0.001 )  Time stamp start 1476469841376070025 end 1476469841375069725  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:43 2016 UTC-Fri Oct 14 18:30:43 2016 UTC (0.001 )  Time stamp start 1476469843269642205 end 1476469843268642205  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:44 2016 UTC-Fri Oct 14 18:30:44 2016 UTC (0.001 )  Time stamp start 1476469844673922735 end 1476469844672922735  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:47 2016 UTC-Fri Oct 14 18:30:47 2016 UTC (0.001 )  Time stamp start 1476469847120063680 end 1476469847119063680  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:02 2016 UTC-Fri Oct 14 18:31:02 2016 UTC (0.001 )  Time stamp start 1476469862578921995 end 1476469862577921995  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:03 2016 UTC-Fri Oct 14 18:31:03 2016 UTC (0.001 )  Time stamp start 1476469863212114810 end 1476469863211114810  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:05 2016 UTC-Fri Oct 14 18:31:05 2016 UTC (0.001 )  Time stamp start 1476469865211829230 end 1476469865210829230  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:06 2016 UTC-Fri Oct 14 18:31:06 2016 UTC (0.001 )  Time stamp start 1476469866810743000 end 1476469866809743000  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:08 2016 UTC-Fri Oct 14 18:31:08 2016 UTC (0.001 )  Time stamp start 1476469868386199985 end 1476469868385199985  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:11 2016 UTC-Fri Oct 14 18:31:11 2016 UTC (0.001 )  Time stamp start 1476469871162888680 end 1476469871161888680  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:13 2016 UTC-Fri Oct 14 18:31:13 2016 UTC (0.001 )  Time stamp start 1476469873463561770 end 1476469873462561770  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:14 2016 UTC-Fri Oct 14 18:31:14 2016 UTC (0.001 )  Time stamp start 1476469874505060815 end 1476469874504060695  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:16 2016 UTC-Fri Oct 14 18:31:16 2016 UTC (0.001 )  Time stamp start 1476469876159340305 end 1476469876158340305  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:18 2016 UTC-Fri Oct 14 18:31:18 2016 UTC (0.001 )  Time stamp start 1476469878281661740 end 1476469878280661740  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:19 2016 UTC-Fri Oct 14 18:31:19 2016 UTC (0.001 )  Time stamp start 1476469879054488825 end 1476469879053488825  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:20 2016 UTC-Fri Oct 14 18:31:20 2016 UTC (0.001 )  Time stamp start 1476469880524726715 end 1476469880523726715  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:22 2016 UTC-Fri Oct 14 18:31:22 2016 UTC (0.001 )  Time stamp start 1476469882669395705 end 1476469882668395705  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:24 2016 UTC-Fri Oct 14 18:31:24 2016 UTC (0.001 )  Time stamp start 1476469884342215610 end 1476469884341215460  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:25 2016 UTC-Fri Oct 14 18:31:25 2016 UTC (0.001 )  Time stamp start 1476469885510603745 end 1476469885509603745  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:26 2016 UTC-Fri Oct 14 18:31:26 2016 UTC (0.001 )  Time stamp start 1476469886578400270 end 1476469886577400270  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:28 2016 UTC-Fri Oct 14 18:31:28 2016 UTC (0.001 )  Time stamp start 1476469888729245070 end 1476469888728245070  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:29 2016 UTC-Fri Oct 14 18:31:29 2016 UTC (0.001 )  Time stamp start 1476469889687206270 end 1476469889686206270  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:30 2016 UTC-Fri Oct 14 18:31:30 2016 UTC (0.001 )  Time stamp start 1476469890719688815 end 1476469890718688815  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:32 2016 UTC-Fri Oct 14 18:31:32 2016 UTC (0.001 )  Time stamp start 1476469892763405565 end 1476469892762405565  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:17 2016 UTC-Fri Oct 14 18:32:17 2016 UTC (0.001 )  Time stamp start 1476469937560483575 end 1476469937559483575  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:19 2016 UTC-Fri Oct 14 18:32:19 2016 UTC (0.001 )  Time stamp start 1476469939450536080 end 1476469939449536080  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:21 2016 UTC-Fri Oct 14 18:32:21 2016 UTC (0.001 )  Time stamp start 1476469941108866195 end 1476469941107866195  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:23 2016 UTC-Fri Oct 14 18:32:23 2016 UTC (0.001 )  Time stamp start 1476469943592800225 end 1476469943591800225  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:24 2016 UTC-Fri Oct 14 18:32:24 2016 UTC (0.001 )  Time stamp start 1476469944469426355 end 1476469944468426355  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:25 2016 UTC-Fri Oct 14 18:32:25 2016 UTC (0.001 )  Time stamp start 1476469945570107085 end 1476469945569107085  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:27 2016 UTC-Fri Oct 14 18:32:27 2016 UTC (0.001 )  Time stamp start 1476469947273757750 end 1476469947272757750  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:28 2016 UTC-Fri Oct 14 18:32:28 2016 UTC (0.001 )  Time stamp start 1476469948883295120 end 1476469948882295120  Run 310634, LB 35, lumi 13.05
