Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310691 to 310691
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310691 to run 310691  lasting from Sat Oct 15 19:43:20 2016 UTC to Sun Oct 16 09:08:14 2016 UTC
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:08 2016 UTC-Sat Oct 15 21:34:08 2016 UTC (0.001 )  Time stamp start 1476567248638874965 end 1476567248637874965  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:09 2016 UTC-Sat Oct 15 21:34:09 2016 UTC (0.001 )  Time stamp start 1476567249252909810 end 1476567249251909810  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:09 2016 UTC-Sat Oct 15 21:34:09 2016 UTC (0.001 )  Time stamp start 1476567249729017890 end 1476567249728017890  Run 310691, LB 116, lumi 5.60
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:15 2016 UTC-Sat Oct 15 21:34:15 2016 UTC (0.001 )  Time stamp start 1476567255592631765 end 1476567255591631765  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:16 2016 UTC-Sat Oct 15 21:34:16 2016 UTC (0.001 )  Time stamp start 1476567256108851275 end 1476567256107851275  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:17 2016 UTC-Sat Oct 15 21:34:17 2016 UTC (0.001 )  Time stamp start 1476567257281140525 end 1476567257280140375  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:17 2016 UTC-Sat Oct 15 21:34:17 2016 UTC (0.001 )  Time stamp start 1476567257973960525 end 1476567257972960525  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:18 2016 UTC-Sat Oct 15 21:34:18 2016 UTC (0.001 )  Time stamp start 1476567258406868970 end 1476567258405868970  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:19 2016 UTC-Sat Oct 15 21:34:19 2016 UTC (0.001 )  Time stamp start 1476567259154473185 end 1476567259153473185  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:19 2016 UTC-Sat Oct 15 21:34:19 2016 UTC (0.002 )  Time stamp start 1476567259492931575 end 1476567259491380960  Run 310691, LB 117, lumi 19.18
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:20 2016 UTC-Sat Oct 15 21:34:20 2016 UTC (0.001 )  Time stamp start 1476567260109406080 end 1476567260108406080  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:20 2016 UTC-Sat Oct 15 21:34:20 2016 UTC (0.001 )  Time stamp start 1476567260932869730 end 1476567260931869730  Run 310691, LB 117, lumi 12.37
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:21 2016 UTC-Sat Oct 15 21:34:21 2016 UTC (0.001 )  Time stamp start 1476567261493998255 end 1476567261492514160  Run 310691, LB 117, lumi 18.36
Event Veto ['MiniNoiseBurst'], Sat Oct 15 21:34:21 2016 UTC-Sat Oct 15 21:34:21 2016 UTC (0.001 )  Time stamp start 1476567261974838515 end 1476567261973838515  Run 310691, LB 117, lumi 12.37
