Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329964 to 329964
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329964 to run 329964  lasting from Tue Jul 18 03:24:44 2017 UTC to Tue Jul 18 09:36:45 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:51 2017 UTC-Tue Jul 18 04:55:51 2017 UTC (0.001 )  Time stamp start 1500353751014027940 end 1500353751013027940  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:52 2017 UTC-Tue Jul 18 04:55:52 2017 UTC (0.001 )  Time stamp start 1500353752240712820 end 1500353752239712820  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:53 2017 UTC-Tue Jul 18 04:55:53 2017 UTC (0.002 )  Time stamp start 1500353753072375215 end 1500353753070833460  Run 329964, LB 96, lumi 19.50
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:53 2017 UTC-Tue Jul 18 04:55:53 2017 UTC (0.001 )  Time stamp start 1500353753576422550 end 1500353753575422550  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:54 2017 UTC-Tue Jul 18 04:55:54 2017 UTC (0.001 )  Time stamp start 1500353754978345455 end 1500353754977345455  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:56 2017 UTC-Tue Jul 18 04:55:56 2017 UTC (0.001 )  Time stamp start 1500353756116854840 end 1500353756115854840  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:57 2017 UTC-Tue Jul 18 04:55:57 2017 UTC (0.001 )  Time stamp start 1500353757093222670 end 1500353757092222670  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:58 2017 UTC-Tue Jul 18 04:55:58 2017 UTC (0.001 )  Time stamp start 1500353758623475860 end 1500353758622475860  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:55:59 2017 UTC-Tue Jul 18 04:55:59 2017 UTC (0.001 )  Time stamp start 1500353759774482000 end 1500353759773482000  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:00 2017 UTC-Tue Jul 18 04:56:00 2017 UTC (0.001 )  Time stamp start 1500353760749672105 end 1500353760748672105  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:01 2017 UTC-Tue Jul 18 04:56:01 2017 UTC (0.001 )  Time stamp start 1500353761134522795 end 1500353761133522795  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:02 2017 UTC-Tue Jul 18 04:56:02 2017 UTC (0.001 )  Time stamp start 1500353762282314580 end 1500353762281314580  Run 329964, LB 96, lumi 12.65
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:03 2017 UTC-Tue Jul 18 04:56:03 2017 UTC (0.001 )  Time stamp start 1500353763897102425 end 1500353763896102425  Run 329964, LB 96, lumi 12.65
