Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:12 2016 UTC-Fri Oct 14 18:30:12 2016 UTC (0.002 )  Time stamp start 1476469812092199150 end 1476469812090609465  Run 310634, LB 33, lumi 20.68
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:12 2016 UTC-Fri Oct 14 18:30:12 2016 UTC (0.001 )  Time stamp start 1476469812824093025 end 1476469812823093025  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:27 2016 UTC-Fri Oct 14 18:30:27 2016 UTC (0.000 )  Time stamp start 1476469827026118525 end 1476469827026118350  Run 310634, LB 33, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:32 2016 UTC-Fri Oct 14 18:30:32 2016 UTC (0.001 )  Time stamp start 1476469832248818920 end 1476469832247818920  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:33 2016 UTC-Fri Oct 14 18:30:33 2016 UTC (0.001 )  Time stamp start 1476469833263458120 end 1476469833262458120  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:34 2016 UTC-Fri Oct 14 18:30:34 2016 UTC (0.001 )  Time stamp start 1476469834412202510 end 1476469834411202510  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:36 2016 UTC-Fri Oct 14 18:30:36 2016 UTC (0.002 )  Time stamp start 1476469836639274835 end 1476469836637649220  Run 310634, LB 33, lumi 21.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:37 2016 UTC-Fri Oct 14 18:30:37 2016 UTC (0.001 )  Time stamp start 1476469837902353145 end 1476469837901353145  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:38 2016 UTC-Fri Oct 14 18:30:38 2016 UTC (0.001 )  Time stamp start 1476469838961488200 end 1476469838960488200  Run 310634, LB 33, lumi 13.01
Event Veto ['NoiseBurst'], Fri Oct 14 18:30:44 2016 UTC-Fri Oct 14 18:30:44 2016 UTC (0.010 )  Time stamp start 1476469844590882390 end 1476469844580853375  Run 310634, LB 33, lumi 130.49
Event Veto ['NoiseBurst'], Fri Oct 14 18:30:47 2016 UTC-Fri Oct 14 18:30:47 2016 UTC (0.004 )  Time stamp start 1476469847906600190 end 1476469847902541105  Run 310634, LB 33, lumi 52.81
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:49 2016 UTC-Fri Oct 14 18:30:49 2016 UTC (0.001 )  Time stamp start 1476469849767348805 end 1476469849766348805  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:51 2016 UTC-Fri Oct 14 18:30:51 2016 UTC (0.001 )  Time stamp start 1476469851845763700 end 1476469851844763700  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:53 2016 UTC-Fri Oct 14 18:30:53 2016 UTC (0.001 )  Time stamp start 1476469853047381350 end 1476469853046381350  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:53 2016 UTC-Fri Oct 14 18:30:53 2016 UTC (0.001 )  Time stamp start 1476469853812158755 end 1476469853811158755  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:54 2016 UTC-Fri Oct 14 18:30:54 2016 UTC (0.001 )  Time stamp start 1476469854693075640 end 1476469854692075640  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:56 2016 UTC-Fri Oct 14 18:30:56 2016 UTC (0.001 )  Time stamp start 1476469856698377180 end 1476469856696987525  Run 310634, LB 33, lumi 18.08
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:58 2016 UTC-Fri Oct 14 18:30:58 2016 UTC (0.001 )  Time stamp start 1476469858350674955 end 1476469858349674955  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:00 2016 UTC-Fri Oct 14 18:31:00 2016 UTC (0.001 )  Time stamp start 1476469860033106465 end 1476469860032106465  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:01 2016 UTC-Fri Oct 14 18:31:01 2016 UTC (0.001 )  Time stamp start 1476469861096379275 end 1476469861095378975  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:02 2016 UTC-Fri Oct 14 18:31:02 2016 UTC (0.001 )  Time stamp start 1476469862346372390 end 1476469862345372390  Run 310634, LB 34, lumi 13.15
