Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:37:50 2016 UTC-Sun Oct  9 12:37:50 2016 UTC (0.000 )  Time stamp start 1476016670200830265 end 1476016670200829090  Run 310249, LB 172, lumi 0.01
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:27 2016 UTC-Sun Oct  9 12:38:27 2016 UTC (0.010 )  Time stamp start 1476016707268123205 end 1476016707258123205  Run 310249, LB 173, lumi 104.85
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:44 2016 UTC-Sun Oct  9 12:38:44 2016 UTC (0.010 )  Time stamp start 1476016724181567045 end 1476016724171567045  Run 310249, LB 174, lumi 88.39
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:40 2016 UTC-Sun Oct  9 12:39:40 2016 UTC (0.010 )  Time stamp start 1476016780257066820 end 1476016780247066820  Run 310249, LB 175, lumi 0.00
Event Veto ['NoiseBurst'], Sun Oct  9 12:39:49 2016 UTC-Sun Oct  9 12:39:49 2016 UTC (0.010 )  Time stamp start 1476016789807150195 end 1476016789797084425  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:39:58 2016 UTC-Sun Oct  9 12:39:58 2016 UTC (0.005 )  Time stamp start 1476016798442317865 end 1476016798437756470  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:00 2016 UTC-Sun Oct  9 12:40:00 2016 UTC (0.019 )  Time stamp start 1476016800796495685 end 1476016800777618265  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:10 2016 UTC-Sun Oct  9 12:40:10 2016 UTC (0.004 )  Time stamp start 1476016810026251905 end 1476016810022575965  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:12 2016 UTC-Sun Oct  9 12:40:12 2016 UTC (0.026 )  Time stamp start 1476016812204510055 end 1476016812178862445  Run 310249, LB 175, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:17 2016 UTC-Sun Oct  9 12:40:17 2016 UTC (0.010 )  Time stamp start 1476016817246044690 end 1476016817236044690  Run 310249, LB 176, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:20 2016 UTC-Sun Oct  9 12:40:20 2016 UTC (0.010 )  Time stamp start 1476016820481659025 end 1476016820471572770  Run 310249, LB 176, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:26 2016 UTC-Sun Oct  9 12:40:26 2016 UTC (0.015 )  Time stamp start 1476016826662829510 end 1476016826647553125  Run 310249, LB 177, lumi 209.86
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:32 2016 UTC-Sun Oct  9 12:40:32 2016 UTC (0.010 )  Time stamp start 1476016832860138380 end 1476016832850138205  Run 310249, LB 177, lumi 137.38
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:34 2016 UTC-Sun Oct  9 12:40:34 2016 UTC (0.019 )  Time stamp start 1476016834460016495 end 1476016834440835125  Run 310249, LB 177, lumi 263.51
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:36 2016 UTC-Sun Oct  9 12:40:36 2016 UTC (0.010 )  Time stamp start 1476016836177387945 end 1476016836167387945  Run 310249, LB 177, lumi 137.38
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:41 2016 UTC-Sun Oct  9 12:40:41 2016 UTC (0.012 )  Time stamp start 1476016841119602245 end 1476016841107234820  Run 310249, LB 177, lumi 169.90
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:45 2016 UTC-Sun Oct  9 12:40:45 2016 UTC (0.010 )  Time stamp start 1476016845387984865 end 1476016845377984865  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:47 2016 UTC-Sun Oct  9 12:40:47 2016 UTC (0.010 )  Time stamp start 1476016847280843675 end 1476016847270843675  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:49 2016 UTC-Sun Oct  9 12:40:49 2016 UTC (0.010 )  Time stamp start 1476016849802153735 end 1476016849792153735  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:53 2016 UTC-Sun Oct  9 12:40:53 2016 UTC (0.010 )  Time stamp start 1476016853116223850 end 1476016853106223850  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:40:59 2016 UTC-Sun Oct  9 12:40:59 2016 UTC (0.010 )  Time stamp start 1476016859961212335 end 1476016859951212335  Run 310249, LB 178, lumi 137.16
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:41:03 2016 UTC-Sun Oct  9 12:41:03 2016 UTC (0.010 )  Time stamp start 1476016863883660630 end 1476016863873660630  Run 310249, LB 178, lumi 137.16
