Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310634 to 310634
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310634 to run 310634  lasting from Fri Oct 14 18:00:39 2016 UTC to Sat Oct 15 18:10:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:29:41 2016 UTC-Fri Oct 14 18:29:41 2016 UTC (0.001 )  Time stamp start 1476469781558850965 end 1476469781557850965  Run 310634, LB 32, lumi 4.78
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:13 2016 UTC-Fri Oct 14 18:30:13 2016 UTC (0.001 )  Time stamp start 1476469813590239675 end 1476469813589239675  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:16 2016 UTC-Fri Oct 14 18:30:16 2016 UTC (0.001 )  Time stamp start 1476469816104089545 end 1476469816103089545  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:17 2016 UTC-Fri Oct 14 18:30:17 2016 UTC (0.001 )  Time stamp start 1476469817781759975 end 1476469817780759975  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:18 2016 UTC-Fri Oct 14 18:30:18 2016 UTC (0.001 )  Time stamp start 1476469818827055950 end 1476469818826055950  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:20 2016 UTC-Fri Oct 14 18:30:20 2016 UTC (0.001 )  Time stamp start 1476469820714300050 end 1476469820713300050  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:21 2016 UTC-Fri Oct 14 18:30:22 2016 UTC (0.001 )  Time stamp start 1476469822000916985 end 1476469821999916985  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:23 2016 UTC-Fri Oct 14 18:30:23 2016 UTC (0.001 )  Time stamp start 1476469823096837565 end 1476469823095837565  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:25 2016 UTC-Fri Oct 14 18:30:25 2016 UTC (0.001 )  Time stamp start 1476469825431475695 end 1476469825430475695  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:27 2016 UTC-Fri Oct 14 18:30:27 2016 UTC (0.001 )  Time stamp start 1476469827710871295 end 1476469827709871295  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:28 2016 UTC-Fri Oct 14 18:30:28 2016 UTC (0.001 )  Time stamp start 1476469828623169750 end 1476469828622169750  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:31 2016 UTC-Fri Oct 14 18:30:31 2016 UTC (0.001 )  Time stamp start 1476469831038765745 end 1476469831037765745  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:39 2016 UTC-Fri Oct 14 18:30:39 2016 UTC (0.001 )  Time stamp start 1476469839529787755 end 1476469839529034870  Run 310634, LB 33, lumi 9.80
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:40 2016 UTC-Fri Oct 14 18:30:40 2016 UTC (0.001 )  Time stamp start 1476469840485860410 end 1476469840484860410  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:42 2016 UTC-Fri Oct 14 18:30:42 2016 UTC (0.002 )  Time stamp start 1476469842405583310 end 1476469842403940455  Run 310634, LB 33, lumi 21.38
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:44 2016 UTC-Fri Oct 14 18:30:44 2016 UTC (0.001 )  Time stamp start 1476469844462283050 end 1476469844461283050  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:45 2016 UTC-Fri Oct 14 18:30:45 2016 UTC (0.001 )  Time stamp start 1476469845239810035 end 1476469845238809735  Run 310634, LB 33, lumi 13.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:30:47 2016 UTC-Fri Oct 14 18:30:47 2016 UTC (0.000 )  Time stamp start 1476469847485138190 end 1476469847485137890  Run 310634, LB 33, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:02 2016 UTC-Fri Oct 14 18:31:02 2016 UTC (0.001 )  Time stamp start 1476469862813234095 end 1476469862812234095  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:03 2016 UTC-Fri Oct 14 18:31:03 2016 UTC (0.000 )  Time stamp start 1476469863463536405 end 1476469863463155805  Run 310634, LB 34, lumi 5.00
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:06 2016 UTC-Fri Oct 14 18:31:06 2016 UTC (0.001 )  Time stamp start 1476469866135536635 end 1476469866134536635  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:07 2016 UTC-Fri Oct 14 18:31:07 2016 UTC (0.001 )  Time stamp start 1476469867356988030 end 1476469867355988030  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:08 2016 UTC-Fri Oct 14 18:31:08 2016 UTC (0.001 )  Time stamp start 1476469868820175865 end 1476469868819175865  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:09 2016 UTC-Fri Oct 14 18:31:09 2016 UTC (0.001 )  Time stamp start 1476469869959851705 end 1476469869958851705  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:11 2016 UTC-Fri Oct 14 18:31:11 2016 UTC (0.002 )  Time stamp start 1476469871717470920 end 1476469871715940095  Run 310634, LB 34, lumi 20.12
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:13 2016 UTC-Fri Oct 14 18:31:13 2016 UTC (0.001 )  Time stamp start 1476469873755692715 end 1476469873754692715  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:15 2016 UTC-Fri Oct 14 18:31:15 2016 UTC (0.001 )  Time stamp start 1476469875460489845 end 1476469875459489845  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:16 2016 UTC-Fri Oct 14 18:31:16 2016 UTC (0.001 )  Time stamp start 1476469876649486885 end 1476469876648486885  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:18 2016 UTC-Fri Oct 14 18:31:18 2016 UTC (0.001 )  Time stamp start 1476469878522175220 end 1476469878521175220  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:19 2016 UTC-Fri Oct 14 18:31:19 2016 UTC (0.001 )  Time stamp start 1476469879865576870 end 1476469879864576870  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:22 2016 UTC-Fri Oct 14 18:31:22 2016 UTC (0.001 )  Time stamp start 1476469882049523765 end 1476469882048523765  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:23 2016 UTC-Fri Oct 14 18:31:23 2016 UTC (0.001 )  Time stamp start 1476469883085333945 end 1476469883084333945  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:24 2016 UTC-Fri Oct 14 18:31:24 2016 UTC (0.001 )  Time stamp start 1476469884921233135 end 1476469884920233135  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:25 2016 UTC-Fri Oct 14 18:31:25 2016 UTC (0.001 )  Time stamp start 1476469885904780795 end 1476469885903780795  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:27 2016 UTC-Fri Oct 14 18:31:27 2016 UTC (0.001 )  Time stamp start 1476469887210254980 end 1476469887209254830  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:28 2016 UTC-Fri Oct 14 18:31:28 2016 UTC (0.001 )  Time stamp start 1476469888864299630 end 1476469888863299630  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:30 2016 UTC-Fri Oct 14 18:31:30 2016 UTC (0.001 )  Time stamp start 1476469890150452835 end 1476469890149452710  Run 310634, LB 34, lumi 13.15
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:31:31 2016 UTC-Fri Oct 14 18:31:31 2016 UTC (0.001 )  Time stamp start 1476469891617347200 end 1476469891616347200  Run 310634, LB 34, lumi 13.15
Event Veto ['NoiseBurst'], Fri Oct 14 18:31:38 2016 UTC-Fri Oct 14 18:31:38 2016 UTC (0.015 )  Time stamp start 1476469898773469560 end 1476469898758611395  Run 310634, LB 34, lumi 195.32
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:18 2016 UTC-Fri Oct 14 18:32:18 2016 UTC (0.001 )  Time stamp start 1476469938238255330 end 1476469938237255330  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:20 2016 UTC-Fri Oct 14 18:32:20 2016 UTC (0.001 )  Time stamp start 1476469940058214840 end 1476469940057214840  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:22 2016 UTC-Fri Oct 14 18:32:22 2016 UTC (0.001 )  Time stamp start 1476469942120359355 end 1476469942119359355  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:23 2016 UTC-Fri Oct 14 18:32:23 2016 UTC (0.001 )  Time stamp start 1476469943883886360 end 1476469943882886360  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:24 2016 UTC-Fri Oct 14 18:32:24 2016 UTC (0.001 )  Time stamp start 1476469944710179310 end 1476469944709179310  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:26 2016 UTC-Fri Oct 14 18:32:26 2016 UTC (0.001 )  Time stamp start 1476469946133764160 end 1476469946132764160  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:27 2016 UTC-Fri Oct 14 18:32:27 2016 UTC (0.001 )  Time stamp start 1476469947566889320 end 1476469947565889320  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:30 2016 UTC-Fri Oct 14 18:32:30 2016 UTC (0.001 )  Time stamp start 1476469950498966160 end 1476469950497966160  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:32 2016 UTC-Fri Oct 14 18:32:32 2016 UTC (0.001 )  Time stamp start 1476469952153375290 end 1476469952152375290  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:35 2016 UTC-Fri Oct 14 18:32:35 2016 UTC (0.001 )  Time stamp start 1476469955026856090 end 1476469955025856090  Run 310634, LB 35, lumi 13.05
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:32:54 2016 UTC-Fri Oct 14 18:32:54 2016 UTC (0.000 )  Time stamp start 1476469974002039110 end 1476469974002038615  Run 310634, LB 35, lumi 0.01
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:25 2016 UTC-Fri Oct 14 18:33:25 2016 UTC (0.001 )  Time stamp start 1476470005266072210 end 1476470005265072210  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:46 2016 UTC-Fri Oct 14 18:33:46 2016 UTC (0.001 )  Time stamp start 1476470026864237985 end 1476470026863237985  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:48 2016 UTC-Fri Oct 14 18:33:48 2016 UTC (0.001 )  Time stamp start 1476470028474641925 end 1476470028473641925  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:33:58 2016 UTC-Fri Oct 14 18:33:58 2016 UTC (0.001 )  Time stamp start 1476470038771291740 end 1476470038770291740  Run 310634, LB 36, lumi 12.50
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:02 2016 UTC-Fri Oct 14 18:34:02 2016 UTC (0.001 )  Time stamp start 1476470042814125240 end 1476470042813125240  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:05 2016 UTC-Fri Oct 14 18:34:05 2016 UTC (0.001 )  Time stamp start 1476470045689173495 end 1476470045688173495  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:08 2016 UTC-Fri Oct 14 18:34:08 2016 UTC (0.001 )  Time stamp start 1476470048482532700 end 1476470048481532700  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:11 2016 UTC-Fri Oct 14 18:34:11 2016 UTC (0.001 )  Time stamp start 1476470051048080175 end 1476470051047080175  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:13 2016 UTC-Fri Oct 14 18:34:13 2016 UTC (0.001 )  Time stamp start 1476470053067240580 end 1476470053066240580  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:14 2016 UTC-Fri Oct 14 18:34:14 2016 UTC (0.001 )  Time stamp start 1476470054893035395 end 1476470054892035395  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:15 2016 UTC-Fri Oct 14 18:34:15 2016 UTC (0.001 )  Time stamp start 1476470055454503095 end 1476470055453503095  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:17 2016 UTC-Fri Oct 14 18:34:17 2016 UTC (0.001 )  Time stamp start 1476470057197308355 end 1476470057196308355  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:18 2016 UTC-Fri Oct 14 18:34:18 2016 UTC (0.001 )  Time stamp start 1476470058931566965 end 1476470058930566965  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:26 2016 UTC-Fri Oct 14 18:34:26 2016 UTC (0.001 )  Time stamp start 1476470066891219930 end 1476470066890219930  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:30 2016 UTC-Fri Oct 14 18:34:30 2016 UTC (0.001 )  Time stamp start 1476470070471857515 end 1476470070470857515  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:31 2016 UTC-Fri Oct 14 18:34:31 2016 UTC (0.001 )  Time stamp start 1476470071765498010 end 1476470071764498010  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:33 2016 UTC-Fri Oct 14 18:34:33 2016 UTC (0.001 )  Time stamp start 1476470073265942265 end 1476470073264942265  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:35 2016 UTC-Fri Oct 14 18:34:35 2016 UTC (0.001 )  Time stamp start 1476470075375300670 end 1476470075374300670  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:37 2016 UTC-Fri Oct 14 18:34:37 2016 UTC (0.001 )  Time stamp start 1476470077189237370 end 1476470077188237370  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:39 2016 UTC-Fri Oct 14 18:34:39 2016 UTC (0.001 )  Time stamp start 1476470079133129075 end 1476470079132129075  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:42 2016 UTC-Fri Oct 14 18:34:42 2016 UTC (0.001 )  Time stamp start 1476470082663299975 end 1476470082662299825  Run 310634, LB 37, lumi 12.55
Event Veto ['NoiseBurst'], Fri Oct 14 18:34:45 2016 UTC-Fri Oct 14 18:34:45 2016 UTC (0.000 )  Time stamp start 1476470085612148960 end 1476470085612136085  Run 310634, LB 37, lumi 0.16
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:48 2016 UTC-Fri Oct 14 18:34:48 2016 UTC (0.001 )  Time stamp start 1476470088734263100 end 1476470088733263100  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:51 2016 UTC-Fri Oct 14 18:34:51 2016 UTC (0.001 )  Time stamp start 1476470091117560340 end 1476470091116560340  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:52 2016 UTC-Fri Oct 14 18:34:52 2016 UTC (0.001 )  Time stamp start 1476470092920937240 end 1476470092919937240  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:55 2016 UTC-Fri Oct 14 18:34:55 2016 UTC (0.001 )  Time stamp start 1476470095803846650 end 1476470095802846650  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:56 2016 UTC-Fri Oct 14 18:34:56 2016 UTC (0.001 )  Time stamp start 1476470096509732345 end 1476470096508732345  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:34:59 2016 UTC-Fri Oct 14 18:34:59 2016 UTC (0.001 )  Time stamp start 1476470099417743870 end 1476470099416743870  Run 310634, LB 37, lumi 12.55
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:01 2016 UTC-Fri Oct 14 18:35:01 2016 UTC (0.001 )  Time stamp start 1476470101993200180 end 1476470101992200180  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:04 2016 UTC-Fri Oct 14 18:35:04 2016 UTC (0.001 )  Time stamp start 1476470104900448715 end 1476470104899448715  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:07 2016 UTC-Fri Oct 14 18:35:07 2016 UTC (0.001 )  Time stamp start 1476470107112604390 end 1476470107111604390  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:10 2016 UTC-Fri Oct 14 18:35:10 2016 UTC (0.001 )  Time stamp start 1476470110796498040 end 1476470110795498040  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:15 2016 UTC-Fri Oct 14 18:35:15 2016 UTC (0.001 )  Time stamp start 1476470115942115570 end 1476470115941115570  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:19 2016 UTC-Fri Oct 14 18:35:19 2016 UTC (0.001 )  Time stamp start 1476470119691056600 end 1476470119690056600  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:21 2016 UTC-Fri Oct 14 18:35:21 2016 UTC (0.001 )  Time stamp start 1476470121945785475 end 1476470121944785475  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:24 2016 UTC-Fri Oct 14 18:35:24 2016 UTC (0.001 )  Time stamp start 1476470124445551370 end 1476470124444551370  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:26 2016 UTC-Fri Oct 14 18:35:26 2016 UTC (0.001 )  Time stamp start 1476470126005403785 end 1476470126004403785  Run 310634, LB 38, lumi 11.29
Event Veto ['NoiseBurst'], Fri Oct 14 18:35:28 2016 UTC-Fri Oct 14 18:35:28 2016 UTC (0.010 )  Time stamp start 1476470128811564355 end 1476470128801458760  Run 310634, LB 38, lumi 114.07
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:35:29 2016 UTC-Fri Oct 14 18:35:29 2016 UTC (0.001 )  Time stamp start 1476470129777352545 end 1476470129776352545  Run 310634, LB 38, lumi 11.29
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:02 2016 UTC-Fri Oct 14 18:36:02 2016 UTC (0.001 )  Time stamp start 1476470162949447185 end 1476470162948447185  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:05 2016 UTC-Fri Oct 14 18:36:05 2016 UTC (0.001 )  Time stamp start 1476470165590674895 end 1476470165589674895  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:06 2016 UTC-Fri Oct 14 18:36:06 2016 UTC (0.001 )  Time stamp start 1476470166628146595 end 1476470166627146595  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:07 2016 UTC-Fri Oct 14 18:36:07 2016 UTC (0.001 )  Time stamp start 1476470167829426960 end 1476470167828426960  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:09 2016 UTC-Fri Oct 14 18:36:09 2016 UTC (0.001 )  Time stamp start 1476470169710679510 end 1476470169709679510  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:13 2016 UTC-Fri Oct 14 18:36:13 2016 UTC (0.001 )  Time stamp start 1476470173113408565 end 1476470173112408565  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:14 2016 UTC-Fri Oct 14 18:36:14 2016 UTC (0.001 )  Time stamp start 1476470174411845545 end 1476470174410845545  Run 310634, LB 39, lumi 13.23
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:15 2016 UTC-Fri Oct 14 18:36:15 2016 UTC (0.001 )  Time stamp start 1476470175729035945 end 1476470175728035645  Run 310634, LB 39, lumi 13.24
Event Veto ['MiniNoiseBurst'], Fri Oct 14 18:36:17 2016 UTC-Fri Oct 14 18:36:17 2016 UTC (0.001 )  Time stamp start 1476470177019444520 end 1476470177018444520  Run 310634, LB 39, lumi 13.23
