Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310249 to 310249
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310249 to run 310249  lasting from Sun Oct  9 09:54:42 2016 UTC to Mon Oct 10 06:11:42 2016 UTC
Event Veto ['NoiseBurst'], Sun Oct  9 12:37:58 2016 UTC-Sun Oct  9 12:37:58 2016 UTC (0.010 )  Time stamp start 1476016678327567960 end 1476016678317480960  Run 310249, LB 172, lumi 84.91
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:05 2016 UTC-Sun Oct  9 12:38:05 2016 UTC (0.010 )  Time stamp start 1476016685565721595 end 1476016685555721595  Run 310249, LB 172, lumi 84.18
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:11 2016 UTC-Sun Oct  9 12:38:11 2016 UTC (0.010 )  Time stamp start 1476016691558967670 end 1476016691548967670  Run 310249, LB 173, lumi 104.85
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:15 2016 UTC-Sun Oct  9 12:38:15 2016 UTC (0.010 )  Time stamp start 1476016695890776120 end 1476016695880776120  Run 310249, LB 173, lumi 104.85
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:22 2016 UTC-Sun Oct  9 12:38:22 2016 UTC (0.010 )  Time stamp start 1476016702197588375 end 1476016702187588375  Run 310249, LB 173, lumi 104.85
Event Veto ['NoiseBurst'], Sun Oct  9 12:38:31 2016 UTC-Sun Oct  9 12:38:31 2016 UTC (0.000 )  Time stamp start 1476016711582474170 end 1476016711582443155  Run 310249, LB 173, lumi 0.33
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:36 2016 UTC-Sun Oct  9 12:38:36 2016 UTC (0.010 )  Time stamp start 1476016716050506425 end 1476016716040506425  Run 310249, LB 173, lumi 104.85
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:41 2016 UTC-Sun Oct  9 12:38:41 2016 UTC (0.010 )  Time stamp start 1476016721148274640 end 1476016721138274640  Run 310249, LB 173, lumi 104.85
Event Veto ['NoiseBurst'], Sun Oct  9 12:38:45 2016 UTC-Sun Oct  9 12:38:45 2016 UTC (0.000 )  Time stamp start 1476016725682496115 end 1476016725682383385  Run 310249, LB 174, lumi 1.00
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:52 2016 UTC-Sun Oct  9 12:38:52 2016 UTC (0.010 )  Time stamp start 1476016732100314535 end 1476016732090314535  Run 310249, LB 174, lumi 88.39
Event Veto ['NoiseBurst'], Sun Oct  9 12:38:55 2016 UTC-Sun Oct  9 12:38:55 2016 UTC (0.010 )  Time stamp start 1476016735338629985 end 1476016735328603740  Run 310249, LB 174, lumi 88.62
Event Veto ['MiniNoiseBurst'], Sun Oct  9 12:38:58 2016 UTC-Sun Oct  9 12:38:58 2016 UTC (0.010 )  Time stamp start 1476016738842892905 end 1476016738832892905  Run 310249, LB 174, lumi 88.39
