Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627662804795 end 1500017627662704795  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627707837565 end 1500017627707737565  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627765174685 end 1500017627765074685  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627808568715 end 1500017627808468715  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627889047075 end 1500017627888946950  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627955389440 end 1500017627955289440  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628028944620 end 1500017628028844620  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628054313585 end 1500017628054213585  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628110670590 end 1500017628110570590  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628200705010 end 1500017628200605010  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628254259230 end 1500017628254159230  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628315210890 end 1500017628315110890  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628369596290 end 1500017628369496290  Run 329716, LB 259, lumi 0.71
