Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329964 to 329964
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329964 to run 329964  lasting from Tue Jul 18 03:24:44 2017 UTC to Tue Jul 18 09:36:45 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:52 2017 UTC-Tue Jul 18 04:56:52 2017 UTC (0.000 )  Time stamp start 1500353812918056710 end 1500353812917956710  Run 329964, LB 97, lumi 1.26
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:54 2017 UTC-Tue Jul 18 04:56:54 2017 UTC (0.001 )  Time stamp start 1500353814404843430 end 1500353814403843430  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:56 2017 UTC-Tue Jul 18 04:56:56 2017 UTC (0.001 )  Time stamp start 1500353816074601525 end 1500353816073601525  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:56 2017 UTC-Tue Jul 18 04:56:56 2017 UTC (0.001 )  Time stamp start 1500353816769753310 end 1500353816768753310  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:59 2017 UTC-Tue Jul 18 04:56:59 2017 UTC (0.001 )  Time stamp start 1500353819157942625 end 1500353819156942625  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:56:59 2017 UTC-Tue Jul 18 04:56:59 2017 UTC (0.001 )  Time stamp start 1500353819931051775 end 1500353819930051775  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:00 2017 UTC-Tue Jul 18 04:57:00 2017 UTC (0.001 )  Time stamp start 1500353820583518780 end 1500353820582518780  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:11 2017 UTC-Tue Jul 18 04:57:11 2017 UTC (0.000 )  Time stamp start 1500353831684043710 end 1500353831684029065  Run 329964, LB 97, lumi 0.18
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:12 2017 UTC-Tue Jul 18 04:57:12 2017 UTC (0.001 )  Time stamp start 1500353832683906850 end 1500353832682906850  Run 329964, LB 97, lumi 12.61
Event Veto ['MiniNoiseBurst'], Tue Jul 18 04:57:14 2017 UTC-Tue Jul 18 04:57:14 2017 UTC (0.001 )  Time stamp start 1500353834225316745 end 1500353834224316745  Run 329964, LB 97, lumi 12.61
