Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310872 to 310872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 310872 to run 310872  lasting from Wed Oct 19 01:41:21 2016 UTC to Wed Oct 19 10:14:24 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:03 2016 UTC-Wed Oct 19 04:07:03 2016 UTC (0.001 )  Time stamp start 1476850023661176705 end 1476850023660176705  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:04 2016 UTC-Wed Oct 19 04:07:04 2016 UTC (0.001 )  Time stamp start 1476850024743745130 end 1476850024742745130  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:06 2016 UTC-Wed Oct 19 04:07:06 2016 UTC (0.001 )  Time stamp start 1476850026100231930 end 1476850026099231930  Run 310872, LB 149, lumi 4.46
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:09 2016 UTC-Wed Oct 19 04:07:09 2016 UTC (0.001 )  Time stamp start 1476850029689594540 end 1476850029688594540  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:11 2016 UTC-Wed Oct 19 04:07:11 2016 UTC (0.001 )  Time stamp start 1476850031144795480 end 1476850031143795480  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:12 2016 UTC-Wed Oct 19 04:07:12 2016 UTC (0.001 )  Time stamp start 1476850032079528370 end 1476850032078528070  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:13 2016 UTC-Wed Oct 19 04:07:13 2016 UTC (0.001 )  Time stamp start 1476850033036543695 end 1476850033035543520  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:13 2016 UTC-Wed Oct 19 04:07:13 2016 UTC (0.001 )  Time stamp start 1476850033980421905 end 1476850033979421905  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:15 2016 UTC-Wed Oct 19 04:07:15 2016 UTC (0.001 )  Time stamp start 1476850035098462295 end 1476850035097462295  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:16 2016 UTC-Wed Oct 19 04:07:16 2016 UTC (0.001 )  Time stamp start 1476850036323717665 end 1476850036322717665  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:20 2016 UTC-Wed Oct 19 04:07:20 2016 UTC (0.001 )  Time stamp start 1476850040544803795 end 1476850040543803795  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:21 2016 UTC-Wed Oct 19 04:07:21 2016 UTC (0.001 )  Time stamp start 1476850041911081615 end 1476850041910081615  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:23 2016 UTC-Wed Oct 19 04:07:23 2016 UTC (0.001 )  Time stamp start 1476850043473881495 end 1476850043472576800  Run 310872, LB 150, lumi 16.64
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:24 2016 UTC-Wed Oct 19 04:07:24 2016 UTC (0.001 )  Time stamp start 1476850044330719425 end 1476850044329719425  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:25 2016 UTC-Wed Oct 19 04:07:25 2016 UTC (0.001 )  Time stamp start 1476850045701070780 end 1476850045700070780  Run 310872, LB 150, lumi 12.76
Event Veto ['MiniNoiseBurst'], Wed Oct 19 04:07:27 2016 UTC-Wed Oct 19 04:07:27 2016 UTC (0.001 )  Time stamp start 1476850047182077395 end 1476850047181077395  Run 310872, LB 150, lumi 12.76
