Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311071 to 311071
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311071 to run 311071  lasting from Thu Oct 20 22:54:49 2016 UTC to Fri Oct 21 08:49:52 2016 UTC
Event Veto ['NoiseBurst'], Fri Oct 21 01:12:02 2016 UTC-Fri Oct 21 01:12:02 2016 UTC (0.010 )  Time stamp start 1477012322577223615 end 1477012322567168825  Run 311071, LB 141, lumi 121.44
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:04 2016 UTC-Fri Oct 21 01:12:04 2016 UTC (0.001 )  Time stamp start 1477012324133784390 end 1477012324132784390  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:04 2016 UTC-Fri Oct 21 01:12:04 2016 UTC (0.001 )  Time stamp start 1477012324745390780 end 1477012324744390780  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:16 2016 UTC-Fri Oct 21 01:12:16 2016 UTC (0.001 )  Time stamp start 1477012336508167500 end 1477012336507167500  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:17 2016 UTC-Fri Oct 21 01:12:17 2016 UTC (0.001 )  Time stamp start 1477012337386650225 end 1477012337385650225  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:18 2016 UTC-Fri Oct 21 01:12:18 2016 UTC (0.001 )  Time stamp start 1477012338243135755 end 1477012338242135755  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:19 2016 UTC-Fri Oct 21 01:12:19 2016 UTC (0.001 )  Time stamp start 1477012339641621070 end 1477012339640621070  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:20 2016 UTC-Fri Oct 21 01:12:20 2016 UTC (0.001 )  Time stamp start 1477012340339596420 end 1477012340338596420  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:21 2016 UTC-Fri Oct 21 01:12:21 2016 UTC (0.001 )  Time stamp start 1477012341395471445 end 1477012341394471445  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:22 2016 UTC-Fri Oct 21 01:12:22 2016 UTC (0.001 )  Time stamp start 1477012342209129975 end 1477012342208129975  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:23 2016 UTC-Fri Oct 21 01:12:23 2016 UTC (0.001 )  Time stamp start 1477012343079853720 end 1477012343078853720  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:12:23 2016 UTC-Fri Oct 21 01:12:23 2016 UTC (0.001 )  Time stamp start 1477012343795009875 end 1477012343794009875  Run 311071, LB 141, lumi 12.08
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:34 2016 UTC-Fri Oct 21 01:13:34 2016 UTC (0.001 )  Time stamp start 1477012414041742040 end 1477012414040741890  Run 311071, LB 142, lumi 12.05
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:34 2016 UTC-Fri Oct 21 01:13:34 2016 UTC (0.001 )  Time stamp start 1477012414812330230 end 1477012414811330230  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:35 2016 UTC-Fri Oct 21 01:13:35 2016 UTC (0.001 )  Time stamp start 1477012415293115000 end 1477012415292115000  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:35 2016 UTC-Fri Oct 21 01:13:35 2016 UTC (0.001 )  Time stamp start 1477012415916468370 end 1477012415915468370  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:37 2016 UTC-Fri Oct 21 01:13:37 2016 UTC (0.001 )  Time stamp start 1477012417077546870 end 1477012417076546870  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:37 2016 UTC-Fri Oct 21 01:13:37 2016 UTC (0.001 )  Time stamp start 1477012417852223265 end 1477012417851223265  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:38 2016 UTC-Fri Oct 21 01:13:38 2016 UTC (0.001 )  Time stamp start 1477012418460493740 end 1477012418459493740  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:39 2016 UTC-Fri Oct 21 01:13:39 2016 UTC (0.001 )  Time stamp start 1477012419119012510 end 1477012419118012510  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:39 2016 UTC-Fri Oct 21 01:13:39 2016 UTC (0.001 )  Time stamp start 1477012419830635615 end 1477012419829635615  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:40 2016 UTC-Fri Oct 21 01:13:40 2016 UTC (0.001 )  Time stamp start 1477012420282180360 end 1477012420281180360  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:40 2016 UTC-Fri Oct 21 01:13:40 2016 UTC (0.001 )  Time stamp start 1477012420898682985 end 1477012420897648350  Run 311071, LB 143, lumi 12.44
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:41 2016 UTC-Fri Oct 21 01:13:41 2016 UTC (0.001 )  Time stamp start 1477012421559613170 end 1477012421558324315  Run 311071, LB 143, lumi 15.49
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:41 2016 UTC-Fri Oct 21 01:13:41 2016 UTC (0.001 )  Time stamp start 1477012421939934330 end 1477012421938934330  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:42 2016 UTC-Fri Oct 21 01:13:42 2016 UTC (0.001 )  Time stamp start 1477012422613298620 end 1477012422612298620  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:43 2016 UTC-Fri Oct 21 01:13:43 2016 UTC (0.001 )  Time stamp start 1477012423326191540 end 1477012423325191540  Run 311071, LB 143, lumi 12.02
Event Veto ['NoiseBurst'], Fri Oct 21 01:13:44 2016 UTC-Fri Oct 21 01:13:44 2016 UTC (0.010 )  Time stamp start 1477012424657139180 end 1477012424647116900  Run 311071, LB 143, lumi 120.47
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:45 2016 UTC-Fri Oct 21 01:13:45 2016 UTC (0.001 )  Time stamp start 1477012425715994515 end 1477012425714994515  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:46 2016 UTC-Fri Oct 21 01:13:46 2016 UTC (0.001 )  Time stamp start 1477012426308265225 end 1477012426307265225  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:47 2016 UTC-Fri Oct 21 01:13:47 2016 UTC (0.001 )  Time stamp start 1477012427069920950 end 1477012427068920950  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:47 2016 UTC-Fri Oct 21 01:13:47 2016 UTC (0.001 )  Time stamp start 1477012427822006270 end 1477012427821006270  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:48 2016 UTC-Fri Oct 21 01:13:48 2016 UTC (0.001 )  Time stamp start 1477012428348238810 end 1477012428347238810  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:48 2016 UTC-Fri Oct 21 01:13:48 2016 UTC (0.001 )  Time stamp start 1477012428904117875 end 1477012428903117875  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:49 2016 UTC-Fri Oct 21 01:13:49 2016 UTC (0.001 )  Time stamp start 1477012429440183625 end 1477012429439183625  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:49 2016 UTC-Fri Oct 21 01:13:49 2016 UTC (0.001 )  Time stamp start 1477012429985229775 end 1477012429984229775  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:50 2016 UTC-Fri Oct 21 01:13:50 2016 UTC (0.001 )  Time stamp start 1477012430549121590 end 1477012430548121590  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:51 2016 UTC-Fri Oct 21 01:13:51 2016 UTC (0.001 )  Time stamp start 1477012431093895180 end 1477012431092895180  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:51 2016 UTC-Fri Oct 21 01:13:51 2016 UTC (0.001 )  Time stamp start 1477012431876359520 end 1477012431875359520  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:52 2016 UTC-Fri Oct 21 01:13:52 2016 UTC (0.001 )  Time stamp start 1477012432781096660 end 1477012432780096660  Run 311071, LB 143, lumi 12.02
Event Veto ['MiniNoiseBurst'], Fri Oct 21 01:13:53 2016 UTC-Fri Oct 21 01:13:53 2016 UTC (0.001 )  Time stamp start 1477012433423587875 end 1477012433422587875  Run 311071, LB 143, lumi 12.02
Event Veto ['NoiseBurst'], Fri Oct 21 01:13:54 2016 UTC-Fri Oct 21 01:13:54 2016 UTC (0.010 )  Time stamp start 1477012434389980025 end 1477012434379979650  Run 311071, LB 143, lumi 120.21
