Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 328042 to 328042
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 328042 to run 328042  lasting from Tue Jun 27 01:46:59 2017 UTC to Tue Jun 27 10:12:59 2017 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:34 2017 UTC-Tue Jun 27 01:58:34 2017 UTC (0.001 )  Time stamp start 1498528714947120205 end 1498528714946120205  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:35 2017 UTC-Tue Jun 27 01:58:35 2017 UTC (0.001 )  Time stamp start 1498528715742052860 end 1498528715741052860  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:36 2017 UTC-Tue Jun 27 01:58:36 2017 UTC (0.001 )  Time stamp start 1498528716751011305 end 1498528716750011305  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:38 2017 UTC-Tue Jun 27 01:58:38 2017 UTC (0.001 )  Time stamp start 1498528718173956440 end 1498528718172956440  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:39 2017 UTC-Tue Jun 27 01:58:39 2017 UTC (0.001 )  Time stamp start 1498528719907694020 end 1498528719906694020  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:41 2017 UTC-Tue Jun 27 01:58:41 2017 UTC (0.001 )  Time stamp start 1498528721415904135 end 1498528721414904135  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:42 2017 UTC-Tue Jun 27 01:58:42 2017 UTC (0.001 )  Time stamp start 1498528722457260745 end 1498528722456260745  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:43 2017 UTC-Tue Jun 27 01:58:43 2017 UTC (0.001 )  Time stamp start 1498528723867387585 end 1498528723866387585  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:44 2017 UTC-Tue Jun 27 01:58:44 2017 UTC (0.001 )  Time stamp start 1498528724898974330 end 1498528724897974330  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:45 2017 UTC-Tue Jun 27 01:58:45 2017 UTC (0.001 )  Time stamp start 1498528725977443815 end 1498528725976443815  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:47 2017 UTC-Tue Jun 27 01:58:47 2017 UTC (0.001 )  Time stamp start 1498528727511412980 end 1498528727510412980  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:48 2017 UTC-Tue Jun 27 01:58:48 2017 UTC (0.001 )  Time stamp start 1498528728362319770 end 1498528728361319770  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:49 2017 UTC-Tue Jun 27 01:58:49 2017 UTC (0.001 )  Time stamp start 1498528729126611465 end 1498528729125611465  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:50 2017 UTC-Tue Jun 27 01:58:50 2017 UTC (0.001 )  Time stamp start 1498528730283826185 end 1498528730282826185  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:51 2017 UTC-Tue Jun 27 01:58:51 2017 UTC (0.001 )  Time stamp start 1498528731424638410 end 1498528731423638410  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:52 2017 UTC-Tue Jun 27 01:58:52 2017 UTC (0.001 )  Time stamp start 1498528732717723430 end 1498528732716723430  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:53 2017 UTC-Tue Jun 27 01:58:53 2017 UTC (0.001 )  Time stamp start 1498528733885706760 end 1498528733884706760  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:54 2017 UTC-Tue Jun 27 01:58:54 2017 UTC (0.001 )  Time stamp start 1498528734309022005 end 1498528734308022005  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:54 2017 UTC-Tue Jun 27 01:58:54 2017 UTC (0.001 )  Time stamp start 1498528734340017310 end 1498528734339017310  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:54 2017 UTC-Tue Jun 27 01:58:54 2017 UTC (0.001 )  Time stamp start 1498528734617884335 end 1498528734616884335  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:54 2017 UTC-Tue Jun 27 01:58:54 2017 UTC (0.001 )  Time stamp start 1498528734639534990 end 1498528734638534990  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:54 2017 UTC-Tue Jun 27 01:58:54 2017 UTC (0.001 )  Time stamp start 1498528734668436730 end 1498528734667436730  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:54 2017 UTC-Tue Jun 27 01:58:54 2017 UTC (0.001 )  Time stamp start 1498528734785297285 end 1498528734784297285  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:55 2017 UTC-Tue Jun 27 01:58:55 2017 UTC (0.001 )  Time stamp start 1498528735117079570 end 1498528735116079570  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:56 2017 UTC-Tue Jun 27 01:58:56 2017 UTC (0.001 )  Time stamp start 1498528736301174165 end 1498528736300174165  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:57 2017 UTC-Tue Jun 27 01:58:57 2017 UTC (0.001 )  Time stamp start 1498528737158865565 end 1498528737157865565  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:57 2017 UTC-Tue Jun 27 01:58:57 2017 UTC (0.001 )  Time stamp start 1498528737780328775 end 1498528737779328775  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:58:59 2017 UTC-Tue Jun 27 01:58:59 2017 UTC (0.001 )  Time stamp start 1498528739173539985 end 1498528739172539985  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:00 2017 UTC-Tue Jun 27 01:59:00 2017 UTC (0.001 )  Time stamp start 1498528740132045245 end 1498528740131045245  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:00 2017 UTC-Tue Jun 27 01:59:00 2017 UTC (0.001 )  Time stamp start 1498528740153015045 end 1498528740152015045  Run 328042, LB 16, lumi 11.90
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Jun 27 01:59:00 2017 UTC-Tue Jun 27 01:59:00 2017 UTC (0.001 )  Time stamp start 1498528740174354985 end 1498528740173354985  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:00 2017 UTC-Tue Jun 27 01:59:00 2017 UTC (0.001 )  Time stamp start 1498528740723648535 end 1498528740722648535  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:02 2017 UTC-Tue Jun 27 01:59:02 2017 UTC (0.001 )  Time stamp start 1498528742968139975 end 1498528742967139975  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:04 2017 UTC-Tue Jun 27 01:59:04 2017 UTC (0.001 )  Time stamp start 1498528744030578210 end 1498528744029578210  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:05 2017 UTC-Tue Jun 27 01:59:05 2017 UTC (0.001 )  Time stamp start 1498528745169988605 end 1498528745168988605  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:06 2017 UTC-Tue Jun 27 01:59:06 2017 UTC (0.001 )  Time stamp start 1498528746209547565 end 1498528746208547565  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:07 2017 UTC-Tue Jun 27 01:59:07 2017 UTC (0.001 )  Time stamp start 1498528747105478685 end 1498528747104478685  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:09 2017 UTC-Tue Jun 27 01:59:09 2017 UTC (0.001 )  Time stamp start 1498528749362749420 end 1498528749361749420  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:09 2017 UTC-Tue Jun 27 01:59:09 2017 UTC (0.001 )  Time stamp start 1498528749948488040 end 1498528749947488040  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:12 2017 UTC-Tue Jun 27 01:59:12 2017 UTC (0.001 )  Time stamp start 1498528752136743785 end 1498528752135743785  Run 328042, LB 16, lumi 11.90
Event Veto ['MiniNoiseBurst'], Tue Jun 27 01:59:13 2017 UTC-Tue Jun 27 01:59:13 2017 UTC (0.001 )  Time stamp start 1498528753927044615 end 1498528753926044615  Run 328042, LB 16, lumi 11.90
