Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 311170 to 311170
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 311170 to run 311170  lasting from Fri Oct 21 18:53:49 2016 UTC to Sat Oct 22 12:39:09 2016 UTC
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:03 2016 UTC-Fri Oct 21 20:24:03 2016 UTC (0.001 )  Time stamp start 1477081443124564085 end 1477081443123564085  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:04 2016 UTC-Fri Oct 21 20:24:04 2016 UTC (0.001 )  Time stamp start 1477081444002463220 end 1477081444001463220  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:06 2016 UTC-Fri Oct 21 20:24:06 2016 UTC (0.001 )  Time stamp start 1477081446424632200 end 1477081446423632200  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:17 2016 UTC-Fri Oct 21 20:24:17 2016 UTC (0.001 )  Time stamp start 1477081457068359635 end 1477081457067359635  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:19 2016 UTC-Fri Oct 21 20:24:19 2016 UTC (0.001 )  Time stamp start 1477081459137126490 end 1477081459136126490  Run 311170, LB 97, lumi 11.50
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:21 2016 UTC-Fri Oct 21 20:24:21 2016 UTC (0.001 )  Time stamp start 1477081461703329925 end 1477081461702329925  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:23 2016 UTC-Fri Oct 21 20:24:23 2016 UTC (0.001 )  Time stamp start 1477081463389179325 end 1477081463388179325  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:26 2016 UTC-Fri Oct 21 20:24:26 2016 UTC (0.000 )  Time stamp start 1477081466136709470 end 1477081466136708670  Run 311170, LB 98, lumi 0.01
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:34 2016 UTC-Fri Oct 21 20:24:34 2016 UTC (0.001 )  Time stamp start 1477081474216771530 end 1477081474215771530  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:35 2016 UTC-Fri Oct 21 20:24:35 2016 UTC (0.001 )  Time stamp start 1477081475597186075 end 1477081475596186075  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:24:38 2016 UTC-Fri Oct 21 20:24:38 2016 UTC (0.001 )  Time stamp start 1477081478191417800 end 1477081478190417800  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:01 2016 UTC-Fri Oct 21 20:25:01 2016 UTC (0.001 )  Time stamp start 1477081501363161640 end 1477081501362161640  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:02 2016 UTC-Fri Oct 21 20:25:02 2016 UTC (0.001 )  Time stamp start 1477081502930212160 end 1477081502929212160  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:04 2016 UTC-Fri Oct 21 20:25:05 2016 UTC (0.001 )  Time stamp start 1477081505000422065 end 1477081504999422065  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:07 2016 UTC-Fri Oct 21 20:25:07 2016 UTC (0.001 )  Time stamp start 1477081507163469700 end 1477081507162469430  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:25:15 2016 UTC-Fri Oct 21 20:25:15 2016 UTC (0.001 )  Time stamp start 1477081515396791035 end 1477081515395791035  Run 311170, LB 98, lumi 11.72
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:26:05 2016 UTC-Fri Oct 21 20:26:05 2016 UTC (0.001 )  Time stamp start 1477081565055315330 end 1477081565054315330  Run 311170, LB 99, lumi 11.83
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:26:06 2016 UTC-Fri Oct 21 20:26:06 2016 UTC (0.001 )  Time stamp start 1477081566396570660 end 1477081566395570660  Run 311170, LB 99, lumi 11.83
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:26:08 2016 UTC-Fri Oct 21 20:26:08 2016 UTC (0.001 )  Time stamp start 1477081568560312155 end 1477081568559312155  Run 311170, LB 99, lumi 11.83
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:26:10 2016 UTC-Fri Oct 21 20:26:10 2016 UTC (0.001 )  Time stamp start 1477081570035416155 end 1477081570034416155  Run 311170, LB 99, lumi 11.83
Event Veto ['NoiseBurst'], Fri Oct 21 20:26:55 2016 UTC-Fri Oct 21 20:26:55 2016 UTC (0.010 )  Time stamp start 1477081615813103105 end 1477081615803102855  Run 311170, LB 100, lumi 115.13
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:27:57 2016 UTC-Fri Oct 21 20:27:57 2016 UTC (0.001 )  Time stamp start 1477081677162254180 end 1477081677161254180  Run 311170, LB 101, lumi 10.70
Event Veto ['NoiseBurst'], Fri Oct 21 20:28:02 2016 UTC-Fri Oct 21 20:28:02 2016 UTC (0.010 )  Time stamp start 1477081682271139755 end 1477081682261139405  Run 311170, LB 101, lumi 107.01
Event Veto ['NoiseBurst'], Fri Oct 21 20:28:04 2016 UTC-Fri Oct 21 20:28:04 2016 UTC (0.010 )  Time stamp start 1477081684405952735 end 1477081684395951740  Run 311170, LB 101, lumi 107.01
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:28:13 2016 UTC-Fri Oct 21 20:28:13 2016 UTC (0.001 )  Time stamp start 1477081693936875975 end 1477081693935875675  Run 311170, LB 101, lumi 10.70
Event Veto ['NoiseBurst'], Fri Oct 21 20:28:40 2016 UTC-Fri Oct 21 20:28:40 2016 UTC (0.010 )  Time stamp start 1477081720882326410 end 1477081720872237185  Run 311170, LB 102, lumi 106.48
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:28:46 2016 UTC-Fri Oct 21 20:28:46 2016 UTC (0.001 )  Time stamp start 1477081726216285700 end 1477081726215285700  Run 311170, LB 102, lumi 10.55
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:28:49 2016 UTC-Fri Oct 21 20:28:49 2016 UTC (0.001 )  Time stamp start 1477081729445189070 end 1477081729444189070  Run 311170, LB 102, lumi 10.55
Event Veto ['NoiseBurst'], Fri Oct 21 20:28:51 2016 UTC-Fri Oct 21 20:28:51 2016 UTC (0.000 )  Time stamp start 1477081731802492745 end 1477081731802491850  Run 311170, LB 102, lumi 0.01
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:14 2016 UTC-Fri Oct 21 20:29:14 2016 UTC (0.001 )  Time stamp start 1477081754768371320 end 1477081754767371320  Run 311170, LB 102, lumi 10.55
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:21 2016 UTC-Fri Oct 21 20:29:21 2016 UTC (0.001 )  Time stamp start 1477081761440272165 end 1477081761439272165  Run 311170, LB 102, lumi 10.55
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:25 2016 UTC-Fri Oct 21 20:29:25 2016 UTC (0.001 )  Time stamp start 1477081765482139825 end 1477081765481139825  Run 311170, LB 103, lumi 10.98
Event Veto ['NoiseBurst'], Fri Oct 21 20:29:29 2016 UTC-Fri Oct 21 20:29:29 2016 UTC (0.000 )  Time stamp start 1477081769006719975 end 1477081769006719575  Run 311170, LB 103, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:32 2016 UTC-Fri Oct 21 20:29:32 2016 UTC (0.001 )  Time stamp start 1477081772362093610 end 1477081772361093610  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:37 2016 UTC-Fri Oct 21 20:29:37 2016 UTC (0.001 )  Time stamp start 1477081777455336835 end 1477081777454336835  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:39 2016 UTC-Fri Oct 21 20:29:39 2016 UTC (0.001 )  Time stamp start 1477081779339338970 end 1477081779338338970  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:42 2016 UTC-Fri Oct 21 20:29:42 2016 UTC (0.001 )  Time stamp start 1477081782489584155 end 1477081782488584155  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:45 2016 UTC-Fri Oct 21 20:29:45 2016 UTC (0.001 )  Time stamp start 1477081785232096705 end 1477081785231096705  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:49 2016 UTC-Fri Oct 21 20:29:49 2016 UTC (0.001 )  Time stamp start 1477081789898308615 end 1477081789897308615  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:51 2016 UTC-Fri Oct 21 20:29:51 2016 UTC (0.001 )  Time stamp start 1477081791425563805 end 1477081791424563805  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:54 2016 UTC-Fri Oct 21 20:29:54 2016 UTC (0.001 )  Time stamp start 1477081794757893825 end 1477081794756893825  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:57 2016 UTC-Fri Oct 21 20:29:57 2016 UTC (0.001 )  Time stamp start 1477081797083778725 end 1477081797082778725  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:29:59 2016 UTC-Fri Oct 21 20:29:59 2016 UTC (0.001 )  Time stamp start 1477081799668500550 end 1477081799667500550  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:03 2016 UTC-Fri Oct 21 20:30:03 2016 UTC (0.000 )  Time stamp start 1477081803377942690 end 1477081803377942515  Run 311170, LB 103, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:12 2016 UTC-Fri Oct 21 20:30:12 2016 UTC (0.001 )  Time stamp start 1477081812935951910 end 1477081812934951910  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:14 2016 UTC-Fri Oct 21 20:30:14 2016 UTC (0.001 )  Time stamp start 1477081814776993340 end 1477081814775993340  Run 311170, LB 103, lumi 10.98
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:16 2016 UTC-Fri Oct 21 20:30:16 2016 UTC (0.001 )  Time stamp start 1477081816485280635 end 1477081816484280635  Run 311170, LB 103, lumi 10.98
Event Veto ['NoiseBurst'], Fri Oct 21 20:30:18 2016 UTC-Fri Oct 21 20:30:18 2016 UTC (0.000 )  Time stamp start 1477081818764025940 end 1477081818764025515  Run 311170, LB 103, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:20 2016 UTC-Fri Oct 21 20:30:20 2016 UTC (0.001 )  Time stamp start 1477081820186639860 end 1477081820185639735  Run 311170, LB 103, lumi 10.98
Event Veto ['NoiseBurst'], Fri Oct 21 20:30:23 2016 UTC-Fri Oct 21 20:30:23 2016 UTC (0.010 )  Time stamp start 1477081823035333860 end 1477081823025333485  Run 311170, LB 104, lumi 127.46
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:24 2016 UTC-Fri Oct 21 20:30:24 2016 UTC (0.001 )  Time stamp start 1477081824787340410 end 1477081824786340410  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:27 2016 UTC-Fri Oct 21 20:30:27 2016 UTC (0.001 )  Time stamp start 1477081827642702685 end 1477081827641702685  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:32 2016 UTC-Fri Oct 21 20:30:32 2016 UTC (0.001 )  Time stamp start 1477081832168184090 end 1477081832167184090  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:35 2016 UTC-Fri Oct 21 20:30:35 2016 UTC (0.001 )  Time stamp start 1477081835567187975 end 1477081835566187780  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:37 2016 UTC-Fri Oct 21 20:30:37 2016 UTC (0.001 )  Time stamp start 1477081837518742695 end 1477081837517742695  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:40 2016 UTC-Fri Oct 21 20:30:40 2016 UTC (0.001 )  Time stamp start 1477081840911281120 end 1477081840910281120  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:45 2016 UTC-Fri Oct 21 20:30:45 2016 UTC (0.001 )  Time stamp start 1477081845038077925 end 1477081845037077925  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:30:47 2016 UTC-Fri Oct 21 20:30:47 2016 UTC (0.001 )  Time stamp start 1477081847499698340 end 1477081847498698340  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:31:08 2016 UTC-Fri Oct 21 20:31:08 2016 UTC (0.001 )  Time stamp start 1477081868402631200 end 1477081868401631200  Run 311170, LB 104, lumi 12.75
Event Veto ['MiniNoiseBurst'], Fri Oct 21 20:31:10 2016 UTC-Fri Oct 21 20:31:10 2016 UTC (0.001 )  Time stamp start 1477081870510993005 end 1477081870509993005  Run 311170, LB 104, lumi 12.75
