Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 329716 to 329716
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
[?1034hDumping EventVeto data from run 329716 to run 329716  lasting from Fri Jul 14 03:19:56 2017 UTC to Fri Jul 14 09:57:23 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627675024495 end 1500017627674924495  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627720000975 end 1500017627719900975  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627768993125 end 1500017627768893125  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627835617910 end 1500017627835517910  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627897406695 end 1500017627897306695  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:47 2017 UTC-Fri Jul 14 07:33:47 2017 UTC (0.000 )  Time stamp start 1500017627975664090 end 1500017627975564090  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628033348850 end 1500017628033248850  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628058164080 end 1500017628058063930  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628123870805 end 1500017628123770805  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628212108295 end 1500017628212008125  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628282560775 end 1500017628282460650  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628319399020 end 1500017628319299020  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628377439455 end 1500017628377339455  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628411053415 end 1500017628410953165  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628447140820 end 1500017628447040820  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628543162590 end 1500017628543062590  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628603240655 end 1500017628603140655  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628632143190 end 1500017628632043190  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628694116710 end 1500017628694016710  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628768969675 end 1500017628768869675  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628791804370 end 1500017628791704370  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628826065975 end 1500017628825965750  Run 329716, LB 259, lumi 0.72
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628894735225 end 1500017628894635225  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628952582490 end 1500017628952482490  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:48 2017 UTC-Fri Jul 14 07:33:48 2017 UTC (0.000 )  Time stamp start 1500017628999067540 end 1500017628998967540  Run 329716, LB 259, lumi 0.71
Event Veto ['MiniNoiseBurst'], Fri Jul 14 07:33:49 2017 UTC-Fri Jul 14 07:33:49 2017 UTC (0.000 )  Time stamp start 1500017629066270460 end 1500017629066170460  Run 329716, LB 259, lumi 0.71
