Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309375 to 309375
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309375 to run 309375  lasting from Mon Sep 26 04:38:55 2016 UTC to Mon Sep 26 11:45:36 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:29:57 2016 UTC-Mon Sep 26 07:29:57 2016 UTC (0.010 )  Time stamp start 1474874997348785875 end 1474874997338785750  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:08 2016 UTC-Mon Sep 26 07:30:08 2016 UTC (0.010 )  Time stamp start 1474875008381321215 end 1474875008371321215  Run 309375, LB 177, lumi 48.07
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:18 2016 UTC-Mon Sep 26 07:30:18 2016 UTC (0.010 )  Time stamp start 1474875018203208890 end 1474875018193207670  Run 309375, LB 178, lumi 55.41
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:27 2016 UTC-Mon Sep 26 07:30:27 2016 UTC (0.010 )  Time stamp start 1474875027471836785 end 1474875027461836610  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:31 2016 UTC-Mon Sep 26 07:30:31 2016 UTC (0.010 )  Time stamp start 1474875031691331130 end 1474875031681331130  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:44 2016 UTC-Mon Sep 26 07:30:44 2016 UTC (0.010 )  Time stamp start 1474875044641536415 end 1474875044631536095  Run 309375, LB 178, lumi 55.40
Event Veto ['NoiseBurst'], Mon Sep 26 07:30:44 2016 UTC-Mon Sep 26 07:30:44 2016 UTC (0.019 )  Time stamp start 1474875044879403050 end 1474875044860484780  Run 309375, LB 178, lumi 104.81
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:30:53 2016 UTC-Mon Sep 26 07:30:53 2016 UTC (0.010 )  Time stamp start 1474875053466547285 end 1474875053456547285  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:31:03 2016 UTC-Mon Sep 26 07:31:03 2016 UTC (0.010 )  Time stamp start 1474875063350988440 end 1474875063340988440  Run 309375, LB 178, lumi 55.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:31:34 2016 UTC-Mon Sep 26 07:31:34 2016 UTC (0.010 )  Time stamp start 1474875094404524955 end 1474875094394523580  Run 309375, LB 179, lumi 43.19
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:31:49 2016 UTC-Mon Sep 26 07:31:49 2016 UTC (0.010 )  Time stamp start 1474875109882420860 end 1474875109872420490  Run 309375, LB 179, lumi 43.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:12 2016 UTC-Mon Sep 26 07:32:12 2016 UTC (0.010 )  Time stamp start 1474875132864536505 end 1474875132854536210  Run 309375, LB 179, lumi 43.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:16 2016 UTC-Mon Sep 26 07:32:16 2016 UTC (0.010 )  Time stamp start 1474875136108403915 end 1474875136098403915  Run 309375, LB 179, lumi 43.18
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:21 2016 UTC-Mon Sep 26 07:32:21 2016 UTC (0.010 )  Time stamp start 1474875141388047650 end 1474875141378047650  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:30 2016 UTC-Mon Sep 26 07:32:30 2016 UTC (0.017 )  Time stamp start 1474875150059812145 end 1474875150043159855  Run 309375, LB 180, lumi 115.98
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:32 2016 UTC-Mon Sep 26 07:32:32 2016 UTC (0.025 )  Time stamp start 1474875152090325760 end 1474875152065211925  Run 309375, LB 180, lumi 174.92
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:38 2016 UTC-Mon Sep 26 07:32:38 2016 UTC (0.010 )  Time stamp start 1474875158702664245 end 1474875158692663900  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:32:47 2016 UTC-Mon Sep 26 07:32:47 2016 UTC (0.022 )  Time stamp start 1474875167224979600 end 1474875167202997655  Run 309375, LB 180, lumi 153.10
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:33:03 2016 UTC-Mon Sep 26 07:33:03 2016 UTC (0.010 )  Time stamp start 1474875183169266345 end 1474875183159266345  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:33:11 2016 UTC-Mon Sep 26 07:33:11 2016 UTC (0.010 )  Time stamp start 1474875191751726425 end 1474875191741726105  Run 309375, LB 180, lumi 69.65
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:33:20 2016 UTC-Mon Sep 26 07:33:20 2016 UTC (0.010 )  Time stamp start 1474875200379795115 end 1474875200369794765  Run 309375, LB 181, lumi 69.46
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:33:37 2016 UTC-Mon Sep 26 07:33:37 2016 UTC (0.010 )  Time stamp start 1474875217102330355 end 1474875217092330055  Run 309375, LB 181, lumi 69.46
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:34:11 2016 UTC-Mon Sep 26 07:34:11 2016 UTC (0.010 )  Time stamp start 1474875251060687825 end 1474875251050687825  Run 309375, LB 181, lumi 69.46
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:34:25 2016 UTC-Mon Sep 26 07:34:25 2016 UTC (0.010 )  Time stamp start 1474875265298447365 end 1474875265288447365  Run 309375, LB 182, lumi 69.31
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:34:28 2016 UTC-Mon Sep 26 07:34:28 2016 UTC (0.010 )  Time stamp start 1474875268039167480 end 1474875268029167480  Run 309375, LB 182, lumi 69.31
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:34:44 2016 UTC-Mon Sep 26 07:34:44 2016 UTC (0.012 )  Time stamp start 1474875284898806310 end 1474875284886683800  Run 309375, LB 182, lumi 84.02
Event Veto ['NoiseBurst'], Mon Sep 26 07:34:48 2016 UTC-Mon Sep 26 07:34:48 2016 UTC (0.010 )  Time stamp start 1474875288920919290 end 1474875288910918365  Run 309375, LB 182, lumi 69.32
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:34:51 2016 UTC-Mon Sep 26 07:34:51 2016 UTC (0.016 )  Time stamp start 1474875291390237380 end 1474875291373791580  Run 309375, LB 182, lumi 113.99
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:35:18 2016 UTC-Mon Sep 26 07:35:18 2016 UTC (0.010 )  Time stamp start 1474875318824391535 end 1474875318814391160  Run 309375, LB 183, lumi 69.15
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:35:25 2016 UTC-Mon Sep 26 07:35:25 2016 UTC (0.010 )  Time stamp start 1474875325209293270 end 1474875325199293270  Run 309375, LB 183, lumi 69.15
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:35:27 2016 UTC-Mon Sep 26 07:35:27 2016 UTC (0.010 )  Time stamp start 1474875327359600030 end 1474875327349599655  Run 309375, LB 183, lumi 69.15
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:35:35 2016 UTC-Mon Sep 26 07:35:35 2016 UTC (0.010 )  Time stamp start 1474875335747488405 end 1474875335737487305  Run 309375, LB 183, lumi 69.16
Event Veto ['NoiseBurst'], Mon Sep 26 07:35:38 2016 UTC-Mon Sep 26 07:35:38 2016 UTC (0.010 )  Time stamp start 1474875338252749255 end 1474875338242748385  Run 309375, LB 183, lumi 69.16
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:36:01 2016 UTC-Mon Sep 26 07:36:01 2016 UTC (0.017 )  Time stamp start 1474875361313610685 end 1474875361296582610  Run 309375, LB 183, lumi 117.75
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:36:41 2016 UTC-Mon Sep 26 07:36:41 2016 UTC (0.010 )  Time stamp start 1474875401748795445 end 1474875401738795445  Run 309375, LB 185, lumi 68.97
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:36:41 2016 UTC-Mon Sep 26 07:36:41 2016 UTC (0.017 )  Time stamp start 1474875401961020000 end 1474875401944303485  Run 309375, LB 185, lumi 115.29
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:36:43 2016 UTC-Mon Sep 26 07:36:43 2016 UTC (0.017 )  Time stamp start 1474875403555058315 end 1474875403538486765  Run 309375, LB 185, lumi 114.29
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:00 2016 UTC-Mon Sep 26 07:37:00 2016 UTC (0.010 )  Time stamp start 1474875420417340210 end 1474875420407339785  Run 309375, LB 185, lumi 68.97
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:05 2016 UTC-Mon Sep 26 07:37:05 2016 UTC (0.010 )  Time stamp start 1474875425399137600 end 1474875425389137600  Run 309375, LB 186, lumi 68.91
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:25 2016 UTC-Mon Sep 26 07:37:25 2016 UTC (0.010 )  Time stamp start 1474875445883547430 end 1474875445873547180  Run 309375, LB 186, lumi 68.91
Event Veto ['NoiseBurst'], Mon Sep 26 07:37:31 2016 UTC-Mon Sep 26 07:37:31 2016 UTC (0.010 )  Time stamp start 1474875451167068560 end 1474875451157067810  Run 309375, LB 187, lumi 68.79
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:33 2016 UTC-Mon Sep 26 07:37:33 2016 UTC (0.004 )  Time stamp start 1474875453885632110 end 1474875453881132110  Run 309375, LB 187, lumi 30.95
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:33 2016 UTC-Mon Sep 26 07:37:33 2016 UTC (0.001 )  Time stamp start 1474875453886632110 end 1474875453885632110  Run 309375, LB 187, lumi 6.88
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:33 2016 UTC-Mon Sep 26 07:37:33 2016 UTC (0.004 )  Time stamp start 1474875453891132110 end 1474875453886632110  Run 309375, LB 187, lumi 30.95
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:34 2016 UTC-Mon Sep 26 07:37:34 2016 UTC (0.010 )  Time stamp start 1474875454270000915 end 1474875454260000740  Run 309375, LB 187, lumi 68.78
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:36 2016 UTC-Mon Sep 26 07:37:36 2016 UTC (0.010 )  Time stamp start 1474875456218420505 end 1474875456208420505  Run 309375, LB 187, lumi 68.78
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:37:59 2016 UTC-Mon Sep 26 07:37:59 2016 UTC (0.010 )  Time stamp start 1474875479504455410 end 1474875479494455285  Run 309375, LB 187, lumi 68.78
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:38:16 2016 UTC-Mon Sep 26 07:38:16 2016 UTC (0.011 )  Time stamp start 1474875496549221700 end 1474875496538651030  Run 309375, LB 187, lumi 72.71
Event Veto ['NoiseBurst'], Mon Sep 26 07:38:35 2016 UTC-Mon Sep 26 07:38:35 2016 UTC (0.010 )  Time stamp start 1474875515137169565 end 1474875515127168565  Run 309375, LB 188, lumi 68.67
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:38:42 2016 UTC-Mon Sep 26 07:38:42 2016 UTC (0.010 )  Time stamp start 1474875522025533625 end 1474875522015533500  Run 309375, LB 188, lumi 68.67
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:38:58 2016 UTC-Mon Sep 26 07:38:58 2016 UTC (0.010 )  Time stamp start 1474875538958935930 end 1474875538948935930  Run 309375, LB 188, lumi 68.67
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:01 2016 UTC-Mon Sep 26 07:39:01 2016 UTC (0.010 )  Time stamp start 1474875541579717615 end 1474875541569717615  Run 309375, LB 189, lumi 68.55
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:07 2016 UTC-Mon Sep 26 07:39:07 2016 UTC (0.010 )  Time stamp start 1474875547469156140 end 1474875547459155890  Run 309375, LB 189, lumi 68.55
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:15 2016 UTC-Mon Sep 26 07:39:15 2016 UTC (0.010 )  Time stamp start 1474875555857741240 end 1474875555847740990  Run 309375, LB 189, lumi 68.55
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:16 2016 UTC-Mon Sep 26 07:39:16 2016 UTC (0.004 )  Time stamp start 1474875556579997715 end 1474875556575497715  Run 309375, LB 189, lumi 30.85
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:16 2016 UTC-Mon Sep 26 07:39:16 2016 UTC (0.001 )  Time stamp start 1474875556580997715 end 1474875556579997715  Run 309375, LB 189, lumi 6.85
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:16 2016 UTC-Mon Sep 26 07:39:16 2016 UTC (0.004 )  Time stamp start 1474875556585497715 end 1474875556580997715  Run 309375, LB 189, lumi 30.85
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:24 2016 UTC-Mon Sep 26 07:39:24 2016 UTC (0.010 )  Time stamp start 1474875564401505075 end 1474875564391504950  Run 309375, LB 189, lumi 68.55
Event Veto ['NoiseBurst'], Mon Sep 26 07:39:39 2016 UTC-Mon Sep 26 07:39:39 2016 UTC (0.010 )  Time stamp start 1474875579675231225 end 1474875579665228605  Run 309375, LB 189, lumi 68.57
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:41 2016 UTC-Mon Sep 26 07:39:41 2016 UTC (0.004 )  Time stamp start 1474875581397722330 end 1474875581393222330  Run 309375, LB 189, lumi 30.85
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:41 2016 UTC-Mon Sep 26 07:39:41 2016 UTC (0.001 )  Time stamp start 1474875581398722330 end 1474875581397722330  Run 309375, LB 189, lumi 6.85
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:39:41 2016 UTC-Mon Sep 26 07:39:41 2016 UTC (0.004 )  Time stamp start 1474875581403222330 end 1474875581398722330  Run 309375, LB 189, lumi 30.85
Event Veto ['NoiseBurst'], Mon Sep 26 07:39:44 2016 UTC-Mon Sep 26 07:39:44 2016 UTC (0.010 )  Time stamp start 1474875584816654120 end 1474875584806653650  Run 309375, LB 189, lumi 68.55
Event Veto ['NoiseBurst'], Mon Sep 26 07:39:44 2016 UTC-Mon Sep 26 07:39:44 2016 UTC (0.000 )  Time stamp start 1474875584816654420 end 1474875584816654120  Run 309375, LB 189, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:40:06 2016 UTC-Mon Sep 26 07:40:06 2016 UTC (0.010 )  Time stamp start 1474875606438066240 end 1474875606428066240  Run 309375, LB 190, lumi 68.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:40:06 2016 UTC-Mon Sep 26 07:40:06 2016 UTC (0.010 )  Time stamp start 1474875606825741310 end 1474875606815741310  Run 309375, LB 190, lumi 68.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:40:57 2016 UTC-Mon Sep 26 07:40:57 2016 UTC (0.010 )  Time stamp start 1474875657530528705 end 1474875657520528455  Run 309375, LB 190, lumi 68.40
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:41:14 2016 UTC-Mon Sep 26 07:41:14 2016 UTC (0.010 )  Time stamp start 1474875674373975460 end 1474875674363975210  Run 309375, LB 191, lumi 68.24
Event Veto ['MiniNoiseBurst'], Mon Sep 26 07:41:56 2016 UTC-Mon Sep 26 07:41:56 2016 UTC (0.010 )  Time stamp start 1474875716459615980 end 1474875716449615805  Run 309375, LB 191, lumi 68.24
