Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 357539 to 357539
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 357539 to run 357539  lasting from Sun Aug  5 02:14:29 2018 UTC to Sun Aug  5 18:21:34 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:16:04 2018 UTC-Sun Aug  5 07:16:04 2018 UTC (0.001 )  Time stamp start 1533453364782179835 end 1533453364781179710  Run 357539, LB 309, lumi 15.89
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:16:14 2018 UTC-Sun Aug  5 07:16:14 2018 UTC (0.001 )  Time stamp start 1533453374756125075 end 1533453374755124955  Run 357539, LB 309, lumi 15.89
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:16:30 2018 UTC-Sun Aug  5 07:16:30 2018 UTC (0.001 )  Time stamp start 1533453390822683365 end 1533453390821683240  Run 357539, LB 309, lumi 15.89
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:16:33 2018 UTC-Sun Aug  5 07:16:33 2018 UTC (0.001 )  Time stamp start 1533453393147057825 end 1533453393146057825  Run 357539, LB 309, lumi 15.89
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:16:42 2018 UTC-Sun Aug  5 07:16:42 2018 UTC (0.001 )  Time stamp start 1533453402436280835 end 1533453402435280710  Run 357539, LB 310, lumi 17.24
Event Veto ['NoiseBurst'], Sun Aug  5 07:16:58 2018 UTC-Sun Aug  5 07:16:58 2018 UTC (0.001 )  Time stamp start 1533453418724557960 end 1533453418723557210  Run 357539, LB 310, lumi 17.25
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:17:14 2018 UTC-Sun Aug  5 07:17:14 2018 UTC (0.001 )  Time stamp start 1533453434087841065 end 1533453434086840940  Run 357539, LB 310, lumi 17.24
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:17:23 2018 UTC-Sun Aug  5 07:17:23 2018 UTC (0.001 )  Time stamp start 1533453443490728470 end 1533453443489728345  Run 357539, LB 310, lumi 17.24
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:17:46 2018 UTC-Sun Aug  5 07:17:46 2018 UTC (0.001 )  Time stamp start 1533453466818851325 end 1533453466817851200  Run 357539, LB 311, lumi 17.68
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:17:59 2018 UTC-Sun Aug  5 07:17:59 2018 UTC (0.001 )  Time stamp start 1533453479016318715 end 1533453479015318715  Run 357539, LB 311, lumi 17.68
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:18:10 2018 UTC-Sun Aug  5 07:18:10 2018 UTC (0.001 )  Time stamp start 1533453490154657085 end 1533453490153656960  Run 357539, LB 311, lumi 17.68
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:19:36 2018 UTC-Sun Aug  5 07:19:36 2018 UTC (0.001 )  Time stamp start 1533453576730052715 end 1533453576729052715  Run 357539, LB 312, lumi 17.63
Event Veto ['NoiseBurst'], Sun Aug  5 07:22:24 2018 UTC-Sun Aug  5 07:22:24 2018 UTC (0.001 )  Time stamp start 1533453744799532000 end 1533453744798531250  Run 357539, LB 315, lumi 17.61
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:22:54 2018 UTC-Sun Aug  5 07:22:54 2018 UTC (0.001 )  Time stamp start 1533453774197898165 end 1533453774196898165  Run 357539, LB 316, lumi 17.55
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:23:02 2018 UTC-Sun Aug  5 07:23:02 2018 UTC (0.001 )  Time stamp start 1533453782662861150 end 1533453782661861150  Run 357539, LB 316, lumi 17.55
Event Veto ['NoiseBurst'], Sun Aug  5 07:23:07 2018 UTC-Sun Aug  5 07:23:07 2018 UTC (0.001 )  Time stamp start 1533453787230164520 end 1533453787229164025  Run 357539, LB 316, lumi 17.56
Event Veto ['NoiseBurst'], Sun Aug  5 07:24:19 2018 UTC-Sun Aug  5 07:24:19 2018 UTC (0.001 )  Time stamp start 1533453859765039950 end 1533453859763993645  Run 357539, LB 317, lumi 18.33
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:24:20 2018 UTC-Sun Aug  5 07:24:20 2018 UTC (0.001 )  Time stamp start 1533453860973001610 end 1533453860972001610  Run 357539, LB 317, lumi 17.52
Event Veto ['NoiseBurst'], Sun Aug  5 07:26:32 2018 UTC-Sun Aug  5 07:26:32 2018 UTC (0.002 )  Time stamp start 1533453992401232510 end 1533453992399131535  Run 357539, LB 319, lumi 36.74
Event Veto ['NoiseBurst'], Sun Aug  5 07:26:32 2018 UTC-Sun Aug  5 07:26:32 2018 UTC (0.001 )  Time stamp start 1533453992407963645 end 1533453992406957185  Run 357539, LB 319, lumi 17.60
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:29:24 2018 UTC-Sun Aug  5 07:29:24 2018 UTC (0.001 )  Time stamp start 1533454164398242605 end 1533454164397242605  Run 357539, LB 322, lumi 17.38
Event Veto ['NoiseBurst'], Sun Aug  5 07:29:59 2018 UTC-Sun Aug  5 07:29:59 2018 UTC (0.002 )  Time stamp start 1533454199760621325 end 1533454199759033060  Run 357539, LB 323, lumi 27.55
Event Veto ['NoiseBurst'], Sun Aug  5 07:29:59 2018 UTC-Sun Aug  5 07:29:59 2018 UTC (0.003 )  Time stamp start 1533454199764096585 end 1533454199760724595  Run 357539, LB 323, lumi 58.49
Event Veto ['NoiseBurst'], Sun Aug  5 07:29:59 2018 UTC-Sun Aug  5 07:29:59 2018 UTC (0.001 )  Time stamp start 1533454199769324565 end 1533454199768315060  Run 357539, LB 323, lumi 17.51
Event Veto ['NoiseBurst'], Sun Aug  5 07:35:03 2018 UTC-Sun Aug  5 07:35:03 2018 UTC (0.001 )  Time stamp start 1533454503072041045 end 1533454503071040495  Run 357539, LB 328, lumi 17.16
Event Veto ['NoiseBurst'], Sun Aug  5 07:38:30 2018 UTC-Sun Aug  5 07:38:30 2018 UTC (0.001 )  Time stamp start 1533454710431928480 end 1533454710430731820  Run 357539, LB 331, lumi 20.30
Event Veto ['MiniNoiseBurst'], Sun Aug  5 07:38:49 2018 UTC-Sun Aug  5 07:38:49 2018 UTC (0.001 )  Time stamp start 1533454729035065090 end 1533454729034065090  Run 357539, LB 332, lumi 16.36
