Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303059 to 303059
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303059 to run 303059  lasting from Thu Jun 30 15:29:51 2016 UTC to Thu Jun 30 20:18:34 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:53:37 2016 UTC-Thu Jun 30 16:53:37 2016 UTC (0.001 )  Time stamp start 1467305617791125290 end 1467305617790125290  Run 303059, LB 89, lumi 10.67
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:53:43 2016 UTC-Thu Jun 30 16:53:43 2016 UTC (0.001 )  Time stamp start 1467305623740822960 end 1467305623739822960  Run 303059, LB 89, lumi 10.67
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:53:49 2016 UTC-Thu Jun 30 16:53:49 2016 UTC (0.001 )  Time stamp start 1467305629799469530 end 1467305629798469530  Run 303059, LB 89, lumi 10.67
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:06 2016 UTC-Thu Jun 30 16:54:06 2016 UTC (0.001 )  Time stamp start 1467305646636858080 end 1467305646635858080  Run 303059, LB 89, lumi 10.67
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:12 2016 UTC-Thu Jun 30 16:54:12 2016 UTC (0.001 )  Time stamp start 1467305652637890225 end 1467305652636890225  Run 303059, LB 90, lumi 10.66
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:24 2016 UTC-Thu Jun 30 16:54:24 2016 UTC (0.001 )  Time stamp start 1467305664862013695 end 1467305664861012525  Run 303059, LB 90, lumi 10.67
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:30 2016 UTC-Thu Jun 30 16:54:30 2016 UTC (0.001 )  Time stamp start 1467305670793324395 end 1467305670792324020  Run 303059, LB 90, lumi 10.66
Event Veto ['NoiseBurst'], Thu Jun 30 16:54:31 2016 UTC-Thu Jun 30 16:54:31 2016 UTC (0.016 )  Time stamp start 1467305671709464750 end 1467305671693656990  Run 303059, LB 90, lumi 168.44
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:35 2016 UTC-Thu Jun 30 16:54:35 2016 UTC (0.001 )  Time stamp start 1467305675503922980 end 1467305675502922980  Run 303059, LB 90, lumi 10.66
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:41 2016 UTC-Thu Jun 30 16:54:41 2016 UTC (0.001 )  Time stamp start 1467305681520396915 end 1467305681519396915  Run 303059, LB 90, lumi 10.66
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:47 2016 UTC-Thu Jun 30 16:54:47 2016 UTC (0.001 )  Time stamp start 1467305687641637030 end 1467305687640637030  Run 303059, LB 90, lumi 10.66
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:54:53 2016 UTC-Thu Jun 30 16:54:53 2016 UTC (0.001 )  Time stamp start 1467305693613878965 end 1467305693612871805  Run 303059, LB 90, lumi 10.73
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:05 2016 UTC-Thu Jun 30 16:55:05 2016 UTC (0.001 )  Time stamp start 1467305705636504060 end 1467305705635504060  Run 303059, LB 90, lumi 10.66
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:11 2016 UTC-Thu Jun 30 16:55:11 2016 UTC (0.001 )  Time stamp start 1467305711638428195 end 1467305711637428070  Run 303059, LB 91, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:17 2016 UTC-Thu Jun 30 16:55:17 2016 UTC (0.001 )  Time stamp start 1467305717673540005 end 1467305717672539880  Run 303059, LB 91, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:23 2016 UTC-Thu Jun 30 16:55:23 2016 UTC (0.001 )  Time stamp start 1467305723714355055 end 1467305723713354830  Run 303059, LB 91, lumi 10.50
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:29 2016 UTC-Thu Jun 30 16:55:29 2016 UTC (0.001 )  Time stamp start 1467305729820177610 end 1467305729819177610  Run 303059, LB 91, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:46 2016 UTC-Thu Jun 30 16:55:46 2016 UTC (0.001 )  Time stamp start 1467305746954532595 end 1467305746953532595  Run 303059, LB 91, lumi 10.49
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:55:51 2016 UTC-Thu Jun 30 16:55:51 2016 UTC (0.001 )  Time stamp start 1467305751938451000 end 1467305751937449705  Run 303059, LB 91, lumi 10.51
Event Veto ['NoiseBurst'], Thu Jun 30 16:56:01 2016 UTC-Thu Jun 30 16:56:01 2016 UTC (0.010 )  Time stamp start 1467305761439705920 end 1467305761429705150  Run 303059, LB 91, lumi 104.94
Event Veto ['MiniNoiseBurst'], Thu Jun 30 16:56:16 2016 UTC-Thu Jun 30 16:56:16 2016 UTC (0.001 )  Time stamp start 1467305776382762235 end 1467305776381761935  Run 303059, LB 92, lumi 10.28
