Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359766 to 359766
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359766 to run 359766  lasting from Mon Sep  3 05:27:30 2018 UTC to Mon Sep  3 13:02:30 2018 UTC
Event Veto ['NoiseBurst'], Mon Sep  3 06:46:20 2018 UTC-Mon Sep  3 06:46:20 2018 UTC (0.001 )  Time stamp start 1535957180196472590 end 1535957180195472470  Run 359766, LB 87, lumi 19.57
Event Veto ['NoiseBurst'], Mon Sep  3 06:48:04 2018 UTC-Mon Sep  3 06:48:04 2018 UTC (0.001 )  Time stamp start 1535957284202650580 end 1535957284201650030  Run 359766, LB 89, lumi 19.45
Event Veto ['NoiseBurst'], Mon Sep  3 06:48:45 2018 UTC-Mon Sep  3 06:48:45 2018 UTC (0.001 )  Time stamp start 1535957325638802340 end 1535957325637801840  Run 359766, LB 90, lumi 19.40
Event Veto ['MiniNoiseBurst'], Mon Sep  3 06:51:04 2018 UTC-Mon Sep  3 06:51:04 2018 UTC (0.001 )  Time stamp start 1535957464316956445 end 1535957464315956445  Run 359766, LB 92, lumi 19.19
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 06:53:36 2018 UTC-Mon Sep  3 06:53:36 2018 UTC (0.001 )  Time stamp start 1535957616577645975 end 1535957616576645975  Run 359766, LB 95, lumi 17.83
Event Veto ['MiniNoiseBurst'], Mon Sep  3 06:59:21 2018 UTC-Mon Sep  3 06:59:21 2018 UTC (0.001 )  Time stamp start 1535957961492275905 end 1535957961491275905  Run 359766, LB 101, lumi 19.22
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:01:05 2018 UTC-Mon Sep  3 07:01:05 2018 UTC (0.001 )  Time stamp start 1535958065349563960 end 1535958065348563960  Run 359766, LB 103, lumi 19.12
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:02:17 2018 UTC-Mon Sep  3 07:02:17 2018 UTC (0.001 )  Time stamp start 1535958137342501440 end 1535958137341501440  Run 359766, LB 104, lumi 19.05
Event Veto ['NoiseBurst'], Mon Sep  3 07:03:59 2018 UTC-Mon Sep  3 07:03:59 2018 UTC (0.001 )  Time stamp start 1535958239992679265 end 1535958239991678890  Run 359766, LB 106, lumi 18.92
Event Veto ['NoiseBurst'], Mon Sep  3 07:04:24 2018 UTC-Mon Sep  3 07:04:24 2018 UTC (0.001 )  Time stamp start 1535958264111107650 end 1535958264110107150  Run 359766, LB 106, lumi 18.92
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:04:44 2018 UTC-Mon Sep  3 07:04:44 2018 UTC (0.001 )  Time stamp start 1535958284859501825 end 1535958284858501825  Run 359766, LB 107, lumi 18.92
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:06:46 2018 UTC-Mon Sep  3 07:06:46 2018 UTC (0.001 )  Time stamp start 1535958406452415415 end 1535958406451415415  Run 359766, LB 109, lumi 18.84
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:07:01 2018 UTC-Mon Sep  3 07:07:01 2018 UTC (0.001 )  Time stamp start 1535958421438142775 end 1535958421437142775  Run 359766, LB 109, lumi 18.84
Event Veto ['NoiseBurst'], Mon Sep  3 07:09:57 2018 UTC-Mon Sep  3 07:09:57 2018 UTC (0.001 )  Time stamp start 1535958597552975950 end 1535958597551975200  Run 359766, LB 112, lumi 18.73
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:10:00 2018 UTC-Mon Sep  3 07:10:00 2018 UTC (0.001 )  Time stamp start 1535958600164711655 end 1535958600163711655  Run 359766, LB 112, lumi 18.71
Event Veto ['NoiseBurst'], Mon Sep  3 07:10:01 2018 UTC-Mon Sep  3 07:10:01 2018 UTC (0.001 )  Time stamp start 1535958601821529705 end 1535958601820529210  Run 359766, LB 112, lumi 18.72
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:12:25 2018 UTC-Mon Sep  3 07:12:25 2018 UTC (0.001 )  Time stamp start 1535958745015780880 end 1535958745014780880  Run 359766, LB 114, lumi 18.57
Event Veto ['NoiseBurst'], Mon Sep  3 07:12:54 2018 UTC-Mon Sep  3 07:12:54 2018 UTC (0.001 )  Time stamp start 1535958774464944835 end 1535958774463943965  Run 359766, LB 115, lumi 18.51
Event Veto ['NoiseBurst'], Mon Sep  3 07:13:11 2018 UTC-Mon Sep  3 07:13:11 2018 UTC (0.001 )  Time stamp start 1535958791916235380 end 1535958791915234755  Run 359766, LB 115, lumi 18.51
Event Veto ['NoiseBurst'], Mon Sep  3 07:13:33 2018 UTC-Mon Sep  3 07:13:33 2018 UTC (0.001 )  Time stamp start 1535958813747312670 end 1535958813746312020  Run 359766, LB 116, lumi 18.47
Event Veto ['NoiseBurst'], Mon Sep  3 07:13:48 2018 UTC-Mon Sep  3 07:13:48 2018 UTC (0.001 )  Time stamp start 1535958828502031050 end 1535958828501030525  Run 359766, LB 116, lumi 18.47
Event Veto ['NoiseBurst'], Mon Sep  3 07:14:22 2018 UTC-Mon Sep  3 07:14:22 2018 UTC (0.001 )  Time stamp start 1535958862775391120 end 1535958862774390470  Run 359766, LB 117, lumi 18.48
Event Veto ['NoiseBurst'], Mon Sep  3 07:14:45 2018 UTC-Mon Sep  3 07:14:45 2018 UTC (0.001 )  Time stamp start 1535958885582404940 end 1535958885581404440  Run 359766, LB 117, lumi 18.48
Event Veto ['NoiseBurst'], Mon Sep  3 07:14:56 2018 UTC-Mon Sep  3 07:14:56 2018 UTC (0.001 )  Time stamp start 1535958896801280265 end 1535958896800279640  Run 359766, LB 117, lumi 18.48
Event Veto ['NoiseBurst'], Mon Sep  3 07:15:07 2018 UTC-Mon Sep  3 07:15:07 2018 UTC (0.001 )  Time stamp start 1535958907196249785 end 1535958907195249410  Run 359766, LB 118, lumi 18.45
Event Veto ['NoiseBurst'], Mon Sep  3 07:15:23 2018 UTC-Mon Sep  3 07:15:23 2018 UTC (0.001 )  Time stamp start 1535958923202894240 end 1535958923201893840  Run 359766, LB 118, lumi 18.45
Event Veto ['NoiseBurst'], Mon Sep  3 07:15:31 2018 UTC-Mon Sep  3 07:15:31 2018 UTC (0.001 )  Time stamp start 1535958931537708455 end 1535958931536708080  Run 359766, LB 118, lumi 18.45
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:08 2018 UTC-Mon Sep  3 07:16:08 2018 UTC (0.001 )  Time stamp start 1535958968386833520 end 1535958968385833220  Run 359766, LB 119, lumi 18.41
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:18 2018 UTC-Mon Sep  3 07:16:18 2018 UTC (0.001 )  Time stamp start 1535958978064476790 end 1535958978063073760  Run 359766, LB 119, lumi 25.82
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:18 2018 UTC-Mon Sep  3 07:16:18 2018 UTC (0.001 )  Time stamp start 1535958978224462810 end 1535958978223462435  Run 359766, LB 119, lumi 18.41
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:31 2018 UTC-Mon Sep  3 07:16:31 2018 UTC (0.001 )  Time stamp start 1535958991162068530 end 1535958991161068130  Run 359766, LB 119, lumi 18.41
Event Veto ['MiniNoiseBurst'], Mon Sep  3 07:16:36 2018 UTC-Mon Sep  3 07:16:36 2018 UTC (0.001 )  Time stamp start 1535958996167221780 end 1535958996166221780  Run 359766, LB 119, lumi 18.41
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:38 2018 UTC-Mon Sep  3 07:16:38 2018 UTC (0.001 )  Time stamp start 1535958998869721940 end 1535958998868721690  Run 359766, LB 119, lumi 18.41
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:46 2018 UTC-Mon Sep  3 07:16:46 2018 UTC (0.001 )  Time stamp start 1535959006503359550 end 1535959006502359250  Run 359766, LB 119, lumi 18.41
Event Veto ['NoiseBurst'], Mon Sep  3 07:16:54 2018 UTC-Mon Sep  3 07:16:54 2018 UTC (0.001 )  Time stamp start 1535959014570113170 end 1535959014569113045  Run 359766, LB 119, lumi 18.41
Event Veto ['NoiseBurst'], Mon Sep  3 07:17:03 2018 UTC-Mon Sep  3 07:17:03 2018 UTC (0.001 )  Time stamp start 1535959023916531750 end 1535959023915531350  Run 359766, LB 120, lumi 18.39
Event Veto ['NoiseBurst'], Mon Sep  3 07:17:17 2018 UTC-Mon Sep  3 07:17:17 2018 UTC (0.001 )  Time stamp start 1535959037276776285 end 1535959037275776035  Run 359766, LB 120, lumi 18.39
Event Veto ['NoiseBurst'], Mon Sep  3 07:17:26 2018 UTC-Mon Sep  3 07:17:26 2018 UTC (0.001 )  Time stamp start 1535959046249199560 end 1535959046248199285  Run 359766, LB 120, lumi 18.39
Event Veto ['NoiseBurst'], Mon Sep  3 07:17:36 2018 UTC-Mon Sep  3 07:17:36 2018 UTC (0.001 )  Time stamp start 1535959056539625080 end 1535959056538624705  Run 359766, LB 120, lumi 18.39
Event Veto ['NoiseBurst'], Mon Sep  3 07:17:49 2018 UTC-Mon Sep  3 07:17:49 2018 UTC (0.001 )  Time stamp start 1535959069872721615 end 1535959069871721240  Run 359766, LB 120, lumi 18.39
Event Veto ['NoiseBurst'], Mon Sep  3 07:17:59 2018 UTC-Mon Sep  3 07:17:59 2018 UTC (0.001 )  Time stamp start 1535959079710278825 end 1535959079709278450  Run 359766, LB 120, lumi 18.39
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Sep  3 07:18:00 2018 UTC-Mon Sep  3 07:18:00 2018 UTC (0.001 )  Time stamp start 1535959080827787225 end 1535959080826787225  Run 359766, LB 120, lumi 18.39
