Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303304 to 303304
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303304 to run 303304  lasting from Mon Jul  4 20:01:46 2016 UTC to Tue Jul  5 21:11:28 2016 UTC
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:06 2016 UTC-Mon Jul  4 21:12:06 2016 UTC (0.001 )  Time stamp start 1467666726982951460 end 1467666726981951260  Run 303304, LB 77, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:10 2016 UTC-Mon Jul  4 21:12:10 2016 UTC (0.001 )  Time stamp start 1467666730130396370 end 1467666730129396195  Run 303304, LB 77, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:16 2016 UTC-Mon Jul  4 21:12:16 2016 UTC (0.001 )  Time stamp start 1467666736382548245 end 1467666736381548245  Run 303304, LB 77, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:22 2016 UTC-Mon Jul  4 21:12:22 2016 UTC (0.001 )  Time stamp start 1467666742585499655 end 1467666742584499655  Run 303304, LB 77, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:32 2016 UTC-Mon Jul  4 21:12:32 2016 UTC (0.001 )  Time stamp start 1467666752286969345 end 1467666752285969345  Run 303304, LB 77, lumi 9.85
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:44 2016 UTC-Mon Jul  4 21:12:44 2016 UTC (0.001 )  Time stamp start 1467666764841205385 end 1467666764840205385  Run 303304, LB 78, lumi 9.80
Event Veto ['NoiseBurst'], Mon Jul  4 21:12:47 2016 UTC-Mon Jul  4 21:12:47 2016 UTC (0.010 )  Time stamp start 1467666767793528315 end 1467666767783475595  Run 303304, LB 78, lumi 98.53
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:47 2016 UTC-Mon Jul  4 21:12:47 2016 UTC (0.001 )  Time stamp start 1467666767990246715 end 1467666767989246540  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:51 2016 UTC-Mon Jul  4 21:12:51 2016 UTC (0.001 )  Time stamp start 1467666771182848520 end 1467666771181848395  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:54 2016 UTC-Mon Jul  4 21:12:54 2016 UTC (0.001 )  Time stamp start 1467666774364114705 end 1467666774363114455  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:12:57 2016 UTC-Mon Jul  4 21:12:57 2016 UTC (0.001 )  Time stamp start 1467666777312135125 end 1467666777311135125  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:06 2016 UTC-Mon Jul  4 21:13:06 2016 UTC (0.001 )  Time stamp start 1467666786623134005 end 1467666786622133880  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:12 2016 UTC-Mon Jul  4 21:13:12 2016 UTC (0.001 )  Time stamp start 1467666792893118670 end 1467666792892118670  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:16 2016 UTC-Mon Jul  4 21:13:16 2016 UTC (0.001 )  Time stamp start 1467666796189732445 end 1467666796188732445  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:19 2016 UTC-Mon Jul  4 21:13:19 2016 UTC (0.001 )  Time stamp start 1467666799510788440 end 1467666799509788440  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:22 2016 UTC-Mon Jul  4 21:13:22 2016 UTC (0.001 )  Time stamp start 1467666802713734820 end 1467666802712734070  Run 303304, LB 78, lumi 9.81
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:25 2016 UTC-Mon Jul  4 21:13:25 2016 UTC (0.001 )  Time stamp start 1467666805743301760 end 1467666805742301360  Run 303304, LB 78, lumi 9.81
Event Veto ['NoiseBurst'], Mon Jul  4 21:13:31 2016 UTC-Mon Jul  4 21:13:31 2016 UTC (0.013 )  Time stamp start 1467666811317971745 end 1467666811304830275  Run 303304, LB 78, lumi 128.81
Event Veto ['NoiseBurst'], Mon Jul  4 21:13:31 2016 UTC-Mon Jul  4 21:13:31 2016 UTC (0.024 )  Time stamp start 1467666811369251650 end 1467666811345067530  Run 303304, LB 78, lumi 237.04
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:32 2016 UTC-Mon Jul  4 21:13:32 2016 UTC (0.001 )  Time stamp start 1467666812195839955 end 1467666812194839780  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:38 2016 UTC-Mon Jul  4 21:13:38 2016 UTC (0.001 )  Time stamp start 1467666818733627885 end 1467666818732627885  Run 303304, LB 78, lumi 9.80
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:41 2016 UTC-Mon Jul  4 21:13:41 2016 UTC (0.001 )  Time stamp start 1467666821926485335 end 1467666821925485335  Run 303304, LB 79, lumi 9.67
Event Veto ['NoiseBurst'], Mon Jul  4 21:13:44 2016 UTC-Mon Jul  4 21:13:44 2016 UTC (0.010 )  Time stamp start 1467666824077009690 end 1467666824067009015  Run 303304, LB 79, lumi 96.69
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:45 2016 UTC-Mon Jul  4 21:13:45 2016 UTC (0.001 )  Time stamp start 1467666825204404795 end 1467666825203404795  Run 303304, LB 79, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:48 2016 UTC-Mon Jul  4 21:13:48 2016 UTC (0.001 )  Time stamp start 1467666828415738095 end 1467666828414737270  Run 303304, LB 79, lumi 9.68
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:51 2016 UTC-Mon Jul  4 21:13:51 2016 UTC (0.001 )  Time stamp start 1467666831652063700 end 1467666831651063700  Run 303304, LB 79, lumi 9.67
Event Veto ['MiniNoiseBurst'], Mon Jul  4 21:13:58 2016 UTC-Mon Jul  4 21:13:58 2016 UTC (0.001 )  Time stamp start 1467666838183176060 end 1467666838182176060  Run 303304, LB 79, lumi 9.67
