Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334588 to 334588
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334588 to run 334588  lasting from Fri Sep  1 02:24:27 2017 UTC to Fri Sep  1 12:12:50 2017 UTC
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:22:01 2017 UTC-Fri Sep  1 03:22:01 2017 UTC (0.001 )  Time stamp start 1504236121600286130 end 1504236121599286130  Run 334588, LB 65, lumi 0.00
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:32:01 2017 UTC-Fri Sep  1 03:32:01 2017 UTC (0.001 )  Time stamp start 1504236721125637415 end 1504236721124637415  Run 334588, LB 76, lumi 6.44
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:32:17 2017 UTC-Fri Sep  1 03:32:17 2017 UTC (0.001 )  Time stamp start 1504236737818013290 end 1504236737817013290  Run 334588, LB 76, lumi 6.44
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:36:27 2017 UTC-Fri Sep  1 03:36:27 2017 UTC (0.001 )  Time stamp start 1504236987859191510 end 1504236987858191510  Run 334588, LB 80, lumi 7.15
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:36:56 2017 UTC-Fri Sep  1 03:36:56 2017 UTC (0.001 )  Time stamp start 1504237016495332345 end 1504237016494332345  Run 334588, LB 82, lumi 7.13
Event Veto ['DataCorruption'], Fri Sep  1 03:37:10 2017 UTC-Fri Sep  1 03:37:11 2017 UTC (0.500 )  Time stamp start 1504237031015534415 end 1504237030515507145  Run 334588, LBs 83-84, lumi 3565.39
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:38:19 2017 UTC-Fri Sep  1 03:38:19 2017 UTC (0.001 )  Time stamp start 1504237099647432110 end 1504237099646432110  Run 334588, LB 85, lumi 6.96
Event Veto ['NoiseBurst'], Fri Sep  1 03:39:25 2017 UTC-Fri Sep  1 03:39:25 2017 UTC (0.001 )  Time stamp start 1504237165363966255 end 1504237165362757215  Run 334588, LB 86, lumi 8.08
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:39:37 2017 UTC-Fri Sep  1 03:39:37 2017 UTC (0.001 )  Time stamp start 1504237177269133710 end 1504237177268133710  Run 334588, LB 87, lumi 7.05
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:40:44 2017 UTC-Fri Sep  1 03:40:44 2017 UTC (0.001 )  Time stamp start 1504237244166338485 end 1504237244165338485  Run 334588, LB 88, lumi 7.11
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:41:00 2017 UTC-Fri Sep  1 03:41:00 2017 UTC (0.001 )  Time stamp start 1504237260177273215 end 1504237260176273215  Run 334588, LB 88, lumi 7.11
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:41:04 2017 UTC-Fri Sep  1 03:41:04 2017 UTC (0.001 )  Time stamp start 1504237264247592895 end 1504237264246592895  Run 334588, LB 88, lumi 7.11
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri Sep  1 03:41:26 2017 UTC-Fri Sep  1 03:41:26 2017 UTC (0.001 )  Time stamp start 1504237286806231070 end 1504237286805231070  Run 334588, LB 88, lumi 7.11
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:41:54 2017 UTC-Fri Sep  1 03:41:54 2017 UTC (0.001 )  Time stamp start 1504237314515793305 end 1504237314514793305  Run 334588, LB 89, lumi 7.10
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:43:42 2017 UTC-Fri Sep  1 03:43:42 2017 UTC (0.001 )  Time stamp start 1504237422631260835 end 1504237422630260835  Run 334588, LB 91, lumi 7.06
Event Veto ['MiniNoiseBurst'], Fri Sep  1 03:44:10 2017 UTC-Fri Sep  1 03:44:10 2017 UTC (0.001 )  Time stamp start 1504237450500216085 end 1504237450499216085  Run 334588, LB 91, lumi 7.06
