Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 325713 to 325713
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 325713 to run 325713  lasting from Sun Jun  4 22:23:29 2017 UTC to Mon Jun  5 10:34:11 2017 UTC
Event Veto ['NoiseBurst'], Mon Jun  5 00:13:58 2017 UTC-Mon Jun  5 00:13:58 2017 UTC (0.002 )  Time stamp start 1496621638110973460 end 1496621638108662900  Run 325713, LB 116, lumi 7.10
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:15:16 2017 UTC-Mon Jun  5 00:15:16 2017 UTC (0.001 )  Time stamp start 1496621716329551055 end 1496621716328551055  Run 325713, LB 118, lumi 3.06
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:15:20 2017 UTC-Mon Jun  5 00:15:20 2017 UTC (0.001 )  Time stamp start 1496621720602145740 end 1496621720601145740  Run 325713, LB 118, lumi 3.06
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:15:43 2017 UTC-Mon Jun  5 00:15:43 2017 UTC (0.001 )  Time stamp start 1496621743558836110 end 1496621743557836110  Run 325713, LB 118, lumi 3.06
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:18:23 2017 UTC-Mon Jun  5 00:18:23 2017 UTC (0.001 )  Time stamp start 1496621903259313240 end 1496621903258313240  Run 325713, LB 121, lumi 3.04
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:19:32 2017 UTC-Mon Jun  5 00:19:32 2017 UTC (0.001 )  Time stamp start 1496621972006815625 end 1496621972005815625  Run 325713, LB 122, lumi 3.03
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:23:23 2017 UTC-Mon Jun  5 00:23:23 2017 UTC (0.001 )  Time stamp start 1496622203987545005 end 1496622203986545005  Run 325713, LB 126, lumi 3.02
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:26:38 2017 UTC-Mon Jun  5 00:26:38 2017 UTC (0.001 )  Time stamp start 1496622398616540085 end 1496622398615540085  Run 325713, LB 129, lumi 3.01
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:28:40 2017 UTC-Mon Jun  5 00:28:40 2017 UTC (0.001 )  Time stamp start 1496622520864027485 end 1496622520863027485  Run 325713, LB 131, lumi 3.00
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:30:37 2017 UTC-Mon Jun  5 00:30:37 2017 UTC (0.001 )  Time stamp start 1496622637548607165 end 1496622637547606870  Run 325713, LB 133, lumi 2.98
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:31:58 2017 UTC-Mon Jun  5 00:31:58 2017 UTC (0.001 )  Time stamp start 1496622718885937765 end 1496622718884937765  Run 325713, LB 134, lumi 2.98
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:34:23 2017 UTC-Mon Jun  5 00:34:23 2017 UTC (0.001 )  Time stamp start 1496622863363063975 end 1496622863362063975  Run 325713, LB 137, lumi 2.96
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:35:58 2017 UTC-Mon Jun  5 00:35:58 2017 UTC (0.001 )  Time stamp start 1496622958062203615 end 1496622958061203615  Run 325713, LB 138, lumi 2.95
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:40:08 2017 UTC-Mon Jun  5 00:40:08 2017 UTC (0.001 )  Time stamp start 1496623208995043870 end 1496623208994043870  Run 325713, LB 143, lumi 2.93
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:41:40 2017 UTC-Mon Jun  5 00:41:40 2017 UTC (0.001 )  Time stamp start 1496623300998153070 end 1496623300997153070  Run 325713, LB 148, lumi 2.91
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:46:22 2017 UTC-Mon Jun  5 00:46:22 2017 UTC (0.001 )  Time stamp start 1496623582247884700 end 1496623582246884700  Run 325713, LB 167, lumi 2.89
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Mon Jun  5 00:47:23 2017 UTC-Mon Jun  5 00:47:23 2017 UTC (0.001 )  Time stamp start 1496623643811537320 end 1496623643810537320  Run 325713, LB 169, lumi 2.88
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:52:55 2017 UTC-Mon Jun  5 00:52:55 2017 UTC (0.001 )  Time stamp start 1496623975271012315 end 1496623975270012315  Run 325713, LB 177, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:52:59 2017 UTC-Mon Jun  5 00:52:59 2017 UTC (0.001 )  Time stamp start 1496623979957856155 end 1496623979956856155  Run 325713, LB 177, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:54:53 2017 UTC-Mon Jun  5 00:54:53 2017 UTC (0.001 )  Time stamp start 1496624093703434300 end 1496624093702434300  Run 325713, LB 180, lumi 2.85
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:55:02 2017 UTC-Mon Jun  5 00:55:02 2017 UTC (0.001 )  Time stamp start 1496624102134022370 end 1496624102133022370  Run 325713, LB 180, lumi 2.85
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:55:18 2017 UTC-Mon Jun  5 00:55:18 2017 UTC (0.001 )  Time stamp start 1496624118142735285 end 1496624118141735285  Run 325713, LB 181, lumi 2.85
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:56:14 2017 UTC-Mon Jun  5 00:56:14 2017 UTC (0.001 )  Time stamp start 1496624174789535635 end 1496624174788535635  Run 325713, LB 182, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:58:53 2017 UTC-Mon Jun  5 00:58:53 2017 UTC (0.001 )  Time stamp start 1496624333066667820 end 1496624333065667820  Run 325713, LB 185, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:59:43 2017 UTC-Mon Jun  5 00:59:43 2017 UTC (0.001 )  Time stamp start 1496624383268286820 end 1496624383267286820  Run 325713, LB 186, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 00:59:53 2017 UTC-Mon Jun  5 00:59:53 2017 UTC (0.001 )  Time stamp start 1496624393004356015 end 1496624393003356015  Run 325713, LB 186, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:06:34 2017 UTC-Mon Jun  5 01:06:34 2017 UTC (0.001 )  Time stamp start 1496624794176713845 end 1496624794175713845  Run 325713, LB 193, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:08:10 2017 UTC-Mon Jun  5 01:08:10 2017 UTC (0.001 )  Time stamp start 1496624890007621270 end 1496624890006621270  Run 325713, LB 195, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:09:45 2017 UTC-Mon Jun  5 01:09:45 2017 UTC (0.001 )  Time stamp start 1496624985603141950 end 1496624985602141950  Run 325713, LB 197, lumi 2.85
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:11:26 2017 UTC-Mon Jun  5 01:11:26 2017 UTC (0.001 )  Time stamp start 1496625086487355890 end 1496625086486355890  Run 325713, LB 198, lumi 2.85
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:13:10 2017 UTC-Mon Jun  5 01:13:10 2017 UTC (0.001 )  Time stamp start 1496625190527721295 end 1496625190526721295  Run 325713, LB 200, lumi 2.84
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:18:04 2017 UTC-Mon Jun  5 01:18:04 2017 UTC (0.001 )  Time stamp start 1496625484048649115 end 1496625484047649115  Run 325713, LB 205, lumi 2.88
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:21:24 2017 UTC-Mon Jun  5 01:21:24 2017 UTC (0.001 )  Time stamp start 1496625684099522000 end 1496625684098522000  Run 325713, LB 209, lumi 2.87
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:23:54 2017 UTC-Mon Jun  5 01:23:54 2017 UTC (0.001 )  Time stamp start 1496625834907760360 end 1496625834906760360  Run 325713, LB 212, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:27:17 2017 UTC-Mon Jun  5 01:27:17 2017 UTC (0.001 )  Time stamp start 1496626037808528385 end 1496626037807528385  Run 325713, LB 215, lumi 2.86
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:30:39 2017 UTC-Mon Jun  5 01:30:39 2017 UTC (0.001 )  Time stamp start 1496626239107793595 end 1496626239106793595  Run 325713, LB 218, lumi 2.85
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:32:47 2017 UTC-Mon Jun  5 01:32:47 2017 UTC (0.001 )  Time stamp start 1496626367798144095 end 1496626367797144095  Run 325713, LB 221, lumi 2.83
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:33:09 2017 UTC-Mon Jun  5 01:33:09 2017 UTC (0.001 )  Time stamp start 1496626389100433440 end 1496626389099433440  Run 325713, LB 221, lumi 2.83
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:35:21 2017 UTC-Mon Jun  5 01:35:21 2017 UTC (0.001 )  Time stamp start 1496626521519342940 end 1496626521518342940  Run 325713, LB 223, lumi 2.72
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:38:25 2017 UTC-Mon Jun  5 01:38:25 2017 UTC (0.001 )  Time stamp start 1496626705392527140 end 1496626705391527140  Run 325713, LB 226, lumi 2.82
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:39:18 2017 UTC-Mon Jun  5 01:39:18 2017 UTC (0.001 )  Time stamp start 1496626758452003200 end 1496626758451003200  Run 325713, LB 227, lumi 2.83
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:39:25 2017 UTC-Mon Jun  5 01:39:25 2017 UTC (0.001 )  Time stamp start 1496626765688986735 end 1496626765687986735  Run 325713, LB 227, lumi 2.83
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:42:13 2017 UTC-Mon Jun  5 01:42:13 2017 UTC (0.001 )  Time stamp start 1496626933252540145 end 1496626933251540145  Run 325713, LB 230, lumi 2.82
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:45:41 2017 UTC-Mon Jun  5 01:45:41 2017 UTC (0.001 )  Time stamp start 1496627141636483720 end 1496627141635483720  Run 325713, LB 233, lumi 2.81
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:47:29 2017 UTC-Mon Jun  5 01:47:29 2017 UTC (0.001 )  Time stamp start 1496627249772770465 end 1496627249771770465  Run 325713, LB 235, lumi 2.81
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:48:27 2017 UTC-Mon Jun  5 01:48:27 2017 UTC (0.001 )  Time stamp start 1496627307219332980 end 1496627307218332980  Run 325713, LB 236, lumi 2.80
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:50:40 2017 UTC-Mon Jun  5 01:50:40 2017 UTC (0.001 )  Time stamp start 1496627440428911755 end 1496627440427911755  Run 325713, LB 238, lumi 2.79
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:52:05 2017 UTC-Mon Jun  5 01:52:05 2017 UTC (0.001 )  Time stamp start 1496627525146110425 end 1496627525145110425  Run 325713, LB 240, lumi 2.78
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:55:15 2017 UTC-Mon Jun  5 01:55:15 2017 UTC (0.001 )  Time stamp start 1496627715891090205 end 1496627715890090205  Run 325713, LB 243, lumi 2.77
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:55:25 2017 UTC-Mon Jun  5 01:55:25 2017 UTC (0.001 )  Time stamp start 1496627725440280295 end 1496627725439280295  Run 325713, LB 243, lumi 2.77
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:57:15 2017 UTC-Mon Jun  5 01:57:15 2017 UTC (0.001 )  Time stamp start 1496627835157813080 end 1496627835156813080  Run 325713, LB 245, lumi 2.77
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:59:44 2017 UTC-Mon Jun  5 01:59:44 2017 UTC (0.001 )  Time stamp start 1496627984303289660 end 1496627984302289660  Run 325713, LB 247, lumi 2.76
Event Veto ['MiniNoiseBurst'], Mon Jun  5 01:59:55 2017 UTC-Mon Jun  5 01:59:55 2017 UTC (0.001 )  Time stamp start 1496627995557740470 end 1496627995556740470  Run 325713, LB 248, lumi 2.75
Event Veto ['MiniNoiseBurst'], Mon Jun  5 02:00:01 2017 UTC-Mon Jun  5 02:00:01 2017 UTC (0.001 )  Time stamp start 1496628001318711870 end 1496628001317711870  Run 325713, LB 248, lumi 2.75
Event Veto ['MiniNoiseBurst'], Mon Jun  5 02:02:21 2017 UTC-Mon Jun  5 02:02:21 2017 UTC (0.001 )  Time stamp start 1496628141740174200 end 1496628141739174200  Run 325713, LB 250, lumi 2.75
Event Veto ['MiniNoiseBurst'], Mon Jun  5 02:04:12 2017 UTC-Mon Jun  5 02:04:12 2017 UTC (0.001 )  Time stamp start 1496628252834913845 end 1496628252833913845  Run 325713, LB 252, lumi 2.74
Event Veto ['MiniNoiseBurst'], Mon Jun  5 02:04:32 2017 UTC-Mon Jun  5 02:04:32 2017 UTC (0.001 )  Time stamp start 1496628272888706900 end 1496628272887706900  Run 325713, LB 252, lumi 2.74
Event Veto ['MiniNoiseBurst'], Mon Jun  5 02:05:07 2017 UTC-Mon Jun  5 02:05:07 2017 UTC (0.001 )  Time stamp start 1496628307159985520 end 1496628307158985520  Run 325713, LB 253, lumi 2.74
Event Veto ['MiniNoiseBurst'], Mon Jun  5 02:07:54 2017 UTC-Mon Jun  5 02:07:54 2017 UTC (0.001 )  Time stamp start 1496628474390697295 end 1496628474389697295  Run 325713, LB 256, lumi 2.73
