Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 362661 to 362661
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 362661 to run 362661  lasting from Wed Oct  3 23:30:42 2018 UTC to Thu Oct  4 10:47:45 2018 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:02:41 2018 UTC-Thu Oct  4 02:02:41 2018 UTC (0.001 )  Time stamp start 1538618561346243070 end 1538618561345243070  Run 362661, LB 160, lumi 18.30
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:02:58 2018 UTC-Thu Oct  4 02:02:58 2018 UTC (0.001 )  Time stamp start 1538618578257263400 end 1538618578256263400  Run 362661, LB 161, lumi 18.23
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:03:21 2018 UTC-Thu Oct  4 02:03:21 2018 UTC (0.001 )  Time stamp start 1538618601669639775 end 1538618601668639775  Run 362661, LB 161, lumi 18.23
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:04:05 2018 UTC-Thu Oct  4 02:04:05 2018 UTC (0.001 )  Time stamp start 1538618645760981255 end 1538618645759981255  Run 362661, LB 162, lumi 18.21
Event Veto ['NoiseBurst'], Thu Oct  4 02:04:44 2018 UTC-Thu Oct  4 02:04:44 2018 UTC (0.001 )  Time stamp start 1538618684194757135 end 1538618684193680235  Run 362661, LB 162, lumi 19.61
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:11:40 2018 UTC-Thu Oct  4 02:11:40 2018 UTC (0.001 )  Time stamp start 1538619100444804205 end 1538619100443804205  Run 362661, LB 201, lumi 17.72
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  4 02:11:58 2018 UTC-Thu Oct  4 02:11:58 2018 UTC (0.001 )  Time stamp start 1538619118138607600 end 1538619118137607600  Run 362661, LB 202, lumi 17.69
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Thu Oct  4 02:12:07 2018 UTC-Thu Oct  4 02:12:07 2018 UTC (0.001 )  Time stamp start 1538619127980400345 end 1538619127979400345  Run 362661, LB 202, lumi 17.69
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:12:12 2018 UTC-Thu Oct  4 02:12:12 2018 UTC (0.001 )  Time stamp start 1538619132172251660 end 1538619132171251660  Run 362661, LB 202, lumi 17.69
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:12:46 2018 UTC-Thu Oct  4 02:12:46 2018 UTC (0.001 )  Time stamp start 1538619166955996840 end 1538619166954996840  Run 362661, LB 202, lumi 17.69
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:13:01 2018 UTC-Thu Oct  4 02:13:01 2018 UTC (0.001 )  Time stamp start 1538619181580693745 end 1538619181579693745  Run 362661, LB 203, lumi 17.67
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:13:56 2018 UTC-Thu Oct  4 02:13:56 2018 UTC (0.001 )  Time stamp start 1538619236004741565 end 1538619236003741565  Run 362661, LB 204, lumi 17.59
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:14:18 2018 UTC-Thu Oct  4 02:14:18 2018 UTC (0.001 )  Time stamp start 1538619258534388440 end 1538619258533388440  Run 362661, LB 204, lumi 17.59
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:14:36 2018 UTC-Thu Oct  4 02:14:36 2018 UTC (0.001 )  Time stamp start 1538619276929656860 end 1538619276928656860  Run 362661, LB 204, lumi 17.59
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:15:01 2018 UTC-Thu Oct  4 02:15:01 2018 UTC (0.001 )  Time stamp start 1538619301228235965 end 1538619301227235965  Run 362661, LB 205, lumi 17.50
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:16:08 2018 UTC-Thu Oct  4 02:16:08 2018 UTC (0.001 )  Time stamp start 1538619368831941765 end 1538619368830941765  Run 362661, LB 206, lumi 17.45
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:16:44 2018 UTC-Thu Oct  4 02:16:44 2018 UTC (0.001 )  Time stamp start 1538619404077225680 end 1538619404076225680  Run 362661, LB 207, lumi 17.19
Event Veto ['NoiseBurst'], Thu Oct  4 02:17:15 2018 UTC-Thu Oct  4 02:17:15 2018 UTC (0.001 )  Time stamp start 1538619435802666995 end 1538619435801666495  Run 362661, LB 207, lumi 17.19
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:18:20 2018 UTC-Thu Oct  4 02:18:20 2018 UTC (0.001 )  Time stamp start 1538619500382541325 end 1538619500381541325  Run 362661, LB 208, lumi 16.83
Event Veto ['NoiseBurst'], Thu Oct  4 02:19:23 2018 UTC-Thu Oct  4 02:19:23 2018 UTC (0.002 )  Time stamp start 1538619563813213480 end 1538619563811543005  Run 362661, LB 209, lumi 28.94
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:19:47 2018 UTC-Thu Oct  4 02:19:47 2018 UTC (0.001 )  Time stamp start 1538619587989466620 end 1538619587988466620  Run 362661, LB 210, lumi 18.20
Event Veto ['MiniNoiseBurst'], Thu Oct  4 02:19:58 2018 UTC-Thu Oct  4 02:19:58 2018 UTC (0.001 )  Time stamp start 1538619598951815570 end 1538619598950815570  Run 362661, LB 210, lumi 18.20
Event Veto ['NoiseBurst'], Thu Oct  4 02:20:13 2018 UTC-Thu Oct  4 02:20:13 2018 UTC (0.001 )  Time stamp start 1538619613550675435 end 1538619613549648015  Run 362661, LB 211, lumi 18.66
Event Veto ['NoiseBurst'], Thu Oct  4 02:20:13 2018 UTC-Thu Oct  4 02:20:13 2018 UTC (0.001 )  Time stamp start 1538619613624945805 end 1538619613623945680  Run 362661, LB 211, lumi 18.16
