Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 362445 to 362445
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 362445 to run 362445  lasting from Mon Oct  1 20:29:17 2018 UTC to Tue Oct  2 05:04:34 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:00:27 2018 UTC-Tue Oct  2 00:00:27 2018 UTC (0.001 )  Time stamp start 1538438427042289445 end 1538438427041289445  Run 362445, LB 250, lumi 17.19
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:01:28 2018 UTC-Tue Oct  2 00:01:28 2018 UTC (0.001 )  Time stamp start 1538438488894570585 end 1538438488893570585  Run 362445, LB 251, lumi 17.14
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:02:39 2018 UTC-Tue Oct  2 00:02:39 2018 UTC (0.001 )  Time stamp start 1538438559132867755 end 1538438559131867755  Run 362445, LB 252, lumi 17.20
Event Veto ['NoiseBurst'], Tue Oct  2 00:03:31 2018 UTC-Tue Oct  2 00:03:31 2018 UTC (0.001 )  Time stamp start 1538438611458418705 end 1538438611456944220  Run 362445, LB 253, lumi 25.28
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:03:34 2018 UTC-Tue Oct  2 00:03:34 2018 UTC (0.001 )  Time stamp start 1538438614207801425 end 1538438614206801425  Run 362445, LB 253, lumi 17.14
Event Veto ['NoiseBurst'], Tue Oct  2 00:04:00 2018 UTC-Tue Oct  2 00:04:00 2018 UTC (0.001 )  Time stamp start 1538438640934736070 end 1538438640933682775  Run 362445, LB 253, lumi 18.06
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:04:26 2018 UTC-Tue Oct  2 00:04:26 2018 UTC (0.001 )  Time stamp start 1538438666426931410 end 1538438666425931410  Run 362445, LB 254, lumi 17.12
Event Veto ['MiniNoiseBurst'], Tue Oct  2 00:04:46 2018 UTC-Tue Oct  2 00:04:46 2018 UTC (0.001 )  Time stamp start 1538438686923184995 end 1538438686922184995  Run 362445, LB 254, lumi 17.12
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Tue Oct  2 00:05:14 2018 UTC-Tue Oct  2 00:05:14 2018 UTC (0.001 )  Time stamp start 1538438714936774340 end 1538438714935774340  Run 362445, LB 255, lumi 17.09
Event Veto ['NoiseBurst'], Tue Oct  2 00:07:13 2018 UTC-Tue Oct  2 00:07:13 2018 UTC (0.001 )  Time stamp start 1538438833289342820 end 1538438833288333990  Run 362445, LB 256, lumi 17.24
