Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349944 to 349944
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349944 to run 349944  lasting from Wed May  9 16:58:10 2018 UTC to Thu May 10 10:37:01 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:24 2018 UTC-Wed May  9 20:47:24 2018 UTC (0.001 )  Time stamp start 1525898844036963570 end 1525898844035963570  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:27 2018 UTC-Wed May  9 20:47:27 2018 UTC (0.001 )  Time stamp start 1525898847758027370 end 1525898847757027370  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:35 2018 UTC-Wed May  9 20:47:35 2018 UTC (0.001 )  Time stamp start 1525898855681925195 end 1525898855680925195  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:38 2018 UTC-Wed May  9 20:47:38 2018 UTC (0.001 )  Time stamp start 1525898858362008590 end 1525898858361008590  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:40 2018 UTC-Wed May  9 20:47:40 2018 UTC (0.001 )  Time stamp start 1525898860428353710 end 1525898860427353710  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:42 2018 UTC-Wed May  9 20:47:42 2018 UTC (0.001 )  Time stamp start 1525898862845879605 end 1525898862844879605  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:44 2018 UTC-Wed May  9 20:47:44 2018 UTC (0.001 )  Time stamp start 1525898864766471835 end 1525898864765471835  Run 349944, LB 237, lumi 19.35
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:47 2018 UTC-Wed May  9 20:47:47 2018 UTC (0.001 )  Time stamp start 1525898867188001530 end 1525898867187001530  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:50 2018 UTC-Wed May  9 20:47:50 2018 UTC (0.001 )  Time stamp start 1525898870035188705 end 1525898870034188705  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:47:59 2018 UTC-Wed May  9 20:47:59 2018 UTC (0.001 )  Time stamp start 1525898879517256555 end 1525898879516256555  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:02 2018 UTC-Wed May  9 20:48:02 2018 UTC (0.001 )  Time stamp start 1525898882494124750 end 1525898882493124750  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:02 2018 UTC-Wed May  9 20:48:02 2018 UTC (0.001 )  Time stamp start 1525898882985243465 end 1525898882984243465  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:05 2018 UTC-Wed May  9 20:48:05 2018 UTC (0.001 )  Time stamp start 1525898885221254035 end 1525898885220254035  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:07 2018 UTC-Wed May  9 20:48:07 2018 UTC (0.001 )  Time stamp start 1525898887407511755 end 1525898887406511755  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:08 2018 UTC-Wed May  9 20:48:08 2018 UTC (0.001 )  Time stamp start 1525898888801068955 end 1525898888800068955  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:15 2018 UTC-Wed May  9 20:48:15 2018 UTC (0.001 )  Time stamp start 1525898895923002405 end 1525898895922002405  Run 349944, LB 238, lumi 19.32
Event Veto ['MiniNoiseBurst'], Wed May  9 20:48:57 2018 UTC-Wed May  9 20:48:57 2018 UTC (0.001 )  Time stamp start 1525898937928578300 end 1525898937927578300  Run 349944, LB 240, lumi 19.20
Event Veto ['NoiseBurst'], Wed May  9 20:49:02 2018 UTC-Wed May  9 20:49:02 2018 UTC (0.001 )  Time stamp start 1525898942947903725 end 1525898942946745115  Run 349944, LB 240, lumi 22.25
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:04 2018 UTC-Wed May  9 20:49:04 2018 UTC (0.001 )  Time stamp start 1525898944258896610 end 1525898944257896610  Run 349944, LB 240, lumi 19.20
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:20 2018 UTC-Wed May  9 20:49:20 2018 UTC (0.001 )  Time stamp start 1525898960523683685 end 1525898960522683685  Run 349944, LB 240, lumi 19.20
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:23 2018 UTC-Wed May  9 20:49:23 2018 UTC (0.001 )  Time stamp start 1525898963484863775 end 1525898963483863475  Run 349944, LB 240, lumi 19.21
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:25 2018 UTC-Wed May  9 20:49:25 2018 UTC (0.001 )  Time stamp start 1525898965213244375 end 1525898965212244375  Run 349944, LB 240, lumi 19.20
Event Veto ['MiniNoiseBurst'], Wed May  9 20:49:27 2018 UTC-Wed May  9 20:49:27 2018 UTC (0.001 )  Time stamp start 1525898967981483695 end 1525898967980483395  Run 349944, LB 240, lumi 19.21
