Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 335083 to 335083
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 335083 to run 335083  lasting from Sat Sep  9 03:41:29 2017 UTC to Sat Sep  9 16:54:52 2017 UTC
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:49:28 2017 UTC-Sat Sep  9 07:49:28 2017 UTC (0.001 )  Time stamp start 1504943368940289140 end 1504943368939289140  Run 335083, LB 263, lumi 10.03
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:49:29 2017 UTC-Sat Sep  9 07:49:29 2017 UTC (0.001 )  Time stamp start 1504943369207414500 end 1504943369206414500  Run 335083, LB 263, lumi 10.03
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:50:01 2017 UTC-Sat Sep  9 07:50:01 2017 UTC (0.001 )  Time stamp start 1504943401747701730 end 1504943401746701730  Run 335083, LB 263, lumi 10.03
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:51:43 2017 UTC-Sat Sep  9 07:51:43 2017 UTC (0.001 )  Time stamp start 1504943503477061480 end 1504943503476061480  Run 335083, LB 265, lumi 10.00
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:51:50 2017 UTC-Sat Sep  9 07:51:50 2017 UTC (0.001 )  Time stamp start 1504943510821439905 end 1504943510820439905  Run 335083, LB 265, lumi 10.00
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:52:43 2017 UTC-Sat Sep  9 07:52:43 2017 UTC (0.001 )  Time stamp start 1504943563584131465 end 1504943563583131465  Run 335083, LB 266, lumi 9.98
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:55:17 2017 UTC-Sat Sep  9 07:55:17 2017 UTC (0.001 )  Time stamp start 1504943717197355780 end 1504943717196355780  Run 335083, LB 269, lumi 9.95
Event Veto ['NoiseBurst'], Sat Sep  9 07:57:34 2017 UTC-Sat Sep  9 07:57:34 2017 UTC (0.001 )  Time stamp start 1504943854238049615 end 1504943854237048790  Run 335083, LB 272, lumi 9.90
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:58:12 2017 UTC-Sat Sep  9 07:58:12 2017 UTC (0.001 )  Time stamp start 1504943892394892040 end 1504943892393892040  Run 335083, LB 272, lumi 9.89
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:58:19 2017 UTC-Sat Sep  9 07:58:19 2017 UTC (0.001 )  Time stamp start 1504943899588133215 end 1504943899587133215  Run 335083, LB 272, lumi 9.89
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:59:45 2017 UTC-Sat Sep  9 07:59:45 2017 UTC (0.001 )  Time stamp start 1504943985457039025 end 1504943985456039025  Run 335083, LB 274, lumi 9.85
Event Veto ['MiniNoiseBurst'], Sat Sep  9 07:59:50 2017 UTC-Sat Sep  9 07:59:50 2017 UTC (0.001 )  Time stamp start 1504943990209075345 end 1504943990208075345  Run 335083, LB 274, lumi 9.85
