Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349646 to 349646
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349646 to run 349646  lasting from Mon May  7 05:26:12 2018 UTC to Mon May  7 13:15:23 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon May  7 06:54:35 2018 UTC-Mon May  7 06:54:35 2018 UTC (0.001 )  Time stamp start 1525676075338076635 end 1525676075337076635  Run 349646, LB 95, lumi 19.62
Event Veto ['NoiseBurst'], Mon May  7 06:55:05 2018 UTC-Mon May  7 06:55:05 2018 UTC (0.001 )  Time stamp start 1525676105732053015 end 1525676105730908150  Run 349646, LB 95, lumi 22.46
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:19 2018 UTC-Mon May  7 06:55:19 2018 UTC (0.001 )  Time stamp start 1525676119371692810 end 1525676119370692810  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:22 2018 UTC-Mon May  7 06:55:22 2018 UTC (0.001 )  Time stamp start 1525676122737738750 end 1525676122736738625  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:26 2018 UTC-Mon May  7 06:55:26 2018 UTC (0.001 )  Time stamp start 1525676126778735470 end 1525676126777735470  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:38 2018 UTC-Mon May  7 06:55:38 2018 UTC (0.001 )  Time stamp start 1525676138168451435 end 1525676138167451435  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:42 2018 UTC-Mon May  7 06:55:42 2018 UTC (0.001 )  Time stamp start 1525676142065508570 end 1525676142064508570  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:44 2018 UTC-Mon May  7 06:55:44 2018 UTC (0.001 )  Time stamp start 1525676144072564485 end 1525676144071564485  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:55:49 2018 UTC-Mon May  7 06:55:49 2018 UTC (0.001 )  Time stamp start 1525676149437647920 end 1525676149436647920  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:56:00 2018 UTC-Mon May  7 06:56:00 2018 UTC (0.001 )  Time stamp start 1525676160838560325 end 1525676160837560325  Run 349646, LB 96, lumi 19.55
Event Veto ['MiniNoiseBurst'], Mon May  7 06:56:29 2018 UTC-Mon May  7 06:56:29 2018 UTC (0.001 )  Time stamp start 1525676189337908020 end 1525676189336908020  Run 349646, LB 97, lumi 19.47
Event Veto ['MiniNoiseBurst'], Mon May  7 06:56:40 2018 UTC-Mon May  7 06:56:40 2018 UTC (0.001 )  Time stamp start 1525676200536713305 end 1525676200535713305  Run 349646, LB 97, lumi 19.47
