Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350067 to 350067
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350067 to run 350067  lasting from Fri May 11 15:39:44 2018 UTC to Fri May 11 22:05:55 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 11 16:56:24 2018 UTC-Fri May 11 16:56:24 2018 UTC (0.001 )  Time stamp start 1526057784790938495 end 1526057784789938495  Run 350067, LB 83, lumi 18.24
Event Veto ['MiniNoiseBurst'], Fri May 11 16:56:25 2018 UTC-Fri May 11 16:56:25 2018 UTC (0.001 )  Time stamp start 1526057785083950470 end 1526057785082950470  Run 350067, LB 83, lumi 18.24
Event Veto ['MiniNoiseBurst'], Fri May 11 16:56:52 2018 UTC-Fri May 11 16:56:52 2018 UTC (0.001 )  Time stamp start 1526057812485081480 end 1526057812484081480  Run 350067, LB 84, lumi 17.14
Event Veto ['MiniNoiseBurst'], Fri May 11 16:57:11 2018 UTC-Fri May 11 16:57:11 2018 UTC (0.001 )  Time stamp start 1526057831194308325 end 1526057831193308325  Run 350067, LB 84, lumi 17.14
Event Veto ['NoiseBurst'], Fri May 11 16:57:52 2018 UTC-Fri May 11 16:57:52 2018 UTC (0.001 )  Time stamp start 1526057872017137655 end 1526057872016137130  Run 350067, LB 85, lumi 18.75
Event Veto ['NoiseBurst'], Fri May 11 16:57:52 2018 UTC-Fri May 11 16:57:52 2018 UTC (0.001 )  Time stamp start 1526057872854335355 end 1526057872853334530  Run 350067, LB 85, lumi 18.76
Event Veto ['MiniNoiseBurst'], Fri May 11 16:58:02 2018 UTC-Fri May 11 16:58:02 2018 UTC (0.001 )  Time stamp start 1526057882539939035 end 1526057882538939035  Run 350067, LB 85, lumi 18.74
Event Veto ['MiniNoiseBurst'], Fri May 11 16:58:04 2018 UTC-Fri May 11 16:58:04 2018 UTC (0.001 )  Time stamp start 1526057884428077065 end 1526057884427077065  Run 350067, LB 85, lumi 18.74
Event Veto ['MiniNoiseBurst'], Fri May 11 16:58:12 2018 UTC-Fri May 11 16:58:12 2018 UTC (0.001 )  Time stamp start 1526057892116950185 end 1526057892115950185  Run 350067, LB 85, lumi 18.74
Event Veto ['MiniNoiseBurst'], Fri May 11 16:58:16 2018 UTC-Fri May 11 16:58:16 2018 UTC (0.001 )  Time stamp start 1526057896016991115 end 1526057896015991115  Run 350067, LB 85, lumi 18.74
Event Veto ['MiniNoiseBurst'], Fri May 11 16:58:59 2018 UTC-Fri May 11 16:58:59 2018 UTC (0.001 )  Time stamp start 1526057939180452450 end 1526057939179452450  Run 350067, LB 86, lumi 18.71
Event Veto ['MiniNoiseBurst'], Fri May 11 16:59:01 2018 UTC-Fri May 11 16:59:01 2018 UTC (0.001 )  Time stamp start 1526057941226285365 end 1526057941225285365  Run 350067, LB 86, lumi 18.71
