Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 356205 to 356205
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 356205 to run 356205  lasting from Sat Jul 21 20:45:29 2018 UTC to Sun Jul 22 04:14:12 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:00:24 2018 UTC-Sat Jul 21 21:00:24 2018 UTC (0.001 )  Time stamp start 1532206824251049745 end 1532206824250049745  Run 356205, LB 17, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:20:58 2018 UTC-Sat Jul 21 21:20:58 2018 UTC (0.001 )  Time stamp start 1532208058347495330 end 1532208058346495330  Run 356205, LB 40, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:22:36 2018 UTC-Sat Jul 21 21:22:36 2018 UTC (0.001 )  Time stamp start 1532208156250032610 end 1532208156249032610  Run 356205, LB 41, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:22:58 2018 UTC-Sat Jul 21 21:22:58 2018 UTC (0.001 )  Time stamp start 1532208178615448325 end 1532208178614448325  Run 356205, LB 42, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:28:57 2018 UTC-Sat Jul 21 21:28:57 2018 UTC (0.001 )  Time stamp start 1532208537912903430 end 1532208537911903430  Run 356205, LB 48, lumi 0.10
Event Veto ['NoiseBurst'], Sat Jul 21 21:29:48 2018 UTC-Sat Jul 21 21:29:48 2018 UTC (0.001 )  Time stamp start 1532208588646412525 end 1532208588645412250  Run 356205, LB 49, lumi 17.96
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:30:00 2018 UTC-Sat Jul 21 21:30:00 2018 UTC (0.001 )  Time stamp start 1532208600662422930 end 1532208600661422930  Run 356205, LB 49, lumi 17.96
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:30:22 2018 UTC-Sat Jul 21 21:30:22 2018 UTC (0.001 )  Time stamp start 1532208622694293820 end 1532208622693293820  Run 356205, LB 50, lumi 17.58
Event Veto ['NoiseBurst'], Sat Jul 21 21:30:28 2018 UTC-Sat Jul 21 21:30:28 2018 UTC (0.001 )  Time stamp start 1532208628560776820 end 1532208628559776320  Run 356205, LB 50, lumi 17.58
Event Veto ['NoiseBurst'], Sat Jul 21 21:30:30 2018 UTC-Sat Jul 21 21:30:30 2018 UTC (0.001 )  Time stamp start 1532208630636961330 end 1532208630635960835  Run 356205, LB 50, lumi 17.58
Event Veto ['NoiseBurst'], Sat Jul 21 21:30:32 2018 UTC-Sat Jul 21 21:30:32 2018 UTC (0.001 )  Time stamp start 1532208632399923395 end 1532208632398923020  Run 356205, LB 50, lumi 17.58
Event Veto ['NoiseBurst'], Sat Jul 21 21:30:32 2018 UTC-Sat Jul 21 21:30:32 2018 UTC (0.001 )  Time stamp start 1532208632978484210 end 1532208632977483660  Run 356205, LB 50, lumi 17.59
Event Veto ['NoiseBurst'], Sat Jul 21 21:30:41 2018 UTC-Sat Jul 21 21:30:41 2018 UTC (0.001 )  Time stamp start 1532208641657272910 end 1532208641656272660  Run 356205, LB 50, lumi 17.58
Event Veto ['NoiseBurst'], Sat Jul 21 21:30:44 2018 UTC-Sat Jul 21 21:30:44 2018 UTC (0.001 )  Time stamp start 1532208644709675565 end 1532208644708674440  Run 356205, LB 50, lumi 17.60
Event Veto ['NoiseBurst'], Sat Jul 21 21:31:07 2018 UTC-Sat Jul 21 21:31:07 2018 UTC (0.001 )  Time stamp start 1532208667682999180 end 1532208667681998280  Run 356205, LB 50, lumi 17.59
Event Veto ['NoiseBurst'], Sat Jul 21 21:31:16 2018 UTC-Sat Jul 21 21:31:16 2018 UTC (0.001 )  Time stamp start 1532208676663834050 end 1532208676662833425  Run 356205, LB 51, lumi 18.59
Event Veto ['NoiseBurst'], Sat Jul 21 21:31:53 2018 UTC-Sat Jul 21 21:31:53 2018 UTC (0.003 )  Time stamp start 1532208713963736165 end 1532208713960468215  Run 356205, LB 51, lumi 60.72
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:32:06 2018 UTC-Sat Jul 21 21:32:06 2018 UTC (0.001 )  Time stamp start 1532208726161449980 end 1532208726160449980  Run 356205, LB 51, lumi 18.58
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:33:04 2018 UTC-Sat Jul 21 21:33:04 2018 UTC (0.001 )  Time stamp start 1532208784251421940 end 1532208784250421940  Run 356205, LB 52, lumi 18.86
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:33:04 2018 UTC-Sat Jul 21 21:33:04 2018 UTC (0.001 )  Time stamp start 1532208784858453145 end 1532208784857453145  Run 356205, LB 52, lumi 18.86
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:34:22 2018 UTC-Sat Jul 21 21:34:22 2018 UTC (0.001 )  Time stamp start 1532208862867860100 end 1532208862866860100  Run 356205, LB 56, lumi 18.76
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:35:08 2018 UTC-Sat Jul 21 21:35:08 2018 UTC (0.001 )  Time stamp start 1532208908586793085 end 1532208908585793085  Run 356205, LB 56, lumi 18.76
Event Veto ['NoiseBurst'], Sat Jul 21 21:35:21 2018 UTC-Sat Jul 21 21:35:21 2018 UTC (0.001 )  Time stamp start 1532208921382734840 end 1532208921381734590  Run 356205, LB 57, lumi 18.73
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:35:30 2018 UTC-Sat Jul 21 21:35:30 2018 UTC (0.001 )  Time stamp start 1532208930342345065 end 1532208930341345065  Run 356205, LB 57, lumi 18.72
Event Veto ['MiniNoiseBurst'], Sat Jul 21 21:35:35 2018 UTC-Sat Jul 21 21:35:35 2018 UTC (0.001 )  Time stamp start 1532208935777839395 end 1532208935776839395  Run 356205, LB 57, lumi 18.72
