Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349268 to 349268
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349268 to run 349268  lasting from Mon Apr 30 20:02:10 2018 UTC to Tue May  1 07:14:22 2018 UTC
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:59 2018 UTC-Mon Apr 30 20:06:59 2018 UTC (0.001 )  Time stamp start 1525118819431431855 end 1525118819430431855  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:59 2018 UTC-Mon Apr 30 20:06:59 2018 UTC (0.001 )  Time stamp start 1525118819570014945 end 1525118819569014645  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:06:59 2018 UTC-Mon Apr 30 20:06:59 2018 UTC (0.001 )  Time stamp start 1525118819771623845 end 1525118819770419545  Run 349268, LB 9, lumi 13.52
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:00 2018 UTC-Mon Apr 30 20:07:00 2018 UTC (0.001 )  Time stamp start 1525118820098219075 end 1525118820097218900  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:01 2018 UTC-Mon Apr 30 20:07:01 2018 UTC (0.001 )  Time stamp start 1525118821043845065 end 1525118821042844765  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:01 2018 UTC-Mon Apr 30 20:07:01 2018 UTC (0.001 )  Time stamp start 1525118821850077640 end 1525118821849077470  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:02 2018 UTC-Mon Apr 30 20:07:02 2018 UTC (0.001 )  Time stamp start 1525118822162469965 end 1525118822161469965  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:04 2018 UTC-Mon Apr 30 20:07:04 2018 UTC (0.001 )  Time stamp start 1525118824362643370 end 1525118824361643370  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:04 2018 UTC-Mon Apr 30 20:07:04 2018 UTC (0.001 )  Time stamp start 1525118824458452360 end 1525118824457452185  Run 349268, LB 9, lumi 11.23
Event Veto ['MiniNoiseBurst'], Mon Apr 30 20:07:04 2018 UTC-Mon Apr 30 20:07:04 2018 UTC (0.001 )  Time stamp start 1525118824578811950 end 1525118824577811950  Run 349268, LB 9, lumi 11.23
