Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 340030 to 340030
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 340030 to run 340030  lasting from Sat Nov  4 16:58:25 2017 UTC to Sun Nov  5 17:36:48 2017 UTC
Event Veto ['NoiseBurst'], Sat Nov  4 17:39:12 2017 UTC-Sat Nov  4 17:39:12 2017 UTC (0.001 )  Time stamp start 1509817152100072010 end 1509817152099071460  Run 340030, LB 45, lumi 14.77
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:39:25 2017 UTC-Sat Nov  4 17:39:25 2017 UTC (0.001 )  Time stamp start 1509817165146177975 end 1509817165145177975  Run 340030, LB 45, lumi 14.76
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:39:52 2017 UTC-Sat Nov  4 17:39:52 2017 UTC (0.001 )  Time stamp start 1509817192161888320 end 1509817192160888320  Run 340030, LB 45, lumi 14.76
Event Veto ['NoiseBurst'], Sat Nov  4 17:40:17 2017 UTC-Sat Nov  4 17:40:17 2017 UTC (0.001 )  Time stamp start 1509817217669016630 end 1509817217668016230  Run 340030, LB 46, lumi 14.94
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:40:25 2017 UTC-Sat Nov  4 17:40:25 2017 UTC (0.001 )  Time stamp start 1509817225676881390 end 1509817225675881390  Run 340030, LB 46, lumi 14.93
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:40:28 2017 UTC-Sat Nov  4 17:40:28 2017 UTC (0.001 )  Time stamp start 1509817228176434635 end 1509817228175434635  Run 340030, LB 46, lumi 14.93
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:40:28 2017 UTC-Sat Nov  4 17:40:28 2017 UTC (0.001 )  Time stamp start 1509817228302823980 end 1509817228301823980  Run 340030, LB 46, lumi 14.93
Event Veto ['NoiseBurst'], Sat Nov  4 17:40:37 2017 UTC-Sat Nov  4 17:40:37 2017 UTC (0.001 )  Time stamp start 1509817237402042385 end 1509817237401041690  Run 340030, LB 46, lumi 14.94
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:41:26 2017 UTC-Sat Nov  4 17:41:26 2017 UTC (0.001 )  Time stamp start 1509817286795258380 end 1509817286794258380  Run 340030, LB 47, lumi 15.10
Event Veto ['MiniNoiseBurst'], Sat Nov  4 17:43:08 2017 UTC-Sat Nov  4 17:43:08 2017 UTC (0.001 )  Time stamp start 1509817388473974140 end 1509817388472974140  Run 340030, LB 49, lumi 15.31
