Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350160 to 350160
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350160 to run 350160  lasting from Sun May 13 10:00:49 2018 UTC to Mon May 14 01:30:37 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun May 13 12:03:52 2018 UTC-Sun May 13 12:03:52 2018 UTC (0.001 )  Time stamp start 1526213032779307730 end 1526213032778307730  Run 350160, LB 135, lumi 20.42
Event Veto ['MiniNoiseBurst'], Sun May 13 12:04:08 2018 UTC-Sun May 13 12:04:08 2018 UTC (0.001 )  Time stamp start 1526213048238131525 end 1526213048237131525  Run 350160, LB 135, lumi 20.42
Event Veto ['MiniNoiseBurst'], Sun May 13 12:04:42 2018 UTC-Sun May 13 12:04:42 2018 UTC (0.001 )  Time stamp start 1526213082252380300 end 1526213082251380300  Run 350160, LB 136, lumi 20.34
Event Veto ['MiniNoiseBurst'], Sun May 13 12:04:52 2018 UTC-Sun May 13 12:04:52 2018 UTC (0.001 )  Time stamp start 1526213092453853610 end 1526213092452853610  Run 350160, LB 136, lumi 20.34
Event Veto ['MiniNoiseBurst'], Sun May 13 12:05:10 2018 UTC-Sun May 13 12:05:10 2018 UTC (0.001 )  Time stamp start 1526213110841884400 end 1526213110840884400  Run 350160, LB 137, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sun May 13 12:05:20 2018 UTC-Sun May 13 12:05:20 2018 UTC (0.001 )  Time stamp start 1526213120900012420 end 1526213120899012420  Run 350160, LB 137, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sun May 13 12:05:23 2018 UTC-Sun May 13 12:05:23 2018 UTC (0.001 )  Time stamp start 1526213123157872445 end 1526213123156872445  Run 350160, LB 137, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sun May 13 12:05:23 2018 UTC-Sun May 13 12:05:23 2018 UTC (0.001 )  Time stamp start 1526213123345840210 end 1526213123344840210  Run 350160, LB 137, lumi 20.27
Event Veto ['MiniNoiseBurst'], Sun May 13 12:06:15 2018 UTC-Sun May 13 12:06:15 2018 UTC (0.001 )  Time stamp start 1526213175842449535 end 1526213175841449535  Run 350160, LB 138, lumi 20.25
Event Veto ['NoiseBurst'], Sun May 13 12:06:39 2018 UTC-Sun May 13 12:06:39 2018 UTC (0.001 )  Time stamp start 1526213199965130820 end 1526213199963833355  Run 350160, LB 138, lumi 26.28
Event Veto ['MiniNoiseBurst'], Sun May 13 12:07:17 2018 UTC-Sun May 13 12:07:17 2018 UTC (0.001 )  Time stamp start 1526213237792879010 end 1526213237791879010  Run 350160, LB 139, lumi 20.24
Event Veto ['MiniNoiseBurst'], Sun May 13 12:07:23 2018 UTC-Sun May 13 12:07:23 2018 UTC (0.001 )  Time stamp start 1526213243189460355 end 1526213243188460355  Run 350160, LB 139, lumi 20.24
Event Veto ['MiniNoiseBurst'], Sun May 13 12:07:35 2018 UTC-Sun May 13 12:07:35 2018 UTC (0.001 )  Time stamp start 1526213255461630690 end 1526213255460630690  Run 350160, LB 139, lumi 20.24
Event Veto ['MiniNoiseBurst'], Sun May 13 12:08:03 2018 UTC-Sun May 13 12:08:03 2018 UTC (0.001 )  Time stamp start 1526213283570222640 end 1526213283569222640  Run 350160, LB 139, lumi 20.24
Event Veto ['MiniNoiseBurst'], Sun May 13 12:08:09 2018 UTC-Sun May 13 12:08:09 2018 UTC (0.001 )  Time stamp start 1526213289868505615 end 1526213289867505615  Run 350160, LB 139, lumi 20.24
Event Veto ['MiniNoiseBurst'], Sun May 13 12:08:24 2018 UTC-Sun May 13 12:08:24 2018 UTC (0.001 )  Time stamp start 1526213304869163525 end 1526213304868163525  Run 350160, LB 140, lumi 20.09
Event Veto ['MiniNoiseBurst'], Sun May 13 12:09:08 2018 UTC-Sun May 13 12:09:08 2018 UTC (0.001 )  Time stamp start 1526213348683211425 end 1526213348682211425  Run 350160, LB 140, lumi 20.09
Event Veto ['NoiseBurst'], Sun May 13 12:09:33 2018 UTC-Sun May 13 12:09:33 2018 UTC (0.002 )  Time stamp start 1526213373865252200 end 1526213373863667080  Run 350160, LB 141, lumi 31.73
Event Veto ['MiniNoiseBurst'], Sun May 13 12:09:36 2018 UTC-Sun May 13 12:09:36 2018 UTC (0.001 )  Time stamp start 1526213376839970190 end 1526213376838970190  Run 350160, LB 141, lumi 20.02
Event Veto ['MiniNoiseBurst'], Sun May 13 12:09:37 2018 UTC-Sun May 13 12:09:37 2018 UTC (0.001 )  Time stamp start 1526213377027972390 end 1526213377026972390  Run 350160, LB 141, lumi 20.02
Event Veto ['MiniNoiseBurst'], Sun May 13 12:10:35 2018 UTC-Sun May 13 12:10:35 2018 UTC (0.001 )  Time stamp start 1526213435311619160 end 1526213435310619160  Run 350160, LB 142, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sun May 13 12:10:36 2018 UTC-Sun May 13 12:10:36 2018 UTC (0.001 )  Time stamp start 1526213436264535545 end 1526213436263535545  Run 350160, LB 142, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sun May 13 12:10:43 2018 UTC-Sun May 13 12:10:43 2018 UTC (0.001 )  Time stamp start 1526213443683168275 end 1526213443682168275  Run 350160, LB 142, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sun May 13 12:10:47 2018 UTC-Sun May 13 12:10:47 2018 UTC (0.001 )  Time stamp start 1526213447884553650 end 1526213447883553650  Run 350160, LB 142, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sun May 13 12:11:08 2018 UTC-Sun May 13 12:11:08 2018 UTC (0.001 )  Time stamp start 1526213468232904840 end 1526213468231904840  Run 350160, LB 142, lumi 19.97
Event Veto ['MiniNoiseBurst'], Sun May 13 12:11:09 2018 UTC-Sun May 13 12:11:09 2018 UTC (0.001 )  Time stamp start 1526213469093549525 end 1526213469092549525  Run 350160, LB 142, lumi 19.97
Event Veto ['NoiseBurst'], Sun May 13 12:12:08 2018 UTC-Sun May 13 12:12:08 2018 UTC (0.001 )  Time stamp start 1526213528300863265 end 1526213528299862520  Run 350160, LB 143, lumi 19.91
Event Veto ['MiniNoiseBurst'], Sun May 13 12:12:12 2018 UTC-Sun May 13 12:12:12 2018 UTC (0.001 )  Time stamp start 1526213532825800570 end 1526213532824800570  Run 350160, LB 144, lumi 19.84
Event Veto ['MiniNoiseBurst'], Sun May 13 12:12:14 2018 UTC-Sun May 13 12:12:14 2018 UTC (0.001 )  Time stamp start 1526213534245830620 end 1526213534244830620  Run 350160, LB 144, lumi 19.84
Event Veto ['MiniNoiseBurst'], Sun May 13 12:12:33 2018 UTC-Sun May 13 12:12:33 2018 UTC (0.002 )  Time stamp start 1526213553906629235 end 1526213553904630110  Run 350160, LB 144, lumi 39.66
Event Veto ['MiniNoiseBurst'], Sun May 13 12:13:22 2018 UTC-Sun May 13 12:13:22 2018 UTC (0.001 )  Time stamp start 1526213602728381925 end 1526213602727381925  Run 350160, LB 145, lumi 19.79
Event Veto ['MiniNoiseBurst'], Sun May 13 12:13:33 2018 UTC-Sun May 13 12:13:33 2018 UTC (0.001 )  Time stamp start 1526213613951058235 end 1526213613950058235  Run 350160, LB 145, lumi 19.79
Event Veto ['MiniNoiseBurst'], Sun May 13 12:14:42 2018 UTC-Sun May 13 12:14:42 2018 UTC (0.001 )  Time stamp start 1526213682968442290 end 1526213682967442290  Run 350160, LB 146, lumi 19.68
Event Veto ['NoiseBurst'], Sun May 13 12:15:00 2018 UTC-Sun May 13 12:15:00 2018 UTC (0.001 )  Time stamp start 1526213700396185255 end 1526213700395184380  Run 350160, LB 146, lumi 19.69
Event Veto ['NoiseBurst'], Sun May 13 12:15:05 2018 UTC-Sun May 13 12:15:05 2018 UTC (0.001 )  Time stamp start 1526213705298290105 end 1526213705297289580  Run 350160, LB 146, lumi 19.69
Event Veto ['MiniNoiseBurst'], Sun May 13 12:15:06 2018 UTC-Sun May 13 12:15:06 2018 UTC (0.001 )  Time stamp start 1526213706391936640 end 1526213706390936640  Run 350160, LB 146, lumi 19.68
Event Veto ['MiniNoiseBurst'], Sun May 13 12:15:29 2018 UTC-Sun May 13 12:15:29 2018 UTC (0.001 )  Time stamp start 1526213729215980680 end 1526213729214980680  Run 350160, LB 147, lumi 19.60
Event Veto ['MiniNoiseBurst'], Sun May 13 12:15:32 2018 UTC-Sun May 13 12:15:32 2018 UTC (0.001 )  Time stamp start 1526213732977034460 end 1526213732976034460  Run 350160, LB 147, lumi 19.60
Event Veto ['MiniNoiseBurst'], Sun May 13 12:16:27 2018 UTC-Sun May 13 12:16:27 2018 UTC (0.001 )  Time stamp start 1526213787430304025 end 1526213787429304025  Run 350160, LB 148, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun May 13 12:16:53 2018 UTC-Sun May 13 12:16:53 2018 UTC (0.001 )  Time stamp start 1526213813803677745 end 1526213813802677745  Run 350160, LB 148, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun May 13 12:17:01 2018 UTC-Sun May 13 12:17:01 2018 UTC (0.001 )  Time stamp start 1526213821382481720 end 1526213821381481720  Run 350160, LB 148, lumi 19.58
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun May 13 12:17:05 2018 UTC-Sun May 13 12:17:05 2018 UTC (0.001 )  Time stamp start 1526213825435923060 end 1526213825434922185  Run 350160, LB 148, lumi 19.59
Event Veto ['MiniNoiseBurst'], Sun May 13 12:17:11 2018 UTC-Sun May 13 12:17:11 2018 UTC (0.001 )  Time stamp start 1526213831203333610 end 1526213831202333610  Run 350160, LB 149, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun May 13 12:17:22 2018 UTC-Sun May 13 12:17:22 2018 UTC (0.001 )  Time stamp start 1526213842255260135 end 1526213842254260135  Run 350160, LB 149, lumi 19.58
Event Veto ['MiniNoiseBurst'], Sun May 13 12:25:02 2018 UTC-Sun May 13 12:25:02 2018 UTC (0.001 )  Time stamp start 1526214302138840895 end 1526214302137840895  Run 350160, LB 190, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sun May 13 12:25:19 2018 UTC-Sun May 13 12:25:19 2018 UTC (0.001 )  Time stamp start 1526214319066051745 end 1526214319065051745  Run 350160, LB 190, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sun May 13 12:25:53 2018 UTC-Sun May 13 12:25:53 2018 UTC (0.001 )  Time stamp start 1526214353154724330 end 1526214353153724330  Run 350160, LB 190, lumi 19.66
Event Veto ['MiniNoiseBurst'], Sun May 13 12:26:53 2018 UTC-Sun May 13 12:26:53 2018 UTC (0.001 )  Time stamp start 1526214413524515440 end 1526214413523515440  Run 350160, LB 191, lumi 19.45
