Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310015 to 310015
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310015 to run 310015  lasting from Thu Oct  6 08:50:51 2016 UTC to Thu Oct  6 12:28:18 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:06 2016 UTC-Thu Oct  6 10:46:06 2016 UTC (0.010 )  Time stamp start 1475750766672287315 end 1475750766662287315  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:09 2016 UTC-Thu Oct  6 10:46:09 2016 UTC (0.010 )  Time stamp start 1475750769255839685 end 1475750769245839685  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:21 2016 UTC-Thu Oct  6 10:46:21 2016 UTC (0.014 )  Time stamp start 1475750781770688880 end 1475750781756926485  Run 310015, LB 120, lumi 112.04
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:25 2016 UTC-Thu Oct  6 10:46:25 2016 UTC (0.022 )  Time stamp start 1475750785973488470 end 1475750785951905740  Run 310015, LB 120, lumi 175.71
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:31 2016 UTC-Thu Oct  6 10:46:31 2016 UTC (0.010 )  Time stamp start 1475750791469392635 end 1475750791459392635  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:32 2016 UTC-Thu Oct  6 10:46:32 2016 UTC (0.010 )  Time stamp start 1475750792148216310 end 1475750792138216310  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:32 2016 UTC-Thu Oct  6 10:46:32 2016 UTC (0.010 )  Time stamp start 1475750792823327490 end 1475750792813327490  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:33 2016 UTC-Thu Oct  6 10:46:33 2016 UTC (0.010 )  Time stamp start 1475750793409095955 end 1475750793399095955  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:34 2016 UTC-Thu Oct  6 10:46:34 2016 UTC (0.010 )  Time stamp start 1475750794579214570 end 1475750794569214570  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:34 2016 UTC-Thu Oct  6 10:46:34 2016 UTC (0.010 )  Time stamp start 1475750794719780750 end 1475750794709780750  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:35 2016 UTC-Thu Oct  6 10:46:35 2016 UTC (0.010 )  Time stamp start 1475750795145132005 end 1475750795135132005  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:36 2016 UTC-Thu Oct  6 10:46:36 2016 UTC (0.010 )  Time stamp start 1475750796152707920 end 1475750796142707920  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:36 2016 UTC-Thu Oct  6 10:46:36 2016 UTC (0.010 )  Time stamp start 1475750796635769890 end 1475750796625769890  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:37 2016 UTC-Thu Oct  6 10:46:37 2016 UTC (0.022 )  Time stamp start 1475750797481167545 end 1475750797459436680  Run 310015, LB 120, lumi 176.91
Event Veto ['NoiseBurst'], Thu Oct  6 10:46:37 2016 UTC-Thu Oct  6 10:46:37 2016 UTC (0.010 )  Time stamp start 1475750797698455605 end 1475750797688441630  Run 310015, LB 120, lumi 81.53
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:40 2016 UTC-Thu Oct  6 10:46:40 2016 UTC (0.010 )  Time stamp start 1475750800700639420 end 1475750800690639420  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:41 2016 UTC-Thu Oct  6 10:46:41 2016 UTC (0.010 )  Time stamp start 1475750801993579270 end 1475750801983578970  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:42 2016 UTC-Thu Oct  6 10:46:42 2016 UTC (0.010 )  Time stamp start 1475750802300522620 end 1475750802290522620  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:42 2016 UTC-Thu Oct  6 10:46:42 2016 UTC (0.010 )  Time stamp start 1475750802805886555 end 1475750802795886555  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:43 2016 UTC-Thu Oct  6 10:46:43 2016 UTC (0.010 )  Time stamp start 1475750803454390665 end 1475750803444390665  Run 310015, LB 120, lumi 81.41
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:44 2016 UTC-Thu Oct  6 10:46:44 2016 UTC (0.010 )  Time stamp start 1475750804460180060 end 1475750804450180060  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:44 2016 UTC-Thu Oct  6 10:46:44 2016 UTC (0.010 )  Time stamp start 1475750804803201260 end 1475750804793201260  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:44 2016 UTC-Thu Oct  6 10:46:44 2016 UTC (0.010 )  Time stamp start 1475750804959934795 end 1475750804949934795  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:45 2016 UTC-Thu Oct  6 10:46:45 2016 UTC (0.010 )  Time stamp start 1475750805155923530 end 1475750805145923355  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:47 2016 UTC-Thu Oct  6 10:46:47 2016 UTC (0.010 )  Time stamp start 1475750807744213000 end 1475750807734213000  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:48 2016 UTC-Thu Oct  6 10:46:48 2016 UTC (0.010 )  Time stamp start 1475750808356251675 end 1475750808346251675  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:48 2016 UTC-Thu Oct  6 10:46:48 2016 UTC (0.010 )  Time stamp start 1475750808903444780 end 1475750808893444780  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:49 2016 UTC-Thu Oct  6 10:46:49 2016 UTC (0.010 )  Time stamp start 1475750809333220895 end 1475750809323220895  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:49 2016 UTC-Thu Oct  6 10:46:49 2016 UTC (0.010 )  Time stamp start 1475750809537378605 end 1475750809527378605  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:49 2016 UTC-Thu Oct  6 10:46:49 2016 UTC (0.010 )  Time stamp start 1475750809629797865 end 1475750809619797865  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:50 2016 UTC-Thu Oct  6 10:46:50 2016 UTC (0.010 )  Time stamp start 1475750810152166380 end 1475750810142166380  Run 310015, LB 121, lumi 0.00
Event Veto ['NoiseBurst'], Thu Oct  6 10:46:50 2016 UTC-Thu Oct  6 10:46:50 2016 UTC (0.010 )  Time stamp start 1475750810483301770 end 1475750810473300770  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:50 2016 UTC-Thu Oct  6 10:46:50 2016 UTC (0.010 )  Time stamp start 1475750810716781885 end 1475750810706781885  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:51 2016 UTC-Thu Oct  6 10:46:51 2016 UTC (0.010 )  Time stamp start 1475750811465854165 end 1475750811455854165  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:52 2016 UTC-Thu Oct  6 10:46:52 2016 UTC (0.010 )  Time stamp start 1475750812962274035 end 1475750812952274035  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:53 2016 UTC-Thu Oct  6 10:46:53 2016 UTC (0.010 )  Time stamp start 1475750813669815760 end 1475750813659815760  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:54 2016 UTC-Thu Oct  6 10:46:54 2016 UTC (0.010 )  Time stamp start 1475750814437284800 end 1475750814427284800  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:56 2016 UTC-Thu Oct  6 10:46:56 2016 UTC (0.010 )  Time stamp start 1475750816136780510 end 1475750816126780510  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:56 2016 UTC-Thu Oct  6 10:46:56 2016 UTC (0.010 )  Time stamp start 1475750816322813875 end 1475750816312813875  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:58 2016 UTC-Thu Oct  6 10:46:58 2016 UTC (0.010 )  Time stamp start 1475750818447709195 end 1475750818437709195  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:59 2016 UTC-Thu Oct  6 10:46:59 2016 UTC (0.010 )  Time stamp start 1475750819064131395 end 1475750819054131395  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:46:59 2016 UTC-Thu Oct  6 10:46:59 2016 UTC (0.010 )  Time stamp start 1475750819923252780 end 1475750819913252780  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:00 2016 UTC-Thu Oct  6 10:47:00 2016 UTC (0.010 )  Time stamp start 1475750820681489070 end 1475750820671489070  Run 310015, LB 121, lumi 0.00
Event Veto ['MiniNoiseBurst'], Thu Oct  6 10:47:00 2016 UTC-Thu Oct  6 10:47:01 2016 UTC (0.010 )  Time stamp start 1475750821003764180 end 1475750820993764180  Run 310015, LB 121, lumi 0.00
Event Veto ['NoiseBurst'], Thu Oct  6 10:47:01 2016 UTC-Thu Oct  6 10:47:01 2016 UTC (0.010 )  Time stamp start 1475750821103617090 end 1475750821093551195  Run 310015, LB 121, lumi 0.00
