Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 303499 to 303499
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 303499 to run 303499  lasting from Fri Jul  8 13:21:38 2016 UTC to Sat Jul  9 12:38:34 2016 UTC
Event Veto ['DataCorruption'], Fri Jul  8 13:43:01 2016 UTC-Fri Jul  8 13:43:03 2016 UTC (1.805 )  Time stamp start 1467985383146277235 end 1467985381341177860  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:03 2016 UTC-Fri Jul  8 13:43:04 2016 UTC (0.999 )  Time stamp start 1467985384887480705 end 1467985383888756715  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:06 2016 UTC-Fri Jul  8 13:43:07 2016 UTC (0.681 )  Time stamp start 1467985387003046815 end 1467985386321861380  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:07 2016 UTC-Fri Jul  8 13:43:08 2016 UTC (1.238 )  Time stamp start 1467985388275308870 end 1467985387037266550  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:09 2016 UTC-Fri Jul  8 13:43:09 2016 UTC (0.649 )  Time stamp start 1467985389978334415 end 1467985389328912350  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:10 2016 UTC-Fri Jul  8 13:43:15 2016 UTC (4.550 )  Time stamp start 1467985395142854465 end 1467985390592864960  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:15 2016 UTC-Fri Jul  8 13:43:16 2016 UTC (0.742 )  Time stamp start 1467985396155003390 end 1467985395413084810  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:16 2016 UTC-Fri Jul  8 13:43:18 2016 UTC (2.207 )  Time stamp start 1467985398561444695 end 1467985396354016820  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:20 2016 UTC-Fri Jul  8 13:43:21 2016 UTC (0.835 )  Time stamp start 1467985401477308870 end 1467985400642244965  Run 303499, LB 25, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:21 2016 UTC-Fri Jul  8 13:43:23 2016 UTC (1.934 )  Time stamp start 1467985403438574865 end 1467985401504375525  Run 303499, LBs 25-26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:23 2016 UTC-Fri Jul  8 13:43:26 2016 UTC (3.140 )  Time stamp start 1467985406898142670 end 1467985403758609110  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:27 2016 UTC-Fri Jul  8 13:43:28 2016 UTC (0.902 )  Time stamp start 1467985408043285950 end 1467985407141317935  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:28 2016 UTC-Fri Jul  8 13:43:28 2016 UTC (0.657 )  Time stamp start 1467985408714790415 end 1467985408057351575  Run 303499, LB 26, lumi 0.00
Event Veto ['DataCorruption'], Fri Jul  8 13:43:29 2016 UTC-Fri Jul  8 13:43:32 2016 UTC (3.455 )  Time stamp start 1467985412639408490 end 1467985409184651905  Run 303499, LB 26, lumi 0.00
