Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 304431 to 304431
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 304431 to run 304431  lasting from Sun Jul 24 20:34:51 2016 UTC to Mon Jul 25 05:56:42 2016 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul 24 20:49:51 2016 UTC-Sun Jul 24 20:49:51 2016 UTC (0.001 )  Time stamp start 1469393391353658235 end 1469393391352657135  Run 304431, LB 16, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 21:02:03 2016 UTC-Sun Jul 24 21:02:03 2016 UTC (0.001 )  Time stamp start 1469394123926987040 end 1469394123925986640  Run 304431, LB 28, lumi 0.00
Event Veto ['NoiseBurst'], Sun Jul 24 21:07:49 2016 UTC-Sun Jul 24 21:07:49 2016 UTC (0.010 )  Time stamp start 1469394469484754210 end 1469394469474753460  Run 304431, LB 34, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 21:15:22 2016 UTC-Sun Jul 24 21:15:22 2016 UTC (0.001 )  Time stamp start 1469394922784503860 end 1469394922783503535  Run 304431, LB 42, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 21:31:12 2016 UTC-Sun Jul 24 21:31:12 2016 UTC (0.001 )  Time stamp start 1469395872174717300 end 1469395872173716900  Run 304431, LB 58, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 21:46:11 2016 UTC-Sun Jul 24 21:46:11 2016 UTC (0.001 )  Time stamp start 1469396771953867970 end 1469396771952867470  Run 304431, LB 72, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 22:02:24 2016 UTC-Sun Jul 24 22:02:24 2016 UTC (0.001 )  Time stamp start 1469397744585735955 end 1469397744584735460  Run 304431, LB 89, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 22:19:30 2016 UTC-Sun Jul 24 22:19:30 2016 UTC (0.001 )  Time stamp start 1469398770944819815 end 1469398770943818620  Run 304431, LB 106, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 22:42:06 2016 UTC-Sun Jul 24 22:42:06 2016 UTC (0.001 )  Time stamp start 1469400126104905405 end 1469400126103904905  Run 304431, LB 128, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 23:02:23 2016 UTC-Sun Jul 24 23:02:23 2016 UTC (0.001 )  Time stamp start 1469401343009443565 end 1469401343008442320  Run 304431, LB 149, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 23:24:51 2016 UTC-Sun Jul 24 23:24:51 2016 UTC (0.001 )  Time stamp start 1469402691311237125 end 1469402691310236005  Run 304431, LB 171, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul 24 23:48:25 2016 UTC-Sun Jul 24 23:48:25 2016 UTC (0.001 )  Time stamp start 1469404105207712010 end 1469404105206710665  Run 304431, LB 194, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul 25 00:14:02 2016 UTC-Mon Jul 25 00:14:02 2016 UTC (0.001 )  Time stamp start 1469405642661989585 end 1469405642660989085  Run 304431, LB 220, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul 25 00:46:09 2016 UTC-Mon Jul 25 00:46:09 2016 UTC (0.001 )  Time stamp start 1469407569309840705 end 1469407569308840705  Run 304431, LB 253, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:05:03 2016 UTC-Mon Jul 25 01:05:03 2016 UTC (0.001 )  Time stamp start 1469408703355297900 end 1469408703354297900  Run 304431, LB 273, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:10:27 2016 UTC-Mon Jul 25 01:10:27 2016 UTC (0.001 )  Time stamp start 1469409027583398150 end 1469409027582396850  Run 304431, LB 279, lumi 0.00
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:06 2016 UTC-Mon Jul 25 01:19:06 2016 UTC (0.001 )  Time stamp start 1469409546533888895 end 1469409546532888895  Run 304431, LB 287, lumi 1.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:14 2016 UTC-Mon Jul 25 01:19:14 2016 UTC (0.001 )  Time stamp start 1469409554288609735 end 1469409554287609610  Run 304431, LB 287, lumi 1.48
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:22 2016 UTC-Mon Jul 25 01:19:22 2016 UTC (0.001 )  Time stamp start 1469409562261294245 end 1469409562260293325  Run 304431, LB 288, lumi 11.80
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:26 2016 UTC-Mon Jul 25 01:19:26 2016 UTC (0.001 )  Time stamp start 1469409566244019190 end 1469409566243018745  Run 304431, LB 288, lumi 11.79
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:39 2016 UTC-Mon Jul 25 01:19:39 2016 UTC (0.001 )  Time stamp start 1469409579356471510 end 1469409579355471510  Run 304431, LB 288, lumi 11.79
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:43 2016 UTC-Mon Jul 25 01:19:43 2016 UTC (0.001 )  Time stamp start 1469409583779497835 end 1469409583778497835  Run 304431, LB 288, lumi 11.79
Event Veto ['NoiseBurst'], Mon Jul 25 01:19:46 2016 UTC-Mon Jul 25 01:19:46 2016 UTC (0.010 )  Time stamp start 1469409586468649390 end 1469409586458561560  Run 304431, LB 288, lumi 118.91
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:19:47 2016 UTC-Mon Jul 25 01:19:47 2016 UTC (0.001 )  Time stamp start 1469409587634958245 end 1469409587633958245  Run 304431, LB 288, lumi 11.79
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:20:00 2016 UTC-Mon Jul 25 01:20:00 2016 UTC (0.001 )  Time stamp start 1469409600093743280 end 1469409600092742280  Run 304431, LB 288, lumi 11.80
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:20:08 2016 UTC-Mon Jul 25 01:20:08 2016 UTC (0.001 )  Time stamp start 1469409608084781755 end 1469409608083780605  Run 304431, LB 288, lumi 11.80
Event Veto ['NoiseBurst'], Mon Jul 25 01:20:08 2016 UTC-Mon Jul 25 01:20:08 2016 UTC (0.010 )  Time stamp start 1469409608967234000 end 1469409608957233350  Run 304431, LB 288, lumi 117.88
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:20:12 2016 UTC-Mon Jul 25 01:20:12 2016 UTC (0.001 )  Time stamp start 1469409612284592380 end 1469409612283592380  Run 304431, LB 288, lumi 11.79
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:20:28 2016 UTC-Mon Jul 25 01:20:28 2016 UTC (0.001 )  Time stamp start 1469409628424223365 end 1469409628423223165  Run 304431, LB 289, lumi 11.92
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:20:40 2016 UTC-Mon Jul 25 01:20:40 2016 UTC (0.001 )  Time stamp start 1469409640359797160 end 1469409640358796185  Run 304431, LB 289, lumi 11.93
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:20:55 2016 UTC-Mon Jul 25 01:20:55 2016 UTC (0.001 )  Time stamp start 1469409655060088155 end 1469409655059087955  Run 304431, LB 289, lumi 11.92
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:21:02 2016 UTC-Mon Jul 25 01:21:02 2016 UTC (0.001 )  Time stamp start 1469409662746993360 end 1469409662745993360  Run 304431, LB 289, lumi 11.92
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:21:06 2016 UTC-Mon Jul 25 01:21:06 2016 UTC (0.001 )  Time stamp start 1469409666842212710 end 1469409666841212710  Run 304431, LB 289, lumi 11.92
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:21:10 2016 UTC-Mon Jul 25 01:21:10 2016 UTC (0.001 )  Time stamp start 1469409670713797955 end 1469409670712797555  Run 304431, LB 289, lumi 11.92
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:21:14 2016 UTC-Mon Jul 25 01:21:14 2016 UTC (0.001 )  Time stamp start 1469409674756554505 end 1469409674755554055  Run 304431, LB 289, lumi 11.92
Event Veto ['NoiseBurst'], Mon Jul 25 01:21:14 2016 UTC-Mon Jul 25 01:21:14 2016 UTC (0.010 )  Time stamp start 1469409674860131620 end 1469409674850017945  Run 304431, LB 289, lumi 120.55
Event Veto ['MiniNoiseBurst'], Mon Jul 25 01:21:22 2016 UTC-Mon Jul 25 01:21:22 2016 UTC (0.001 )  Time stamp start 1469409682776618100 end 1469409682775616630  Run 304431, LB 290, lumi 11.48
