Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302956 to 302956
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302956 to run 302956  lasting from Tue Jun 28 21:54:12 2016 UTC to Wed Jun 29 17:14:32 2016 UTC
Event Veto ['MiniNoiseBurst'], Tue Jun 28 21:59:42 2016 UTC-Tue Jun 28 21:59:42 2016 UTC (0.001 )  Time stamp start 1467151182600309425 end 1467151182599308275  Run 302956, LB 6, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 28 22:18:03 2016 UTC-Tue Jun 28 22:18:03 2016 UTC (0.001 )  Time stamp start 1467152283525309635 end 1467152283524308485  Run 302956, LB 24, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 28 22:38:30 2016 UTC-Tue Jun 28 22:38:30 2016 UTC (0.001 )  Time stamp start 1467153510054120965 end 1467153510053119765  Run 302956, LB 45, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 28 23:01:00 2016 UTC-Tue Jun 28 23:01:00 2016 UTC (0.001 )  Time stamp start 1467154860696801950 end 1467154860695801450  Run 302956, LB 67, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 28 23:26:02 2016 UTC-Tue Jun 28 23:26:02 2016 UTC (0.001 )  Time stamp start 1467156362111908515 end 1467156362110908020  Run 302956, LB 92, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Jun 28 23:54:15 2016 UTC-Tue Jun 28 23:54:15 2016 UTC (0.001 )  Time stamp start 1467158055401396195 end 1467158055400395120  Run 302956, LB 120, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 00:25:20 2016 UTC-Wed Jun 29 00:25:20 2016 UTC (0.001 )  Time stamp start 1467159920249958935 end 1467159920248957785  Run 302956, LB 152, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:22:59 2016 UTC-Wed Jun 29 01:22:59 2016 UTC (0.001 )  Time stamp start 1467163379236377775 end 1467163379235377775  Run 302956, LB 212, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:27:08 2016 UTC-Wed Jun 29 01:27:08 2016 UTC (0.001 )  Time stamp start 1467163628690299045 end 1467163628689299045  Run 302956, LB 216, lumi 0.00
Event Veto ['NoiseBurst'], Wed Jun 29 01:29:14 2016 UTC-Wed Jun 29 01:29:14 2016 UTC (0.010 )  Time stamp start 1467163754027804740 end 1467163754017607155  Run 302956, LB 218, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:34:48 2016 UTC-Wed Jun 29 01:34:48 2016 UTC (0.001 )  Time stamp start 1467164088075009090 end 1467164088074009090  Run 302956, LB 225, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:36:19 2016 UTC-Wed Jun 29 01:36:19 2016 UTC (0.001 )  Time stamp start 1467164179151139000 end 1467164179150139000  Run 302956, LB 226, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:36:48 2016 UTC-Wed Jun 29 01:36:48 2016 UTC (0.001 )  Time stamp start 1467164208626262625 end 1467164208625262625  Run 302956, LB 227, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:37:27 2016 UTC-Wed Jun 29 01:37:27 2016 UTC (0.001 )  Time stamp start 1467164247386443800 end 1467164247385442600  Run 302956, LB 227, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:37:57 2016 UTC-Wed Jun 29 01:37:57 2016 UTC (0.001 )  Time stamp start 1467164277464695035 end 1467164277463695035  Run 302956, LB 228, lumi 0.00
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:44:39 2016 UTC-Wed Jun 29 01:44:39 2016 UTC (0.001 )  Time stamp start 1467164679201788615 end 1467164679200788290  Run 302956, LB 235, lumi 5.03
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:44:45 2016 UTC-Wed Jun 29 01:44:45 2016 UTC (0.001 )  Time stamp start 1467164685852694560 end 1467164685851694560  Run 302956, LB 235, lumi 5.02
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:44:50 2016 UTC-Wed Jun 29 01:44:50 2016 UTC (0.001 )  Time stamp start 1467164690903755865 end 1467164690902755865  Run 302956, LB 235, lumi 5.02
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:45:04 2016 UTC-Wed Jun 29 01:45:04 2016 UTC (0.001 )  Time stamp start 1467164704479628640 end 1467164704478627540  Run 302956, LB 235, lumi 5.03
Event Veto ['MiniNoiseBurst'], Wed Jun 29 01:45:11 2016 UTC-Wed Jun 29 01:45:11 2016 UTC (0.001 )  Time stamp start 1467164711183858305 end 1467164711182857855  Run 302956, LB 235, lumi 5.03
