Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 302872 to 302872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 302872 to run 302872  lasting from Sun Jun 26 12:43:40 2016 UTC to Tue Jun 28 04:49:33 2016 UTC
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:27 2016 UTC-Sun Jun 26 15:36:27 2016 UTC (0.010 )  Time stamp start 1466955387090340200 end 1466955387080339230  Run 302872, LB 179, lumi 107.77
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:28 2016 UTC-Sun Jun 26 15:36:28 2016 UTC (0.010 )  Time stamp start 1466955388191197335 end 1466955388181071760  Run 302872, LB 179, lumi 109.11
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:32 2016 UTC-Sun Jun 26 15:36:32 2016 UTC (0.010 )  Time stamp start 1466955392583959555 end 1466955392573958735  Run 302872, LB 179, lumi 107.76
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:35 2016 UTC-Sun Jun 26 15:36:35 2016 UTC (0.010 )  Time stamp start 1466955395101804900 end 1466955395091803925  Run 302872, LB 179, lumi 107.77
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:41 2016 UTC-Sun Jun 26 15:36:41 2016 UTC (0.010 )  Time stamp start 1466955401274234630 end 1466955401264233655  Run 302872, LB 179, lumi 107.77
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:36:41 2016 UTC-Sun Jun 26 15:36:41 2016 UTC (0.001 )  Time stamp start 1466955401314932665 end 1466955401313931245  Run 302872, LB 179, lumi 10.79
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:36:47 2016 UTC-Sun Jun 26 15:36:47 2016 UTC (0.001 )  Time stamp start 1466955407006889160 end 1466955407005889160  Run 302872, LB 180, lumi 10.70
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:51 2016 UTC-Sun Jun 26 15:36:51 2016 UTC (0.010 )  Time stamp start 1466955411585785900 end 1466955411575664265  Run 302872, LB 180, lumi 108.32
Event Veto ['NoiseBurst'], Sun Jun 26 15:36:55 2016 UTC-Sun Jun 26 15:36:55 2016 UTC (0.010 )  Time stamp start 1466955415133723315 end 1466955415123722715  Run 302872, LB 180, lumi 107.03
Event Veto ['MiniNoiseBurst'], Sun Jun 26 15:37:00 2016 UTC-Sun Jun 26 15:37:00 2016 UTC (0.001 )  Time stamp start 1466955420870330795 end 1466955420869330370  Run 302872, LB 180, lumi 10.71
