Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307861 to 307861
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307861 to run 307861  lasting from Mon Sep  5 18:26:18 2016 UTC to Tue Sep  6 07:15:16 2016 UTC
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:18 2016 UTC-Mon Sep  5 20:18:18 2016 UTC (0.010 )  Time stamp start 1473106698377189310 end 1473106698367188810  Run 307861, LB 119, lumi 81.24
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:19 2016 UTC-Mon Sep  5 20:18:19 2016 UTC (0.010 )  Time stamp start 1473106699342221020 end 1473106699332220245  Run 307861, LB 119, lumi 81.24
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:21 2016 UTC-Mon Sep  5 20:18:21 2016 UTC (0.010 )  Time stamp start 1473106701511378540 end 1473106701501365040  Run 307861, LB 120, lumi 81.25
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:23 2016 UTC-Mon Sep  5 20:18:23 2016 UTC (0.010 )  Time stamp start 1473106703049322815 end 1473106703039322320  Run 307861, LB 120, lumi 81.15
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:18:33 2016 UTC-Mon Sep  5 20:18:33 2016 UTC (0.010 )  Time stamp start 1473106713133819270 end 1473106713123819270  Run 307861, LB 120, lumi 81.14
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:40 2016 UTC-Mon Sep  5 20:18:40 2016 UTC (0.010 )  Time stamp start 1473106720230542945 end 1473106720220525205  Run 307861, LB 120, lumi 81.29
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:45 2016 UTC-Mon Sep  5 20:18:45 2016 UTC (0.010 )  Time stamp start 1473106725665490845 end 1473106725655407410  Run 307861, LB 120, lumi 81.82
Event Veto ['NoiseBurst'], Mon Sep  5 20:18:47 2016 UTC-Mon Sep  5 20:18:47 2016 UTC (0.010 )  Time stamp start 1473106727940439655 end 1473106727930439530  Run 307861, LB 120, lumi 81.14
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:18:55 2016 UTC-Mon Sep  5 20:18:55 2016 UTC (0.010 )  Time stamp start 1473106735451889160 end 1473106735441889160  Run 307861, LB 120, lumi 81.14
Event Veto ['MiniNoiseBurst'], Mon Sep  5 20:20:20 2016 UTC-Mon Sep  5 20:20:20 2016 UTC (0.010 )  Time stamp start 1473106820834693890 end 1473106820824693890  Run 307861, LB 122, lumi 0.00
