Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337107 to 337107
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337107 to run 337107  lasting from Tue Oct  3 10:22:14 2017 UTC to Tue Oct  3 22:23:08 2017 UTC
Event Veto ['NoiseBurst'], Tue Oct  3 11:43:49 2017 UTC-Tue Oct  3 11:43:49 2017 UTC (0.001 )  Time stamp start 1507031029905538010 end 1507031029904391700  Run 337107, LB 88, lumi 19.62
Event Veto ['NoiseBurst'], Tue Oct  3 11:43:57 2017 UTC-Tue Oct  3 11:43:57 2017 UTC (0.001 )  Time stamp start 1507031037105771070 end 1507031037104750310  Run 337107, LB 88, lumi 17.47
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:44:20 2017 UTC-Tue Oct  3 11:44:20 2017 UTC (0.001 )  Time stamp start 1507031060093470950 end 1507031060092470950  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:44:20 2017 UTC-Tue Oct  3 11:44:20 2017 UTC (0.001 )  Time stamp start 1507031060479664140 end 1507031060478664140  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:44:36 2017 UTC-Tue Oct  3 11:44:36 2017 UTC (0.001 )  Time stamp start 1507031076894148615 end 1507031076893148615  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:44:42 2017 UTC-Tue Oct  3 11:44:42 2017 UTC (0.001 )  Time stamp start 1507031082926579660 end 1507031082925579660  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:44:53 2017 UTC-Tue Oct  3 11:44:53 2017 UTC (0.001 )  Time stamp start 1507031093821539535 end 1507031093820407820  Run 337107, LB 89, lumi 19.23
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:44:58 2017 UTC-Tue Oct  3 11:44:58 2017 UTC (0.001 )  Time stamp start 1507031098107529025 end 1507031098106529025  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:45:02 2017 UTC-Tue Oct  3 11:45:02 2017 UTC (0.001 )  Time stamp start 1507031102105752620 end 1507031102104752620  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:45:04 2017 UTC-Tue Oct  3 11:45:04 2017 UTC (0.001 )  Time stamp start 1507031104598107825 end 1507031104597107825  Run 337107, LB 89, lumi 16.99
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:45:21 2017 UTC-Tue Oct  3 11:45:21 2017 UTC (0.001 )  Time stamp start 1507031121782319505 end 1507031121781319505  Run 337107, LB 90, lumi 16.92
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:45:24 2017 UTC-Tue Oct  3 11:45:24 2017 UTC (0.001 )  Time stamp start 1507031124615121465 end 1507031124614121465  Run 337107, LB 90, lumi 16.92
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:45:57 2017 UTC-Tue Oct  3 11:45:57 2017 UTC (0.001 )  Time stamp start 1507031157325925210 end 1507031157324925210  Run 337107, LB 90, lumi 16.92
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:45:59 2017 UTC-Tue Oct  3 11:45:59 2017 UTC (0.001 )  Time stamp start 1507031159078813865 end 1507031159077813865  Run 337107, LB 90, lumi 16.92
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:04 2017 UTC-Tue Oct  3 11:46:04 2017 UTC (0.001 )  Time stamp start 1507031164321895145 end 1507031164320895145  Run 337107, LB 90, lumi 16.92
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:06 2017 UTC-Tue Oct  3 11:46:06 2017 UTC (0.001 )  Time stamp start 1507031166532209730 end 1507031166531209730  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:20 2017 UTC-Tue Oct  3 11:46:20 2017 UTC (0.001 )  Time stamp start 1507031180577967400 end 1507031180576967400  Run 337107, LB 91, lumi 16.87
Event Veto ['MiniNoiseBurst'], Tue Oct  3 11:46:22 2017 UTC-Tue Oct  3 11:46:22 2017 UTC (0.001 )  Time stamp start 1507031182974811745 end 1507031182973811745  Run 337107, LB 91, lumi 16.87
