Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337052 to 337052
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337052 to run 337052  lasting from Mon Oct  2 15:13:24 2017 UTC to Tue Oct  3 05:46:56 2017 UTC
Event Veto ['DataCorruption'], Mon Oct  2 15:22:01 2017 UTC-Mon Oct  2 15:22:02 2017 UTC (1.189 )  Time stamp start 1506957722469609970 end 1506957721281007795  Run 337052, LB 11, lumi 0.19
Event Veto ['DataCorruption'], Mon Oct  2 15:22:02 2017 UTC-Mon Oct  2 15:22:03 2017 UTC (1.460 )  Time stamp start 1506957723932994880 end 1506957722472651045  Run 337052, LB 11, lumi 0.24
Event Veto ['DataCorruption'], Mon Oct  2 15:22:04 2017 UTC-Mon Oct  2 15:22:06 2017 UTC (1.854 )  Time stamp start 1506957726401447170 end 1506957724547548165  Run 337052, LB 11, lumi 0.30
Event Veto ['DataCorruption'], Mon Oct  2 15:22:07 2017 UTC-Mon Oct  2 15:22:08 2017 UTC (1.397 )  Time stamp start 1506957728778743385 end 1506957727381437185  Run 337052, LB 11, lumi 0.23
Event Veto ['DataCorruption'], Mon Oct  2 15:22:09 2017 UTC-Mon Oct  2 15:22:11 2017 UTC (2.208 )  Time stamp start 1506957731281990680 end 1506957729073732845  Run 337052, LB 11, lumi 0.36
Event Veto ['DataCorruption'], Mon Oct  2 15:22:11 2017 UTC-Mon Oct  2 15:22:12 2017 UTC (0.812 )  Time stamp start 1506957732343956000 end 1506957731532283640  Run 337052, LB 11, lumi 0.13
Event Veto ['DataCorruption'], Mon Oct  2 15:22:14 2017 UTC-Mon Oct  2 15:22:16 2017 UTC (2.503 )  Time stamp start 1506957736575847375 end 1506957734073049070  Run 337052, LB 11, lumi 0.40
Event Veto ['DataCorruption'], Mon Oct  2 15:22:16 2017 UTC-Mon Oct  2 15:22:18 2017 UTC (1.380 )  Time stamp start 1506957738336054760 end 1506957736955833240  Run 337052, LB 11, lumi 0.22
Event Veto ['DataCorruption'], Mon Oct  2 15:22:19 2017 UTC-Mon Oct  2 15:22:19 2017 UTC (0.666 )  Time stamp start 1506957739854032455 end 1506957739188142315  Run 337052, LBs 11-12, lumi 0.11
Event Veto ['DataCorruption'], Mon Oct  2 15:22:20 2017 UTC-Mon Oct  2 15:22:21 2017 UTC (0.844 )  Time stamp start 1506957741092816660 end 1506957740248328470  Run 337052, LB 12, lumi 0.14
Event Veto ['DataCorruption'], Mon Oct  2 15:22:21 2017 UTC-Mon Oct  2 15:22:23 2017 UTC (1.258 )  Time stamp start 1506957743192666495 end 1506957741934779585  Run 337052, LB 12, lumi 0.20
Event Veto ['DataCorruption'], Mon Oct  2 15:22:23 2017 UTC-Mon Oct  2 15:22:25 2017 UTC (1.432 )  Time stamp start 1506957745067137130 end 1506957743634992560  Run 337052, LB 12, lumi 0.23
Event Veto ['DataCorruption'], Mon Oct  2 15:22:26 2017 UTC-Mon Oct  2 15:22:28 2017 UTC (1.818 )  Time stamp start 1506957748241208460 end 1506957746423428295  Run 337052, LB 12, lumi 0.29
Event Veto ['DataCorruption'], Mon Oct  2 15:22:29 2017 UTC-Mon Oct  2 15:22:30 2017 UTC (0.955 )  Time stamp start 1506957750592212630 end 1506957749637080190  Run 337052, LB 12, lumi 0.15
Event Veto ['DataCorruption'], Mon Oct  2 15:22:31 2017 UTC-Mon Oct  2 15:22:32 2017 UTC (1.672 )  Time stamp start 1506957752932062640 end 1506957751260442105  Run 337052, LB 12, lumi 0.27
Event Veto ['DataCorruption'], Mon Oct  2 15:22:33 2017 UTC-Mon Oct  2 15:22:35 2017 UTC (2.042 )  Time stamp start 1506957755108369765 end 1506957753066865215  Run 337052, LB 12, lumi 0.33
Event Veto ['DataCorruption'], Mon Oct  2 15:22:35 2017 UTC-Mon Oct  2 15:22:35 2017 UTC (0.630 )  Time stamp start 1506957755888020675 end 1506957755258186205  Run 337052, LB 12, lumi 0.10
Event Veto ['DataCorruption'], Mon Oct  2 15:22:36 2017 UTC-Mon Oct  2 15:22:37 2017 UTC (1.238 )  Time stamp start 1506957757433774690 end 1506957756196012245  Run 337052, LB 12, lumi 0.20
Event Veto ['DataCorruption'], Mon Oct  2 15:22:37 2017 UTC-Mon Oct  2 15:22:40 2017 UTC (2.880 )  Time stamp start 1506957760691262360 end 1506957757811081535  Run 337052, LB 12, lumi 0.47
Event Veto ['DataCorruption'], Mon Oct  2 15:22:40 2017 UTC-Mon Oct  2 15:22:41 2017 UTC (0.933 )  Time stamp start 1506957761647848380 end 1506957760714649140  Run 337052, LB 12, lumi 0.15
Event Veto ['DataCorruption'], Mon Oct  2 15:22:42 2017 UTC-Mon Oct  2 15:22:45 2017 UTC (2.668 )  Time stamp start 1506957765362635760 end 1506957762694423080  Run 337052, LB 12, lumi 0.43
Event Veto ['DataCorruption'], Mon Oct  2 15:22:45 2017 UTC-Mon Oct  2 15:22:49 2017 UTC (4.011 )  Time stamp start 1506957769859340035 end 1506957765848258565  Run 337052, LB 12, lumi 0.65
Event Veto ['DataCorruption'], Mon Oct  2 15:22:49 2017 UTC-Mon Oct  2 15:22:50 2017 UTC (0.528 )  Time stamp start 1506957770405252065 end 1506957769877228385  Run 337052, LB 12, lumi 0.09
Event Veto ['DataCorruption'], Mon Oct  2 15:22:50 2017 UTC-Mon Oct  2 15:22:51 2017 UTC (1.088 )  Time stamp start 1506957771779299990 end 1506957770691322320  Run 337052, LB 12, lumi 0.18
Event Veto ['DataCorruption'], Mon Oct  2 15:22:51 2017 UTC-Mon Oct  2 15:22:53 2017 UTC (1.646 )  Time stamp start 1506957773500451845 end 1506957771854716280  Run 337052, LB 12, lumi 0.27
Event Veto ['DataCorruption'], Mon Oct  2 15:22:53 2017 UTC-Mon Oct  2 15:22:54 2017 UTC (1.435 )  Time stamp start 1506957774976085500 end 1506957773540702885  Run 337052, LB 12, lumi 0.23
Event Veto ['DataCorruption'], Mon Oct  2 15:22:55 2017 UTC-Mon Oct  2 15:22:57 2017 UTC (1.335 )  Time stamp start 1506957777001878380 end 1506957775666594260  Run 337052, LB 12, lumi 0.22
Event Veto ['DataCorruption'], Mon Oct  2 15:22:57 2017 UTC-Mon Oct  2 15:22:58 2017 UTC (0.911 )  Time stamp start 1506957778034110640 end 1506957777123222045  Run 337052, LB 12, lumi 0.15
Event Veto ['DataCorruption'], Mon Oct  2 15:22:59 2017 UTC-Mon Oct  2 15:23:01 2017 UTC (2.551 )  Time stamp start 1506957781749704730 end 1506957779198778090  Run 337052, LB 12, lumi 0.41
Event Veto ['DataCorruption'], Mon Oct  2 15:23:02 2017 UTC-Mon Oct  2 15:23:03 2017 UTC (0.996 )  Time stamp start 1506957783715876970 end 1506957782720087215  Run 337052, LB 12, lumi 0.16
Event Veto ['DataCorruption'], Mon Oct  2 15:23:04 2017 UTC-Mon Oct  2 15:23:06 2017 UTC (1.458 )  Time stamp start 1506957786055692000 end 1506957784597237270  Run 337052, LB 12, lumi 0.24
Event Veto ['DataCorruption'], Mon Oct  2 15:23:06 2017 UTC-Mon Oct  2 15:23:08 2017 UTC (1.675 )  Time stamp start 1506957788048963395 end 1506957786373574340  Run 337052, LB 12, lumi 0.27
Event Veto ['DataCorruption'], Mon Oct  2 15:23:09 2017 UTC-Mon Oct  2 15:23:09 2017 UTC (0.583 )  Time stamp start 1506957789682776295 end 1506957789099372855  Run 337052, LB 12, lumi 0.09
Event Veto ['DataCorruption'], Mon Oct  2 15:23:09 2017 UTC-Mon Oct  2 15:23:10 2017 UTC (1.102 )  Time stamp start 1506957790918866815 end 1506957789816667345  Run 337052, LB 12, lumi 0.18
Event Veto ['DataCorruption'], Mon Oct  2 15:23:11 2017 UTC-Mon Oct  2 15:23:13 2017 UTC (1.892 )  Time stamp start 1506957793336383660 end 1506957791444106615  Run 337052, LB 12, lumi 0.31
Event Veto ['DataCorruption'], Mon Oct  2 15:23:14 2017 UTC-Mon Oct  2 15:23:14 2017 UTC (0.735 )  Time stamp start 1506957794830126825 end 1506957794094773700  Run 337052, LB 12, lumi 0.12
Event Veto ['DataCorruption'], Mon Oct  2 15:23:15 2017 UTC-Mon Oct  2 15:23:17 2017 UTC (1.529 )  Time stamp start 1506957797071237495 end 1506957795542057290  Run 337052, LB 12, lumi 0.25
Event Veto ['DataCorruption'], Mon Oct  2 15:23:17 2017 UTC-Mon Oct  2 15:23:18 2017 UTC (0.981 )  Time stamp start 1506957798858577390 end 1506957797877983295  Run 337052, LB 12, lumi 0.16
Event Veto ['DataCorruption'], Mon Oct  2 15:23:18 2017 UTC-Mon Oct  2 15:23:19 2017 UTC (0.580 )  Time stamp start 1506957799576896285 end 1506957798997220140  Run 337052, LBs 12-13, lumi 0.09
Event Veto ['DataCorruption'], Mon Oct  2 15:23:20 2017 UTC-Mon Oct  2 15:23:21 2017 UTC (0.500 )  Time stamp start 1506957801010887440 end 1506957800510887065  Run 337052, LB 13, lumi 0.08
Event Veto ['DataCorruption'], Mon Oct  2 15:23:21 2017 UTC-Mon Oct  2 15:23:22 2017 UTC (1.807 )  Time stamp start 1506957802906909700 end 1506957801100164695  Run 337052, LB 13, lumi 0.29
Event Veto ['DataCorruption'], Mon Oct  2 15:23:23 2017 UTC-Mon Oct  2 15:23:25 2017 UTC (2.163 )  Time stamp start 1506957805166610530 end 1506957803003598340  Run 337052, LB 13, lumi 0.35
Event Veto ['DataCorruption'], Mon Oct  2 15:23:25 2017 UTC-Mon Oct  2 15:23:27 2017 UTC (2.289 )  Time stamp start 1506957807567499215 end 1506957805278133790  Run 337052, LB 13, lumi 0.37
Event Veto ['DataCorruption'], Mon Oct  2 15:23:28 2017 UTC-Mon Oct  2 15:23:29 2017 UTC (1.137 )  Time stamp start 1506957809380982480 end 1506957808243751420  Run 337052, LB 13, lumi 0.18
Event Veto ['DataCorruption'], Mon Oct  2 15:23:29 2017 UTC-Mon Oct  2 15:23:30 2017 UTC (0.651 )  Time stamp start 1506957810032626540 end 1506957809381344115  Run 337052, LB 13, lumi 0.10
Event Veto ['DataCorruption'], Mon Oct  2 15:23:30 2017 UTC-Mon Oct  2 15:23:31 2017 UTC (0.539 )  Time stamp start 1506957811166786655 end 1506957810628255520  Run 337052, LB 13, lumi 0.09
Event Veto ['DataCorruption'], Mon Oct  2 15:23:31 2017 UTC-Mon Oct  2 15:23:34 2017 UTC (3.132 )  Time stamp start 1506957814319383065 end 1506957811187872920  Run 337052, LB 13, lumi 0.50
Event Veto ['DataCorruption'], Mon Oct  2 15:23:35 2017 UTC-Mon Oct  2 15:23:36 2017 UTC (1.553 )  Time stamp start 1506957816801555295 end 1506957815248550355  Run 337052, LB 13, lumi 0.25
Event Veto ['DataCorruption'], Mon Oct  2 15:23:39 2017 UTC-Mon Oct  2 15:23:43 2017 UTC (3.719 )  Time stamp start 1506957823093583300 end 1506957819374603685  Run 337052, LB 13, lumi 0.60
Event Veto ['DataCorruption'], Mon Oct  2 15:23:43 2017 UTC-Mon Oct  2 15:23:44 2017 UTC (1.008 )  Time stamp start 1506957824749042910 end 1506957823741135730  Run 337052, LB 13, lumi 0.16
Event Veto ['DataCorruption'], Mon Oct  2 15:23:44 2017 UTC-Mon Oct  2 15:23:45 2017 UTC (0.514 )  Time stamp start 1506957825431370630 end 1506957824917717260  Run 337052, LB 13, lumi 0.08
Event Veto ['DataCorruption'], Mon Oct  2 15:23:45 2017 UTC-Mon Oct  2 15:23:46 2017 UTC (0.814 )  Time stamp start 1506957826529468245 end 1506957825715109880  Run 337052, LB 13, lumi 0.13
Event Veto ['DataCorruption'], Mon Oct  2 15:23:46 2017 UTC-Mon Oct  2 15:23:47 2017 UTC (0.577 )  Time stamp start 1506957827252536120 end 1506957826675990105  Run 337052, LB 13, lumi 0.09
Event Veto ['DataCorruption'], Mon Oct  2 15:23:49 2017 UTC-Mon Oct  2 15:23:54 2017 UTC (4.739 )  Time stamp start 1506957834424647540 end 1506957829685783540  Run 337052, LB 13, lumi 0.76
Event Veto ['DataCorruption'], Mon Oct  2 15:23:55 2017 UTC-Mon Oct  2 15:23:56 2017 UTC (1.163 )  Time stamp start 1506957836304104795 end 1506957835141004155  Run 337052, LB 13, lumi 0.19
Event Veto ['DataCorruption'], Mon Oct  2 15:23:56 2017 UTC-Mon Oct  2 15:23:57 2017 UTC (0.524 )  Time stamp start 1506957837113701800 end 1506957836589587955  Run 337052, LB 13, lumi 0.08
Event Veto ['DataCorruption'], Mon Oct  2 15:23:57 2017 UTC-Mon Oct  2 15:23:58 2017 UTC (1.094 )  Time stamp start 1506957838478550035 end 1506957837384712075  Run 337052, LB 13, lumi 0.18
Event Veto ['DataCorruption'], Mon Oct  2 15:23:59 2017 UTC-Mon Oct  2 15:24:01 2017 UTC (1.678 )  Time stamp start 1506957841252734030 end 1506957839574471365  Run 337052, LB 13, lumi 0.27
