Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 307732 to 307732
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 307732 to run 307732  lasting from Sat Sep  3 23:06:52 2016 UTC to Mon Sep  5 00:57:42 2016 UTC
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:11 2016 UTC-Sun Sep  4 00:17:11 2016 UTC (0.010 )  Time stamp start 1472948231751115260 end 1472948231741114635  Run 307732, LB 76, lumi 97.61
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:17:12 2016 UTC-Sun Sep  4 00:17:12 2016 UTC (0.010 )  Time stamp start 1472948232111373080 end 1472948232101371935  Run 307732, LB 76, lumi 97.61
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:17:23 2016 UTC-Sun Sep  4 00:17:23 2016 UTC (0.010 )  Time stamp start 1472948243806514700 end 1472948243796513680  Run 307732, LB 76, lumi 97.61
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:29 2016 UTC-Sun Sep  4 00:17:29 2016 UTC (0.010 )  Time stamp start 1472948249498614170 end 1472948249488613020  Run 307732, LB 76, lumi 97.61
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:31 2016 UTC-Sun Sep  4 00:17:31 2016 UTC (0.010 )  Time stamp start 1472948251933250965 end 1472948251923237790  Run 307732, LB 76, lumi 97.73
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:33 2016 UTC-Sun Sep  4 00:17:33 2016 UTC (0.010 )  Time stamp start 1472948253620136760 end 1472948253610136510  Run 307732, LB 77, lumi 100.92
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:17:34 2016 UTC-Sun Sep  4 00:17:34 2016 UTC (0.010 )  Time stamp start 1472948254205705950 end 1472948254195704630  Run 307732, LB 77, lumi 100.93
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:35 2016 UTC-Sun Sep  4 00:17:35 2016 UTC (0.010 )  Time stamp start 1472948255392483110 end 1472948255382364520  Run 307732, LB 77, lumi 102.12
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:17:45 2016 UTC-Sun Sep  4 00:17:45 2016 UTC (0.010 )  Time stamp start 1472948265527874730 end 1472948265517873705  Run 307732, LB 77, lumi 100.93
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:46 2016 UTC-Sun Sep  4 00:17:46 2016 UTC (0.010 )  Time stamp start 1472948266263605555 end 1472948266253603060  Run 307732, LB 77, lumi 100.95
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:50 2016 UTC-Sun Sep  4 00:17:50 2016 UTC (0.010 )  Time stamp start 1472948270117381360 end 1472948270107368010  Run 307732, LB 77, lumi 101.05
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:52 2016 UTC-Sun Sep  4 00:17:52 2016 UTC (0.010 )  Time stamp start 1472948272583770315 end 1472948272573770065  Run 307732, LB 77, lumi 100.92
Event Veto ['NoiseBurst'], Sun Sep  4 00:17:54 2016 UTC-Sun Sep  4 00:17:54 2016 UTC (0.010 )  Time stamp start 1472948274503543525 end 1472948274493521995  Run 307732, LB 77, lumi 101.14
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:17:57 2016 UTC-Sun Sep  4 00:17:57 2016 UTC (0.010 )  Time stamp start 1472948277363452685 end 1472948277353451435  Run 307732, LB 77, lumi 100.93
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:08 2016 UTC-Sun Sep  4 00:18:08 2016 UTC (0.010 )  Time stamp start 1472948288453865240 end 1472948288443725465  Run 307732, LB 77, lumi 102.33
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:10 2016 UTC-Sun Sep  4 00:18:10 2016 UTC (0.016 )  Time stamp start 1472948290150186285 end 1472948290134178845  Run 307732, LB 77, lumi 161.55
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:10 2016 UTC-Sun Sep  4 00:18:10 2016 UTC (0.010 )  Time stamp start 1472948290601359810 end 1472948290591358490  Run 307732, LB 77, lumi 100.93
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:21 2016 UTC-Sun Sep  4 00:18:21 2016 UTC (0.015 )  Time stamp start 1472948301715444780 end 1472948301700377360  Run 307732, LB 77, lumi 152.06
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:22 2016 UTC-Sun Sep  4 00:18:22 2016 UTC (0.010 )  Time stamp start 1472948302067664295 end 1472948302057661550  Run 307732, LB 77, lumi 100.95
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:30 2016 UTC-Sun Sep  4 00:18:30 2016 UTC (0.017 )  Time stamp start 1472948310359909845 end 1472948310342924265  Run 307732, LB 77, lumi 171.42
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:32 2016 UTC-Sun Sep  4 00:18:32 2016 UTC (0.010 )  Time stamp start 1472948312765721025 end 1472948312755703360  Run 307732, LB 77, lumi 101.10
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:33 2016 UTC-Sun Sep  4 00:18:33 2016 UTC (0.010 )  Time stamp start 1472948313416151810 end 1472948313406151365  Run 307732, LB 78, lumi 108.51
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:35 2016 UTC-Sun Sep  4 00:18:35 2016 UTC (0.010 )  Time stamp start 1472948315450287735 end 1472948315440252580  Run 307732, LB 78, lumi 108.88
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:42 2016 UTC-Sun Sep  4 00:18:42 2016 UTC (0.010 )  Time stamp start 1472948322153838180 end 1472948322143818245  Run 307732, LB 78, lumi 108.72
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:47 2016 UTC-Sun Sep  4 00:18:47 2016 UTC (0.010 )  Time stamp start 1472948327930658835 end 1472948327920648030  Run 307732, LB 78, lumi 108.62
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:49 2016 UTC-Sun Sep  4 00:18:49 2016 UTC (0.010 )  Time stamp start 1472948329285134205 end 1472948329275133135  Run 307732, LB 78, lumi 108.52
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:49 2016 UTC-Sun Sep  4 00:18:49 2016 UTC (0.010 )  Time stamp start 1472948329756355730 end 1472948329746355730  Run 307732, LB 78, lumi 108.50
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:52 2016 UTC-Sun Sep  4 00:18:52 2016 UTC (0.010 )  Time stamp start 1472948332372876805 end 1472948332362861135  Run 307732, LB 78, lumi 108.67
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:54 2016 UTC-Sun Sep  4 00:18:54 2016 UTC (0.010 )  Time stamp start 1472948334205573655 end 1472948334195572360  Run 307732, LB 78, lumi 108.52
Event Veto ['MiniNoiseBurst'], Sun Sep  4 00:18:55 2016 UTC-Sun Sep  4 00:18:55 2016 UTC (0.010 )  Time stamp start 1472948335037202480 end 1472948335027202480  Run 307732, LB 78, lumi 108.50
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:56 2016 UTC-Sun Sep  4 00:18:56 2016 UTC (0.010 )  Time stamp start 1472948336084452330 end 1472948336074451455  Run 307732, LB 78, lumi 108.51
Event Veto ['NoiseBurst'], Sun Sep  4 00:18:57 2016 UTC-Sun Sep  4 00:18:57 2016 UTC (0.010 )  Time stamp start 1472948337853072460 end 1472948337843047535  Run 307732, LB 78, lumi 108.77
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Sun Sep  4 00:18:59 2016 UTC-Sun Sep  4 00:18:59 2016 UTC (0.010 )  Time stamp start 1472948339728286440 end 1472948339718286315  Run 307732, LB 78, lumi 108.50
