Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350531 to 350531
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350531 to run 350531  lasting from Thu May 17 23:21:54 2018 UTC to Fri May 18 09:02:35 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May 18 00:29:09 2018 UTC-Fri May 18 00:29:09 2018 UTC (0.001 )  Time stamp start 1526603349223255690 end 1526603349222255690  Run 350531, LB 74, lumi 19.09
Event Veto ['MiniNoiseBurst'], Fri May 18 00:29:20 2018 UTC-Fri May 18 00:29:20 2018 UTC (0.001 )  Time stamp start 1526603360960594840 end 1526603360959594840  Run 350531, LB 75, lumi 19.07
Event Veto ['NoiseBurst'], Fri May 18 00:29:51 2018 UTC-Fri May 18 00:29:51 2018 UTC (0.003 )  Time stamp start 1526603391839229960 end 1526603391836395235  Run 350531, LB 76, lumi 54.10
Event Veto ['NoiseBurst'], Fri May 18 00:29:51 2018 UTC-Fri May 18 00:29:51 2018 UTC (0.002 )  Time stamp start 1526603391840939660 end 1526603391839272030  Run 350531, LB 76, lumi 31.83
Event Veto ['NoiseBurst'], Fri May 18 00:29:51 2018 UTC-Fri May 18 00:29:51 2018 UTC (0.003 )  Time stamp start 1526603391844444140 end 1526603391841222980  Run 350531, LB 76, lumi 61.48
Event Veto ['MiniNoiseBurst'], Fri May 18 00:30:29 2018 UTC-Fri May 18 00:30:29 2018 UTC (0.001 )  Time stamp start 1526603429945771025 end 1526603429944771025  Run 350531, LB 76, lumi 19.09
Event Veto ['MiniNoiseBurst'], Fri May 18 00:30:40 2018 UTC-Fri May 18 00:30:40 2018 UTC (0.001 )  Time stamp start 1526603440526640865 end 1526603440525640865  Run 350531, LB 77, lumi 18.92
Event Veto ['MiniNoiseBurst'], Fri May 18 00:30:47 2018 UTC-Fri May 18 00:30:47 2018 UTC (0.001 )  Time stamp start 1526603447417331630 end 1526603447416331630  Run 350531, LB 77, lumi 18.92
Event Veto ['MiniNoiseBurst'], Fri May 18 00:31:21 2018 UTC-Fri May 18 00:31:21 2018 UTC (0.001 )  Time stamp start 1526603481777549265 end 1526603481776549265  Run 350531, LB 77, lumi 18.92
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Fri May 18 00:31:25 2018 UTC-Fri May 18 00:31:25 2018 UTC (0.001 )  Time stamp start 1526603485526943255 end 1526603485525943255  Run 350531, LB 77, lumi 18.92
Event Veto ['NoiseBurst'], Fri May 18 00:31:42 2018 UTC-Fri May 18 00:31:42 2018 UTC (0.005 )  Time stamp start 1526603502556642095 end 1526603502551466290  Run 350531, LB 78, lumi 97.75
Event Veto ['NoiseBurst'], Fri May 18 00:31:42 2018 UTC-Fri May 18 00:31:42 2018 UTC (0.003 )  Time stamp start 1526603502559268735 end 1526603502556751430  Run 350531, LB 78, lumi 47.54
