Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305618 to 305618
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305618 to run 305618  lasting from Thu Aug  4 20:15:58 2016 UTC to Fri Aug  5 12:21:15 2016 UTC
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:06 2016 UTC-Thu Aug  4 23:19:06 2016 UTC (0.001 )  Time stamp start 1470352746817923745 end 1470352746816923470  Run 305618, LB 186, lumi 9.06
Event Veto ['NoiseBurst'], Thu Aug  4 23:19:30 2016 UTC-Thu Aug  4 23:19:30 2016 UTC (0.010 )  Time stamp start 1470352770913450260 end 1470352770903449390  Run 305618, LB 186, lumi 90.61
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:31 2016 UTC-Thu Aug  4 23:19:31 2016 UTC (0.001 )  Time stamp start 1470352771538376765 end 1470352771537375865  Run 305618, LB 186, lumi 9.07
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:36 2016 UTC-Thu Aug  4 23:19:36 2016 UTC (0.001 )  Time stamp start 1470352776352645410 end 1470352776351645085  Run 305618, LB 186, lumi 9.06
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:19:45 2016 UTC-Thu Aug  4 23:19:45 2016 UTC (0.001 )  Time stamp start 1470352785753027270 end 1470352785752026095  Run 305618, LB 186, lumi 9.07
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:00 2016 UTC-Thu Aug  4 23:20:00 2016 UTC (0.001 )  Time stamp start 1470352800662033515 end 1470352800661033240  Run 305618, LB 187, lumi 8.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:16 2016 UTC-Thu Aug  4 23:20:16 2016 UTC (0.001 )  Time stamp start 1470352816321015910 end 1470352816320014660  Run 305618, LB 187, lumi 8.66
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:38 2016 UTC-Thu Aug  4 23:20:38 2016 UTC (0.001 )  Time stamp start 1470352838816048985 end 1470352838815048710  Run 305618, LB 187, lumi 8.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:20:44 2016 UTC-Thu Aug  4 23:20:44 2016 UTC (0.001 )  Time stamp start 1470352844844206755 end 1470352844843206580  Run 305618, LB 187, lumi 8.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:02 2016 UTC-Thu Aug  4 23:21:02 2016 UTC (0.001 )  Time stamp start 1470352862122417745 end 1470352862121417445  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:30 2016 UTC-Thu Aug  4 23:21:30 2016 UTC (0.001 )  Time stamp start 1470352890535057375 end 1470352890534056930  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:40 2016 UTC-Thu Aug  4 23:21:40 2016 UTC (0.001 )  Time stamp start 1470352900179694930 end 1470352900178694930  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:21:48 2016 UTC-Thu Aug  4 23:21:48 2016 UTC (0.001 )  Time stamp start 1470352908415030885 end 1470352908414030385  Run 305618, LB 188, lumi 9.62
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:11 2016 UTC-Thu Aug  4 23:22:11 2016 UTC (0.001 )  Time stamp start 1470352931563579030 end 1470352931562579030  Run 305618, LB 189, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:16 2016 UTC-Thu Aug  4 23:22:16 2016 UTC (0.001 )  Time stamp start 1470352936549604000 end 1470352936548604000  Run 305618, LB 189, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:21 2016 UTC-Thu Aug  4 23:22:21 2016 UTC (0.001 )  Time stamp start 1470352941272147140 end 1470352941271145915  Run 305618, LB 189, lumi 9.82
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:26 2016 UTC-Thu Aug  4 23:22:26 2016 UTC (0.001 )  Time stamp start 1470352946148137605 end 1470352946147137455  Run 305618, LB 189, lumi 9.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:31 2016 UTC-Thu Aug  4 23:22:31 2016 UTC (0.001 )  Time stamp start 1470352951085199790 end 1470352951084199420  Run 305618, LB 189, lumi 9.81
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:22:41 2016 UTC-Thu Aug  4 23:22:41 2016 UTC (0.001 )  Time stamp start 1470352961175796440 end 1470352961174796440  Run 305618, LB 189, lumi 9.80
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:10 2016 UTC-Thu Aug  4 23:23:10 2016 UTC (0.001 )  Time stamp start 1470352990321243995 end 1470352990320243495  Run 305618, LB 190, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:19 2016 UTC-Thu Aug  4 23:23:19 2016 UTC (0.001 )  Time stamp start 1470352999716525325 end 1470352999715524155  Run 305618, LB 190, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:29 2016 UTC-Thu Aug  4 23:23:29 2016 UTC (0.001 )  Time stamp start 1470353009316003590 end 1470353009315003215  Run 305618, LB 190, lumi 9.77
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:34 2016 UTC-Thu Aug  4 23:23:34 2016 UTC (0.001 )  Time stamp start 1470353014094088045 end 1470353014093086675  Run 305618, LB 190, lumi 9.78
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:23:38 2016 UTC-Thu Aug  4 23:23:38 2016 UTC (0.001 )  Time stamp start 1470353018837984080 end 1470353018836983780  Run 305618, LB 190, lumi 9.77
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:24:03 2016 UTC-Thu Aug  4 23:24:03 2016 UTC (0.001 )  Time stamp start 1470353043375158090 end 1470353043374157790  Run 305618, LB 191, lumi 9.75
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:24:08 2016 UTC-Thu Aug  4 23:24:08 2016 UTC (0.001 )  Time stamp start 1470353048412683315 end 1470353048411682840  Run 305618, LB 191, lumi 9.75
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:24:27 2016 UTC-Thu Aug  4 23:24:27 2016 UTC (0.001 )  Time stamp start 1470353067267519180 end 1470353067266519180  Run 305618, LB 191, lumi 9.74
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:24:36 2016 UTC-Thu Aug  4 23:24:36 2016 UTC (0.001 )  Time stamp start 1470353076685905425 end 1470353076684905300  Run 305618, LB 191, lumi 9.74
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:24:41 2016 UTC-Thu Aug  4 23:24:41 2016 UTC (0.001 )  Time stamp start 1470353081652591005 end 1470353081651591005  Run 305618, LB 191, lumi 9.74
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:24:56 2016 UTC-Thu Aug  4 23:24:56 2016 UTC (0.001 )  Time stamp start 1470353096002682910 end 1470353096001682410  Run 305618, LB 192, lumi 9.73
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:25:05 2016 UTC-Thu Aug  4 23:25:05 2016 UTC (0.001 )  Time stamp start 1470353105759348310 end 1470353105758348310  Run 305618, LB 192, lumi 9.72
Event Veto ['NoiseBurst'], Thu Aug  4 23:25:20 2016 UTC-Thu Aug  4 23:25:20 2016 UTC (0.010 )  Time stamp start 1470353120401314510 end 1470353120391160465  Run 305618, LB 192, lumi 98.70
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:25:20 2016 UTC-Thu Aug  4 23:25:20 2016 UTC (0.001 )  Time stamp start 1470353120808388640 end 1470353120807388390  Run 305618, LB 192, lumi 9.72
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:25:37 2016 UTC-Thu Aug  4 23:25:37 2016 UTC (0.001 )  Time stamp start 1470353137928295745 end 1470353137927294325  Run 305618, LB 192, lumi 9.73
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:26:02 2016 UTC-Thu Aug  4 23:26:02 2016 UTC (0.001 )  Time stamp start 1470353162358357185 end 1470353162357356085  Run 305618, LB 193, lumi 9.72
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:26:36 2016 UTC-Thu Aug  4 23:26:36 2016 UTC (0.001 )  Time stamp start 1470353196506178815 end 1470353196505178815  Run 305618, LB 194, lumi 9.70
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:26:51 2016 UTC-Thu Aug  4 23:26:51 2016 UTC (0.001 )  Time stamp start 1470353211469560655 end 1470353211468560405  Run 305618, LB 194, lumi 9.71
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:26:56 2016 UTC-Thu Aug  4 23:26:56 2016 UTC (0.001 )  Time stamp start 1470353216084304995 end 1470353216083304595  Run 305618, LB 194, lumi 9.71
Event Veto ['NoiseBurst'], Thu Aug  4 23:26:56 2016 UTC-Thu Aug  4 23:26:56 2016 UTC (0.010 )  Time stamp start 1470353216109211160 end 1470353216099114650  Run 305618, LB 194, lumi 97.97
Event Veto ['NoiseBurst'], Thu Aug  4 23:27:17 2016 UTC-Thu Aug  4 23:27:18 2016 UTC (0.010 )  Time stamp start 1470353238007838965 end 1470353237997838715  Run 305618, LB 194, lumi 97.03
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:27:25 2016 UTC-Thu Aug  4 23:27:25 2016 UTC (0.001 )  Time stamp start 1470353245518873945 end 1470353245517873945  Run 305618, LB 195, lumi 9.68
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:27:30 2016 UTC-Thu Aug  4 23:27:30 2016 UTC (0.001 )  Time stamp start 1470353250872277130 end 1470353250871277130  Run 305618, LB 195, lumi 9.68
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:27:45 2016 UTC-Thu Aug  4 23:27:45 2016 UTC (0.001 )  Time stamp start 1470353265542747315 end 1470353265541747315  Run 305618, LB 195, lumi 9.68
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:27:50 2016 UTC-Thu Aug  4 23:27:50 2016 UTC (0.001 )  Time stamp start 1470353270664933465 end 1470353270663932445  Run 305618, LB 195, lumi 9.69
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:28:19 2016 UTC-Thu Aug  4 23:28:19 2016 UTC (0.001 )  Time stamp start 1470353299688072720 end 1470353299687072720  Run 305618, LB 195, lumi 9.68
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:28:39 2016 UTC-Thu Aug  4 23:28:39 2016 UTC (0.001 )  Time stamp start 1470353319805090695 end 1470353319804089575  Run 305618, LB 196, lumi 9.68
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:28:49 2016 UTC-Thu Aug  4 23:28:49 2016 UTC (0.001 )  Time stamp start 1470353329308138090 end 1470353329307138090  Run 305618, LB 196, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:29:13 2016 UTC-Thu Aug  4 23:29:13 2016 UTC (0.001 )  Time stamp start 1470353353200314325 end 1470353353199314325  Run 305618, LB 196, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:29:33 2016 UTC-Thu Aug  4 23:29:33 2016 UTC (0.001 )  Time stamp start 1470353373469313270 end 1470353373468313270  Run 305618, LB 197, lumi 9.65
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:29:38 2016 UTC-Thu Aug  4 23:29:38 2016 UTC (0.001 )  Time stamp start 1470353378599441915 end 1470353378598440570  Run 305618, LB 197, lumi 9.67
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:29:58 2016 UTC-Thu Aug  4 23:29:58 2016 UTC (0.001 )  Time stamp start 1470353398007686070 end 1470353398006685770  Run 305618, LB 197, lumi 9.66
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:30:10 2016 UTC-Thu Aug  4 23:30:10 2016 UTC (0.001 )  Time stamp start 1470353410790800025 end 1470353410789800025  Run 305618, LB 197, lumi 9.65
Event Veto ['NoiseBurst'], Thu Aug  4 23:30:18 2016 UTC-Thu Aug  4 23:30:18 2016 UTC (0.014 )  Time stamp start 1470353418675557885 end 1470353418661984490  Run 305618, LB 197, lumi 131.03
Event Veto ['MiniNoiseBurst'], Thu Aug  4 23:30:33 2016 UTC-Thu Aug  4 23:30:33 2016 UTC (0.001 )  Time stamp start 1470353433474818115 end 1470353433473818115  Run 305618, LB 198, lumi 9.63
