Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 305920 to 305920
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 305920 to run 305920  lasting from Tue Aug  9 16:17:50 2016 UTC to Wed Aug 10 04:05:03 2016 UTC
Event Veto ['DataCorruption'], Tue Aug  9 16:40:53 2016 UTC-Tue Aug  9 16:41:04 2016 UTC (10.255 )  Time stamp start 1470760864171234195 end 1470760853916450540  Run 305920, LB 25, lumi 1.61
Event Veto ['DataCorruption'], Tue Aug  9 16:41:04 2016 UTC-Tue Aug  9 16:41:19 2016 UTC (14.567 )  Time stamp start 1470760879025731710 end 1470760864458476210  Run 305920, LB 25, lumi 2.29
Event Veto ['DataCorruption'], Tue Aug  9 16:41:19 2016 UTC-Tue Aug  9 16:42:42 2016 UTC (83.583 )  Time stamp start 1470760962846181570 end 1470760879262751245  Run 305920, LBs 25-26, lumi 13.15
Event Veto ['DataCorruption'], Tue Aug  9 16:42:42 2016 UTC-Tue Aug  9 16:42:48 2016 UTC (5.131 )  Time stamp start 1470760968000850765 end 1470760962869709135  Run 305920, LB 26, lumi 0.81
Event Veto ['DataCorruption'], Tue Aug  9 16:42:48 2016 UTC-Tue Aug  9 16:43:04 2016 UTC (16.640 )  Time stamp start 1470760984649055695 end 1470760968008652020  Run 305920, LBs 26-27, lumi 2.61
Event Veto ['DataCorruption'], Tue Aug  9 16:43:04 2016 UTC-Tue Aug  9 16:43:54 2016 UTC (49.944 )  Time stamp start 1470761034716271400 end 1470760984772149030  Run 305920, LBs 27-28, lumi 7.85
Event Veto ['DataCorruption'], Tue Aug  9 16:43:54 2016 UTC-Tue Aug  9 16:43:55 2016 UTC (0.572 )  Time stamp start 1470761035340118650 end 1470761034768427485  Run 305920, LB 28, lumi 0.09
Event Veto ['DataCorruption'], Tue Aug  9 16:43:55 2016 UTC-Tue Aug  9 16:44:13 2016 UTC (18.423 )  Time stamp start 1470761053772531180 end 1470761035349672870  Run 305920, LB 28, lumi 2.89
Event Veto ['DataCorruption'], Tue Aug  9 16:44:14 2016 UTC-Tue Aug  9 16:44:53 2016 UTC (39.432 )  Time stamp start 1470761093577404840 end 1470761054145633520  Run 305920, LBs 28-29, lumi 6.19
Event Veto ['DataCorruption'], Tue Aug  9 16:44:53 2016 UTC-Tue Aug  9 16:45:42 2016 UTC (49.360 )  Time stamp start 1470761142971253560 end 1470761093611188055  Run 305920, LB 29, lumi 7.76
Event Veto ['DataCorruption'], Tue Aug  9 16:45:43 2016 UTC-Tue Aug  9 16:45:53 2016 UTC (9.770 )  Time stamp start 1470761153100853765 end 1470761143330397000  Run 305920, LBs 29-30, lumi 1.54
Event Veto ['DataCorruption'], Tue Aug  9 16:47:32 2016 UTC-Tue Aug  9 16:47:34 2016 UTC (2.507 )  Time stamp start 1470761254742633900 end 1470761252235217195  Run 305920, LBs 31-32, lumi 0.39
Event Veto ['DataCorruption'], Tue Aug  9 16:47:35 2016 UTC-Tue Aug  9 16:47:36 2016 UTC (1.772 )  Time stamp start 1470761256932194925 end 1470761255160555075  Run 305920, LB 32, lumi 0.28
Event Veto ['DataCorruption'], Tue Aug  9 16:47:37 2016 UTC-Tue Aug  9 16:47:45 2016 UTC (8.252 )  Time stamp start 1470761265480030110 end 1470761257227686890  Run 305920, LB 32, lumi 1.30
Event Veto ['DataCorruption'], Tue Aug  9 16:47:45 2016 UTC-Tue Aug  9 16:47:48 2016 UTC (2.568 )  Time stamp start 1470761268311106635 end 1470761265742851960  Run 305920, LB 32, lumi 0.40
Event Veto ['MiniNoiseBurst'], Tue Aug  9 16:49:48 2016 UTC-Tue Aug  9 16:49:48 2016 UTC (0.001 )  Time stamp start 1470761388353070075 end 1470761388352069675  Run 305920, LB 34, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  9 17:46:05 2016 UTC-Tue Aug  9 17:46:05 2016 UTC (0.001 )  Time stamp start 1470764765187517070 end 1470764765186517070  Run 305920, LB 93, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:03:34 2016 UTC-Tue Aug  9 18:03:34 2016 UTC (0.001 )  Time stamp start 1470765814251563815 end 1470765814250563815  Run 305920, LB 112, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:03:39 2016 UTC-Tue Aug  9 18:03:39 2016 UTC (0.001 )  Time stamp start 1470765819230332975 end 1470765819229332975  Run 305920, LB 112, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:06:25 2016 UTC-Tue Aug  9 18:06:25 2016 UTC (0.001 )  Time stamp start 1470765985560564035 end 1470765985559564035  Run 305920, LB 115, lumi 0.00
Event Veto ['MiniNoiseBurst'], Tue Aug  9 18:10:29 2016 UTC-Tue Aug  9 18:10:29 2016 UTC (0.001 )  Time stamp start 1470766229647004375 end 1470766229646004375  Run 305920, LB 119, lumi 0.00
