Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 355273 to 355273
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 355273 to run 355273  lasting from Sun Jul  8 18:03:20 2018 UTC to Mon Jul  9 02:08:27 2018 UTC
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:24:08 2018 UTC-Sun Jul  8 20:24:08 2018 UTC (0.001 )  Time stamp start 1531081448307091350 end 1531081448306091350  Run 355273, LB 161, lumi 5.54
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:27:11 2018 UTC-Sun Jul  8 20:27:11 2018 UTC (0.001 )  Time stamp start 1531081631492644765 end 1531081631491644340  Run 355273, LB 165, lumi 1.51
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:44:30 2018 UTC-Sun Jul  8 20:44:30 2018 UTC (0.001 )  Time stamp start 1531082670845037615 end 1531082670844037615  Run 355273, LB 185, lumi 0.00
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:45:45 2018 UTC-Sun Jul  8 20:45:45 2018 UTC (0.001 )  Time stamp start 1531082745044020785 end 1531082745043020785  Run 355273, LB 186, lumi 4.23
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:46:17 2018 UTC-Sun Jul  8 20:46:17 2018 UTC (0.001 )  Time stamp start 1531082777401168000 end 1531082777400168000  Run 355273, LB 186, lumi 4.23
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:46:39 2018 UTC-Sun Jul  8 20:46:39 2018 UTC (0.001 )  Time stamp start 1531082799280665770 end 1531082799279665770  Run 355273, LB 187, lumi 16.19
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:46:50 2018 UTC-Sun Jul  8 20:46:50 2018 UTC (0.001 )  Time stamp start 1531082810264723405 end 1531082810263723255  Run 355273, LB 187, lumi 16.19
Event Veto ['NoiseBurst'], Sun Jul  8 20:47:05 2018 UTC-Sun Jul  8 20:47:05 2018 UTC (0.001 )  Time stamp start 1531082825487132635 end 1531082825486131710  Run 355273, LB 187, lumi 16.20
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:48:42 2018 UTC-Sun Jul  8 20:48:42 2018 UTC (0.001 )  Time stamp start 1531082922869419835 end 1531082922868419835  Run 355273, LB 189, lumi 16.93
Event Veto ['MiniNoiseBurst'], Sun Jul  8 20:49:11 2018 UTC-Sun Jul  8 20:49:11 2018 UTC (0.001 )  Time stamp start 1531082951675013375 end 1531082951674013375  Run 355273, LB 189, lumi 16.93
