Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349498 to 349498
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349498 to run 349498  lasting from Fri May  4 06:48:34 2018 UTC to Fri May  4 17:20:09 2018 UTC
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:34 2018 UTC-Fri May  4 08:08:34 2018 UTC (0.001 )  Time stamp start 1525421314767282530 end 1525421314766282530  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:36 2018 UTC-Fri May  4 08:08:36 2018 UTC (0.001 )  Time stamp start 1525421316695617210 end 1525421316694617210  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:43 2018 UTC-Fri May  4 08:08:43 2018 UTC (0.001 )  Time stamp start 1525421323449625855 end 1525421323448624730  Run 349498, LB 87, lumi 15.66
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:45 2018 UTC-Fri May  4 08:08:45 2018 UTC (0.001 )  Time stamp start 1525421325892661480 end 1525421325891661480  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:51 2018 UTC-Fri May  4 08:08:51 2018 UTC (0.001 )  Time stamp start 1525421331820662410 end 1525421331819662410  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:55 2018 UTC-Fri May  4 08:08:55 2018 UTC (0.001 )  Time stamp start 1525421335646738170 end 1525421335645738170  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:08:57 2018 UTC-Fri May  4 08:08:57 2018 UTC (0.001 )  Time stamp start 1525421337514381695 end 1525421337513381695  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:09:06 2018 UTC-Fri May  4 08:09:06 2018 UTC (0.001 )  Time stamp start 1525421346239111260 end 1525421346238111260  Run 349498, LB 87, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:09:11 2018 UTC-Fri May  4 08:09:11 2018 UTC (0.001 )  Time stamp start 1525421351761522395 end 1525421351760522095  Run 349498, LB 88, lumi 15.68
Event Veto ['MiniNoiseBurst'], Fri May  4 08:09:17 2018 UTC-Fri May  4 08:09:17 2018 UTC (0.001 )  Time stamp start 1525421357588019005 end 1525421357587019005  Run 349498, LB 88, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:09:52 2018 UTC-Fri May  4 08:09:52 2018 UTC (0.001 )  Time stamp start 1525421392603700680 end 1525421392602700680  Run 349498, LB 88, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:10:01 2018 UTC-Fri May  4 08:10:01 2018 UTC (0.001 )  Time stamp start 1525421401158922910 end 1525421401157922910  Run 349498, LB 89, lumi 15.70
Event Veto ['MiniNoiseBurst'], Fri May  4 08:10:13 2018 UTC-Fri May  4 08:10:13 2018 UTC (0.001 )  Time stamp start 1525421413455004125 end 1525421413454004125  Run 349498, LB 89, lumi 15.70
Event Veto ['MiniNoiseBurst'], Fri May  4 08:10:21 2018 UTC-Fri May  4 08:10:21 2018 UTC (0.001 )  Time stamp start 1525421421760854455 end 1525421421759854455  Run 349498, LB 89, lumi 15.70
Event Veto ['MiniNoiseBurst'], Fri May  4 08:10:24 2018 UTC-Fri May  4 08:10:24 2018 UTC (0.001 )  Time stamp start 1525421424041403585 end 1525421424040403585  Run 349498, LB 89, lumi 15.70
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:03 2018 UTC-Fri May  4 08:11:03 2018 UTC (0.001 )  Time stamp start 1525421463577504085 end 1525421463576504085  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:20 2018 UTC-Fri May  4 08:11:20 2018 UTC (0.001 )  Time stamp start 1525421480234781885 end 1525421480233781510  Run 349498, LB 90, lumi 15.68
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:22 2018 UTC-Fri May  4 08:11:22 2018 UTC (0.001 )  Time stamp start 1525421482820692100 end 1525421482819692100  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:29 2018 UTC-Fri May  4 08:11:29 2018 UTC (0.001 )  Time stamp start 1525421489316456735 end 1525421489315456735  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:31 2018 UTC-Fri May  4 08:11:31 2018 UTC (0.001 )  Time stamp start 1525421491739590405 end 1525421491738229665  Run 349498, LB 90, lumi 21.33
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:34 2018 UTC-Fri May  4 08:11:34 2018 UTC (0.001 )  Time stamp start 1525421494263380190 end 1525421494262380190  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:42 2018 UTC-Fri May  4 08:11:42 2018 UTC (0.001 )  Time stamp start 1525421502385054975 end 1525421502384054975  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:52 2018 UTC-Fri May  4 08:11:52 2018 UTC (0.001 )  Time stamp start 1525421512359193530 end 1525421512358193530  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:11:55 2018 UTC-Fri May  4 08:11:55 2018 UTC (0.001 )  Time stamp start 1525421515429811910 end 1525421515428811910  Run 349498, LB 90, lumi 15.67
Event Veto ['MiniNoiseBurst'], Fri May  4 08:12:05 2018 UTC-Fri May  4 08:12:05 2018 UTC (0.001 )  Time stamp start 1525421525613377730 end 1525421525612377730  Run 349498, LB 91, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:12:55 2018 UTC-Fri May  4 08:12:55 2018 UTC (0.001 )  Time stamp start 1525421575178148575 end 1525421575177148575  Run 349498, LB 93, lumi 15.64
Event Veto ['NoiseBurst'], Fri May  4 08:12:56 2018 UTC-Fri May  4 08:12:56 2018 UTC (0.001 )  Time stamp start 1525421576302545310 end 1525421576301544560  Run 349498, LB 93, lumi 15.65
Event Veto ['MiniNoiseBurst'], Fri May  4 08:12:58 2018 UTC-Fri May  4 08:12:58 2018 UTC (0.001 )  Time stamp start 1525421578847929635 end 1525421578846929635  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:00 2018 UTC-Fri May  4 08:13:00 2018 UTC (0.001 )  Time stamp start 1525421580672435785 end 1525421580671435360  Run 349498, LB 93, lumi 15.64
Event Veto ['NoiseBurst'], Fri May  4 08:13:08 2018 UTC-Fri May  4 08:13:08 2018 UTC (0.001 )  Time stamp start 1525421588478213290 end 1525421588477123190  Run 349498, LB 93, lumi 17.05
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:13 2018 UTC-Fri May  4 08:13:13 2018 UTC (0.001 )  Time stamp start 1525421593189441165 end 1525421593188440990  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:16 2018 UTC-Fri May  4 08:13:16 2018 UTC (0.001 )  Time stamp start 1525421596347022195 end 1525421596346022195  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:18 2018 UTC-Fri May  4 08:13:18 2018 UTC (0.001 )  Time stamp start 1525421598802608840 end 1525421598801608840  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:21 2018 UTC-Fri May  4 08:13:21 2018 UTC (0.001 )  Time stamp start 1525421601060345310 end 1525421601059345310  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:29 2018 UTC-Fri May  4 08:13:29 2018 UTC (0.001 )  Time stamp start 1525421609634497490 end 1525421609633497490  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:32 2018 UTC-Fri May  4 08:13:32 2018 UTC (0.001 )  Time stamp start 1525421612308541670 end 1525421612307541670  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:36 2018 UTC-Fri May  4 08:13:36 2018 UTC (0.001 )  Time stamp start 1525421616202159205 end 1525421616201159205  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:40 2018 UTC-Fri May  4 08:13:40 2018 UTC (0.001 )  Time stamp start 1525421620588952180 end 1525421620587952180  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:46 2018 UTC-Fri May  4 08:13:46 2018 UTC (0.001 )  Time stamp start 1525421626244204740 end 1525421626243204740  Run 349498, LB 93, lumi 15.64
Event Veto ['MiniNoiseBurst'], Fri May  4 08:13:52 2018 UTC-Fri May  4 08:13:52 2018 UTC (0.001 )  Time stamp start 1525421632448634400 end 1525421632447634400  Run 349498, LB 94, lumi 15.58
