Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 310247 to 310247
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 310247 to run 310247  lasting from Sun Oct  9 01:34:32 2016 UTC to Sun Oct  9 09:41:02 2016 UTC
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:28:34 2016 UTC-Sun Oct  9 08:28:34 2016 UTC (0.001 )  Time stamp start 1476001714278686895 end 1476001714277686895  Run 310247, LB 428, lumi 7.73
Event Veto ['DataCorruption'], Sun Oct  9 08:28:34 2016 UTC-Sun Oct  9 08:28:38 2016 UTC (4.565 )  Time stamp start 1476001718843811080 end 1476001714278686895  Run 310247, LB 428, lumi 35300.85
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:28:38 2016 UTC-Sun Oct  9 08:28:38 2016 UTC (0.001 )  Time stamp start 1476001718844811080 end 1476001718843811080  Run 310247, LB 428, lumi 7.73
Event Veto ['DataCorruption'], Sun Oct  9 08:28:38 2016 UTC-Sun Oct  9 08:28:48 2016 UTC (9.300 )  Time stamp start 1476001728144996520 end 1476001718844811080  Run 310247, LB 428, lumi 71915.79
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:28:48 2016 UTC-Sun Oct  9 08:28:48 2016 UTC (0.001 )  Time stamp start 1476001728145996520 end 1476001728144996520  Run 310247, LB 428, lumi 7.73
Event Veto ['DataCorruption'], Sun Oct  9 08:28:48 2016 UTC-Sun Oct  9 08:29:01 2016 UTC (13.780 )  Time stamp start 1476001741925764970 end 1476001728145996520  Run 310247, LBs 428-429, lumi 105894.19
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:01 2016 UTC-Sun Oct  9 08:29:01 2016 UTC (0.001 )  Time stamp start 1476001741926764970 end 1476001741925764970  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:01 2016 UTC-Sun Oct  9 08:29:15 2016 UTC (13.895 )  Time stamp start 1476001755822021245 end 1476001741926764970  Run 310247, LB 429, lumi 103130.20
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:15 2016 UTC-Sun Oct  9 08:29:15 2016 UTC (0.001 )  Time stamp start 1476001755823021245 end 1476001755822021245  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:15 2016 UTC-Sun Oct  9 08:29:20 2016 UTC (4.755 )  Time stamp start 1476001760577728815 end 1476001755823021245  Run 310247, LB 429, lumi 35289.30
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:20 2016 UTC-Sun Oct  9 08:29:20 2016 UTC (0.001 )  Time stamp start 1476001760578728815 end 1476001760577728815  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:20 2016 UTC-Sun Oct  9 08:29:25 2016 UTC (4.776 )  Time stamp start 1476001765354705315 end 1476001760578728815  Run 310247, LB 429, lumi 35447.16
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:25 2016 UTC-Sun Oct  9 08:29:25 2016 UTC (0.001 )  Time stamp start 1476001765355705315 end 1476001765354705315  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:25 2016 UTC-Sun Oct  9 08:29:39 2016 UTC (14.114 )  Time stamp start 1476001779469221655 end 1476001765355705315  Run 310247, LB 429, lumi 104750.12
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:39 2016 UTC-Sun Oct  9 08:29:39 2016 UTC (0.001 )  Time stamp start 1476001779470221655 end 1476001779469221655  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:39 2016 UTC-Sun Oct  9 08:29:44 2016 UTC (4.812 )  Time stamp start 1476001784282046260 end 1476001779470221655  Run 310247, LB 429, lumi 35713.23
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:44 2016 UTC-Sun Oct  9 08:29:44 2016 UTC (0.001 )  Time stamp start 1476001784283046260 end 1476001784282046260  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:44 2016 UTC-Sun Oct  9 08:29:49 2016 UTC (4.854 )  Time stamp start 1476001789136605365 end 1476001784283046260  Run 310247, LB 429, lumi 36022.98
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:49 2016 UTC-Sun Oct  9 08:29:49 2016 UTC (0.001 )  Time stamp start 1476001789137605615 end 1476001789136605365  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:49 2016 UTC-Sun Oct  9 08:29:54 2016 UTC (4.869 )  Time stamp start 1476001794006181395 end 1476001789137605615  Run 310247, LB 429, lumi 36134.43
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:29:54 2016 UTC-Sun Oct  9 08:29:54 2016 UTC (0.001 )  Time stamp start 1476001794007181395 end 1476001794006181395  Run 310247, LB 429, lumi 7.42
Event Veto ['DataCorruption'], Sun Oct  9 08:29:54 2016 UTC-Sun Oct  9 08:30:13 2016 UTC (19.827 )  Time stamp start 1476001813833819020 end 1476001794007181395  Run 310247, LBs 429-430, lumi 153162.75
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:13 2016 UTC-Sun Oct  9 08:30:13 2016 UTC (0.001 )  Time stamp start 1476001813834819345 end 1476001813833819020  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:13 2016 UTC-Sun Oct  9 08:30:18 2016 UTC (4.673 )  Time stamp start 1476001818508061550 end 1476001813834819345  Run 310247, LB 430, lumi 36709.58
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:18 2016 UTC-Sun Oct  9 08:30:18 2016 UTC (0.001 )  Time stamp start 1476001818509061675 end 1476001818508061550  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:18 2016 UTC-Sun Oct  9 08:30:23 2016 UTC (4.635 )  Time stamp start 1476001823144484990 end 1476001818509061675  Run 310247, LB 430, lumi 36412.50
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:23 2016 UTC-Sun Oct  9 08:30:23 2016 UTC (0.001 )  Time stamp start 1476001823145484990 end 1476001823144484990  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:23 2016 UTC-Sun Oct  9 08:30:32 2016 UTC (8.890 )  Time stamp start 1476001832035613875 end 1476001823145484990  Run 310247, LB 430, lumi 69834.36
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:32 2016 UTC-Sun Oct  9 08:30:32 2016 UTC (0.001 )  Time stamp start 1476001832036613875 end 1476001832035613875  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:32 2016 UTC-Sun Oct  9 08:30:36 2016 UTC (4.352 )  Time stamp start 1476001836388690500 end 1476001832036613875  Run 310247, LB 430, lumi 34186.73
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:36 2016 UTC-Sun Oct  9 08:30:36 2016 UTC (0.001 )  Time stamp start 1476001836389691025 end 1476001836388690500  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:36 2016 UTC-Sun Oct  9 08:30:40 2016 UTC (4.276 )  Time stamp start 1476001840665364220 end 1476001836389691025  Run 310247, LB 430, lumi 33586.57
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:40 2016 UTC-Sun Oct  9 08:30:40 2016 UTC (0.001 )  Time stamp start 1476001840666364345 end 1476001840665364220  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:40 2016 UTC-Sun Oct  9 08:30:44 2016 UTC (4.130 )  Time stamp start 1476001844796167100 end 1476001840666364345  Run 310247, LB 430, lumi 32440.71
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:44 2016 UTC-Sun Oct  9 08:30:44 2016 UTC (0.001 )  Time stamp start 1476001844797167600 end 1476001844796167100  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:44 2016 UTC-Sun Oct  9 08:30:53 2016 UTC (8.342 )  Time stamp start 1476001853139439660 end 1476001844797167600  Run 310247, LB 430, lumi 65530.80
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:30:53 2016 UTC-Sun Oct  9 08:30:53 2016 UTC (0.001 )  Time stamp start 1476001853140439660 end 1476001853139439660  Run 310247, LB 430, lumi 7.86
Event Veto ['DataCorruption'], Sun Oct  9 08:30:53 2016 UTC-Sun Oct  9 08:31:26 2016 UTC (32.987 )  Time stamp start 1476001886127730950 end 1476001853140439660  Run 310247, LBs 430-431, lumi 274235.17
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:31:26 2016 UTC-Sun Oct  9 08:31:26 2016 UTC (0.001 )  Time stamp start 1476001886128731275 end 1476001886127730950  Run 310247, LB 431, lumi 8.44
Event Veto ['DataCorruption'], Sun Oct  9 08:31:26 2016 UTC-Sun Oct  9 08:31:30 2016 UTC (4.327 )  Time stamp start 1476001890455326705 end 1476001886128731275  Run 310247, LB 431, lumi 36497.98
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:31:30 2016 UTC-Sun Oct  9 08:31:30 2016 UTC (0.001 )  Time stamp start 1476001890456326705 end 1476001890455326705  Run 310247, LB 431, lumi 8.44
Event Veto ['DataCorruption'], Sun Oct  9 08:31:30 2016 UTC-Sun Oct  9 08:31:38 2016 UTC (8.486 )  Time stamp start 1476001898942290080 end 1476001890456326705  Run 310247, LB 431, lumi 71585.28
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:31:38 2016 UTC-Sun Oct  9 08:31:38 2016 UTC (0.001 )  Time stamp start 1476001898943290355 end 1476001898942290080  Run 310247, LB 431, lumi 8.44
Event Veto ['DataCorruption'], Sun Oct  9 08:31:38 2016 UTC-Sun Oct  9 08:31:51 2016 UTC (12.420 )  Time stamp start 1476001911363130200 end 1476001898943290355  Run 310247, LB 431, lumi 104770.40
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:31:51 2016 UTC-Sun Oct  9 08:31:51 2016 UTC (0.001 )  Time stamp start 1476001911364130595 end 1476001911363130200  Run 310247, LB 431, lumi 8.44
Event Veto ['DataCorruption'], Sun Oct  9 08:31:51 2016 UTC-Sun Oct  9 08:32:07 2016 UTC (16.372 )  Time stamp start 1476001927735949175 end 1476001911364130595  Run 310247, LBs 431-432, lumi 142021.79
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:07 2016 UTC-Sun Oct  9 08:32:07 2016 UTC (0.001 )  Time stamp start 1476001927736949575 end 1476001927735949175  Run 310247, LB 432, lumi 8.96
Event Veto ['DataCorruption'], Sun Oct  9 08:32:07 2016 UTC-Sun Oct  9 08:32:14 2016 UTC (7.011 )  Time stamp start 1476001934747934545 end 1476001927736949575  Run 310247, LB 432, lumi 62819.04
Event Veto ['NoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:14 2016 UTC-Sun Oct  9 08:32:14 2016 UTC (0.010 )  Time stamp start 1476001934757953430 end 1476001934747934545  Run 310247, LB 432, lumi 89.77
Event Veto ['DataCorruption'], Sun Oct  9 08:32:14 2016 UTC-Sun Oct  9 08:32:19 2016 UTC (4.382 )  Time stamp start 1476001939139504530 end 1476001934757953430  Run 310247, LB 432, lumi 39259.08
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:19 2016 UTC-Sun Oct  9 08:32:19 2016 UTC (0.001 )  Time stamp start 1476001939140504780 end 1476001939139504530  Run 310247, LB 432, lumi 8.96
Event Veto ['DataCorruption'], Sun Oct  9 08:32:19 2016 UTC-Sun Oct  9 08:32:33 2016 UTC (14.679 )  Time stamp start 1476001953819783470 end 1476001939140504780  Run 310247, LB 432, lumi 131527.63
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:33 2016 UTC-Sun Oct  9 08:32:33 2016 UTC (0.001 )  Time stamp start 1476001953820783470 end 1476001953819783470  Run 310247, LB 432, lumi 8.96
Event Veto ['DataCorruption'], Sun Oct  9 08:32:33 2016 UTC-Sun Oct  9 08:32:37 2016 UTC (4.034 )  Time stamp start 1476001957854478675 end 1476001953820783470  Run 310247, LB 432, lumi 36142.26
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:37 2016 UTC-Sun Oct  9 08:32:37 2016 UTC (0.001 )  Time stamp start 1476001957855478800 end 1476001957854478675  Run 310247, LB 432, lumi 8.96
Event Veto ['DataCorruption'], Sun Oct  9 08:32:37 2016 UTC-Sun Oct  9 08:32:42 2016 UTC (4.225 )  Time stamp start 1476001962080723300 end 1476001957855478800  Run 310247, LB 432, lumi 37858.56
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:42 2016 UTC-Sun Oct  9 08:32:42 2016 UTC (0.001 )  Time stamp start 1476001962081723425 end 1476001962080723300  Run 310247, LB 432, lumi 8.96
Event Veto ['DataCorruption'], Sun Oct  9 08:32:42 2016 UTC-Sun Oct  9 08:32:54 2016 UTC (12.402 )  Time stamp start 1476001974483596220 end 1476001962081723425  Run 310247, LB 432, lumi 111121.87
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:32:54 2016 UTC-Sun Oct  9 08:32:54 2016 UTC (0.001 )  Time stamp start 1476001974484596220 end 1476001974483596220  Run 310247, LB 432, lumi 8.96
Event Veto ['DataCorruption'], Sun Oct  9 08:32:54 2016 UTC-Sun Oct  9 08:33:09 2016 UTC (15.312 )  Time stamp start 1476001989796917975 end 1476001974484596220  Run 310247, LBs 432-433, lumi 147071.39
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:33:09 2016 UTC-Sun Oct  9 08:33:09 2016 UTC (0.001 )  Time stamp start 1476001989797918250 end 1476001989796917975  Run 310247, LB 433, lumi 10.01
Event Veto ['DataCorruption'], Sun Oct  9 08:33:09 2016 UTC-Sun Oct  9 08:33:16 2016 UTC (6.511 )  Time stamp start 1476001996308802890 end 1476001989797918250  Run 310247, LB 433, lumi 65173.29
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:33:16 2016 UTC-Sun Oct  9 08:33:16 2016 UTC (0.001 )  Time stamp start 1476001996309802890 end 1476001996308802890  Run 310247, LB 433, lumi 10.01
Event Veto ['DataCorruption'], Sun Oct  9 08:33:16 2016 UTC-Sun Oct  9 08:33:28 2016 UTC (12.377 )  Time stamp start 1476002008686527010 end 1476001996309802890  Run 310247, LB 433, lumi 123889.75
Event Veto ['MiniNoiseBurst', 'DataCorruption'], Sun Oct  9 08:33:28 2016 UTC-Sun Oct  9 08:33:28 2016 UTC (0.001 )  Time stamp start 1476002008687527010 end 1476002008686527010  Run 310247, LB 433, lumi 10.01
Event Veto ['DataCorruption'], Sun Oct  9 08:33:28 2016 UTC-Sun Oct  9 08:33:42 2016 UTC (13.341 )  Time stamp start 1476002022028876930 end 1476002008687527010  Run 310247, LB 433, lumi 133545.56
