Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 359872 to 359872
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 359872 to run 359872  lasting from Tue Sep  4 05:16:22 2018 UTC to Tue Sep  4 18:30:31 2018 UTC
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:22:22 2018 UTC-Tue Sep  4 06:22:22 2018 UTC (0.001 )  Time stamp start 1536042142293768190 end 1536042142292768190  Run 359872, LB 71, lumi 19.01
Event Veto ['NoiseBurst'], Tue Sep  4 06:23:51 2018 UTC-Tue Sep  4 06:23:51 2018 UTC (0.001 )  Time stamp start 1536042231418814485 end 1536042231417813740  Run 359872, LB 72, lumi 19.01
Event Veto ['NoiseBurst'], Tue Sep  4 06:25:26 2018 UTC-Tue Sep  4 06:25:26 2018 UTC (0.001 )  Time stamp start 1536042326249703950 end 1536042326248703825  Run 359872, LB 74, lumi 18.97
Event Veto ['NoiseBurst'], Tue Sep  4 06:25:43 2018 UTC-Tue Sep  4 06:25:43 2018 UTC (0.001 )  Time stamp start 1536042343463987755 end 1536042343462987005  Run 359872, LB 74, lumi 18.98
Event Veto ['NoiseBurst'], Tue Sep  4 06:25:49 2018 UTC-Tue Sep  4 06:25:49 2018 UTC (0.001 )  Time stamp start 1536042349350186225 end 1536042349349185700  Run 359872, LB 74, lumi 18.98
Event Veto ['NoiseBurst'], Tue Sep  4 06:25:58 2018 UTC-Tue Sep  4 06:25:58 2018 UTC (0.001 )  Time stamp start 1536042358046657815 end 1536042358045657320  Run 359872, LB 74, lumi 18.98
Event Veto ['NoiseBurst'], Tue Sep  4 06:26:06 2018 UTC-Tue Sep  4 06:26:06 2018 UTC (0.001 )  Time stamp start 1536042366729833485 end 1536042366728832860  Run 359872, LB 75, lumi 18.93
Event Veto ['NoiseBurst'], Tue Sep  4 06:26:45 2018 UTC-Tue Sep  4 06:26:45 2018 UTC (0.001 )  Time stamp start 1536042405932889185 end 1536042405931740705  Run 359872, LB 75, lumi 21.72
Event Veto ['MiniNoiseBurst'], Tue Sep  4 06:27:05 2018 UTC-Tue Sep  4 06:27:05 2018 UTC (0.001 )  Time stamp start 1536042425132793405 end 1536042425131793405  Run 359872, LB 75, lumi 18.92
Event Veto ['NoiseBurst'], Tue Sep  4 06:27:48 2018 UTC-Tue Sep  4 06:27:48 2018 UTC (0.002 )  Time stamp start 1536042468780774755 end 1536042468778289910  Run 359872, LB 77, lumi 46.82
Event Veto ['DataCorruption'], Tue Sep  4 06:28:02 2018 UTC-Tue Sep  4 06:28:06 2018 UTC (3.838 )  Time stamp start 1536042486212384880 end 1536042482374337205  Run 359872, LB 77, lumi 72312.35
