Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 350121 to 350121
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 350121 to run 350121  lasting from Sat May 12 02:00:08 2018 UTC to Sat May 12 16:57:50 2018 UTC
Event Veto ['MiniNoiseBurst'], Sat May 12 02:57:48 2018 UTC-Sat May 12 02:57:48 2018 UTC (0.001 )  Time stamp start 1526093868109756680 end 1526093868108756680  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:57:54 2018 UTC-Sat May 12 02:57:54 2018 UTC (0.001 )  Time stamp start 1526093874258040410 end 1526093874257040410  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:57:58 2018 UTC-Sat May 12 02:57:58 2018 UTC (0.001 )  Time stamp start 1526093878804745315 end 1526093878803745315  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:04 2018 UTC-Sat May 12 02:58:04 2018 UTC (0.001 )  Time stamp start 1526093884425421155 end 1526093884424421155  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:07 2018 UTC-Sat May 12 02:58:07 2018 UTC (0.001 )  Time stamp start 1526093887968189900 end 1526093887967189900  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:09 2018 UTC-Sat May 12 02:58:09 2018 UTC (0.001 )  Time stamp start 1526093889816137110 end 1526093889815137110  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:12 2018 UTC-Sat May 12 02:58:12 2018 UTC (0.001 )  Time stamp start 1526093892453107120 end 1526093892452107120  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:23 2018 UTC-Sat May 12 02:58:23 2018 UTC (0.001 )  Time stamp start 1526093903888359665 end 1526093903887359665  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:24 2018 UTC-Sat May 12 02:58:24 2018 UTC (0.001 )  Time stamp start 1526093904883346220 end 1526093904882346220  Run 350121, LB 65, lumi 16.64
Event Veto ['MiniNoiseBurst'], Sat May 12 02:58:57 2018 UTC-Sat May 12 02:58:57 2018 UTC (0.001 )  Time stamp start 1526093937004923940 end 1526093937003923940  Run 350121, LB 67, lumi 18.79
