Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 309516 to 309516
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 309516 to run 309516  lasting from Wed Sep 28 08:36:05 2016 UTC to Thu Sep 29 01:26:21 2016 UTC
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:39 2016 UTC-Wed Sep 28 11:55:39 2016 UTC (0.010 )  Time stamp start 1475063739845141760 end 1475063739835141760  Run 309516, LB 203, lumi 109.15
Event Veto ['NoiseBurst'], Wed Sep 28 11:55:42 2016 UTC-Wed Sep 28 11:55:42 2016 UTC (0.010 )  Time stamp start 1475063742672895010 end 1475063742662851345  Run 309516, LB 203, lumi 109.63
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:42 2016 UTC-Wed Sep 28 11:55:43 2016 UTC (0.019 )  Time stamp start 1475063743009280540 end 1475063742990150565  Run 309516, LB 203, lumi 208.81
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:44 2016 UTC-Wed Sep 28 11:55:44 2016 UTC (0.010 )  Time stamp start 1475063744235439350 end 1475063744225439350  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:46 2016 UTC-Wed Sep 28 11:55:46 2016 UTC (0.010 )  Time stamp start 1475063746249782105 end 1475063746239782105  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:49 2016 UTC-Wed Sep 28 11:55:49 2016 UTC (0.010 )  Time stamp start 1475063749447118495 end 1475063749437118495  Run 309516, LB 203, lumi 109.15
Event Veto ['NoiseBurst'], Wed Sep 28 11:55:50 2016 UTC-Wed Sep 28 11:55:50 2016 UTC (0.015 )  Time stamp start 1475063750810280645 end 1475063750795590030  Run 309516, LB 203, lumi 160.35
Event Veto ['NoiseBurst'], Wed Sep 28 11:55:54 2016 UTC-Wed Sep 28 11:55:54 2016 UTC (0.014 )  Time stamp start 1475063754661658165 end 1475063754647634510  Run 309516, LB 203, lumi 153.07
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:55 2016 UTC-Wed Sep 28 11:55:55 2016 UTC (0.010 )  Time stamp start 1475063755830650240 end 1475063755820650240  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:55:59 2016 UTC-Wed Sep 28 11:55:59 2016 UTC (0.010 )  Time stamp start 1475063759034806290 end 1475063759024806290  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:05 2016 UTC-Wed Sep 28 11:56:05 2016 UTC (0.010 )  Time stamp start 1475063765451029715 end 1475063765441029715  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:11 2016 UTC-Wed Sep 28 11:56:11 2016 UTC (0.018 )  Time stamp start 1475063771745771635 end 1475063771727768760  Run 309516, LB 203, lumi 196.50
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:14 2016 UTC-Wed Sep 28 11:56:14 2016 UTC (0.015 )  Time stamp start 1475063774935430155 end 1475063774920733730  Run 309516, LB 203, lumi 160.41
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:18 2016 UTC-Wed Sep 28 11:56:18 2016 UTC (0.016 )  Time stamp start 1475063778116471465 end 1475063778100668045  Run 309516, LB 203, lumi 172.50
Event Veto ['NoiseBurst'], Wed Sep 28 11:56:20 2016 UTC-Wed Sep 28 11:56:21 2016 UTC (0.010 )  Time stamp start 1475063781000501360 end 1475063780990363905  Run 309516, LB 203, lumi 110.65
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:24 2016 UTC-Wed Sep 28 11:56:24 2016 UTC (0.010 )  Time stamp start 1475063784457277865 end 1475063784447277865  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:27 2016 UTC-Wed Sep 28 11:56:27 2016 UTC (0.010 )  Time stamp start 1475063787567302630 end 1475063787557302380  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:28 2016 UTC-Wed Sep 28 11:56:28 2016 UTC (0.010 )  Time stamp start 1475063788383999535 end 1475063788373999535  Run 309516, LB 203, lumi 109.15
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:30 2016 UTC-Wed Sep 28 11:56:30 2016 UTC (0.011 )  Time stamp start 1475063790042837010 end 1475063790032277515  Run 309516, LB 203, lumi 115.26
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:40 2016 UTC-Wed Sep 28 11:56:40 2016 UTC (0.010 )  Time stamp start 1475063800355269775 end 1475063800345269775  Run 309516, LB 204, lumi 108.94
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:46 2016 UTC-Wed Sep 28 11:56:46 2016 UTC (0.010 )  Time stamp start 1475063806704216555 end 1475063806694216555  Run 309516, LB 204, lumi 108.94
Event Veto ['NoiseBurst'], Wed Sep 28 11:56:48 2016 UTC-Wed Sep 28 11:56:48 2016 UTC (0.010 )  Time stamp start 1475063808669893095 end 1475063808659427040  Run 309516, LB 204, lumi 114.02
Event Veto ['MiniNoiseBurst'], Wed Sep 28 11:56:49 2016 UTC-Wed Sep 28 11:56:49 2016 UTC (0.010 )  Time stamp start 1475063809941442490 end 1475063809931442490  Run 309516, LB 204, lumi 108.94
Event Veto ['NoiseBurst'], Wed Sep 28 11:56:52 2016 UTC-Wed Sep 28 11:56:52 2016 UTC (0.010 )  Time stamp start 1475063812519534965 end 1475063812509418320  Run 309516, LB 204, lumi 110.22
