Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 336832 to 336832
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 336832 to run 336832  lasting from Thu Sep 28 11:32:09 2017 UTC to Fri Sep 29 02:21:09 2017 UTC
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:30:36 2017 UTC-Thu Sep 28 12:30:36 2017 UTC (0.001 )  Time stamp start 1506601836946199440 end 1506601836945199440  Run 336832, LB 65, lumi 15.13
Event Veto ['NoiseBurst'], Thu Sep 28 12:32:30 2017 UTC-Thu Sep 28 12:32:30 2017 UTC (0.001 )  Time stamp start 1506601950673776475 end 1506601950672776350  Run 336832, LB 68, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:33:04 2017 UTC-Thu Sep 28 12:33:04 2017 UTC (0.001 )  Time stamp start 1506601984762134555 end 1506601984761134555  Run 336832, LB 68, lumi 14.94
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:34:00 2017 UTC-Thu Sep 28 12:34:00 2017 UTC (0.001 )  Time stamp start 1506602040089811510 end 1506602040088811510  Run 336832, LB 70, lumi 14.89
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:34:20 2017 UTC-Thu Sep 28 12:34:20 2017 UTC (0.001 )  Time stamp start 1506602060516087855 end 1506602060515087855  Run 336832, LB 70, lumi 14.89
Event Veto ['NoiseBurst'], Thu Sep 28 12:34:33 2017 UTC-Thu Sep 28 12:34:33 2017 UTC (0.001 )  Time stamp start 1506602073862422250 end 1506602073861422000  Run 336832, LB 70, lumi 14.89
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:34:42 2017 UTC-Thu Sep 28 12:34:42 2017 UTC (0.001 )  Time stamp start 1506602082210032980 end 1506602082209032980  Run 336832, LB 71, lumi 14.88
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:34:52 2017 UTC-Thu Sep 28 12:34:52 2017 UTC (0.001 )  Time stamp start 1506602092152449790 end 1506602092151449790  Run 336832, LB 71, lumi 14.88
Event Veto ['MiniNoiseBurst'], Thu Sep 28 12:34:53 2017 UTC-Thu Sep 28 12:34:53 2017 UTC (0.001 )  Time stamp start 1506602093194742080 end 1506602093193742080  Run 336832, LB 71, lumi 14.88
Event Veto ['NoiseBurst'], Thu Sep 28 12:35:19 2017 UTC-Thu Sep 28 12:35:19 2017 UTC (0.001 )  Time stamp start 1506602119219968540 end 1506602119218967665  Run 336832, LB 71, lumi 14.89
