Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 360309 to 360309
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 360309 to run 360309  lasting from Sat Sep  8 15:57:20 2018 UTC to Sun Sep  9 06:07:22 2018 UTC
Event Veto ['NoiseBurst'], Sat Sep  8 17:43:52 2018 UTC-Sat Sep  8 17:43:52 2018 UTC (0.001 )  Time stamp start 1536428632900561275 end 1536428632899560650  Run 360309, LB 113, lumi 17.28
Event Veto ['NoiseBurst'], Sat Sep  8 17:44:10 2018 UTC-Sat Sep  8 17:44:10 2018 UTC (0.001 )  Time stamp start 1536428650160879005 end 1536428650159878130  Run 360309, LB 114, lumi 17.25
Event Veto ['NoiseBurst'], Sat Sep  8 17:44:52 2018 UTC-Sat Sep  8 17:44:52 2018 UTC (0.001 )  Time stamp start 1536428692380935160 end 1536428692379934910  Run 360309, LB 114, lumi 17.24
Event Veto ['NoiseBurst'], Sat Sep  8 17:45:15 2018 UTC-Sat Sep  8 17:45:15 2018 UTC (0.001 )  Time stamp start 1536428715499212265 end 1536428715498211765  Run 360309, LB 115, lumi 17.15
Event Veto ['NoiseBurst'], Sat Sep  8 17:45:26 2018 UTC-Sat Sep  8 17:45:26 2018 UTC (0.001 )  Time stamp start 1536428726956320405 end 1536428726955319655  Run 360309, LB 115, lumi 17.15
Event Veto ['NoiseBurst'], Sat Sep  8 17:45:58 2018 UTC-Sat Sep  8 17:45:58 2018 UTC (0.001 )  Time stamp start 1536428758705455990 end 1536428758704455365  Run 360309, LB 115, lumi 17.15
Event Veto ['NoiseBurst'], Sat Sep  8 17:46:07 2018 UTC-Sat Sep  8 17:46:07 2018 UTC (0.001 )  Time stamp start 1536428767059764815 end 1536428767058764565  Run 360309, LB 116, lumi 17.07
Event Veto ['NoiseBurst'], Sat Sep  8 17:46:39 2018 UTC-Sat Sep  8 17:46:39 2018 UTC (0.001 )  Time stamp start 1536428799950624620 end 1536428799949624245  Run 360309, LB 117, lumi 17.08
Event Veto ['MiniNoiseBurst'], Sat Sep  8 17:47:21 2018 UTC-Sat Sep  8 17:47:21 2018 UTC (0.001 )  Time stamp start 1536428841033012575 end 1536428841032012575  Run 360309, LB 118, lumi 17.04
Event Veto ['NoiseBurst'], Sat Sep  8 17:48:23 2018 UTC-Sat Sep  8 17:48:23 2018 UTC (0.001 )  Time stamp start 1536428903582219710 end 1536428903581219460  Run 360309, LB 119, lumi 16.97
Event Veto ['NoiseBurst'], Sat Sep  8 17:58:01 2018 UTC-Sat Sep  8 17:58:01 2018 UTC (0.001 )  Time stamp start 1536429481638798030 end 1536429481637717390  Run 360309, LB 162, lumi 18.04
Event Veto ['NoiseBurst'], Sat Sep  8 17:58:01 2018 UTC-Sat Sep  8 17:58:01 2018 UTC (0.001 )  Time stamp start 1536429481640619685 end 1536429481639611475  Run 360309, LB 162, lumi 16.83
Event Veto ['NoiseBurst'], Sat Sep  8 17:58:46 2018 UTC-Sat Sep  8 17:58:46 2018 UTC (0.001 )  Time stamp start 1536429526782422010 end 1536429526781421510  Run 360309, LB 163, lumi 16.63
Event Veto ['NoiseBurst'], Sat Sep  8 18:02:45 2018 UTC-Sat Sep  8 18:02:45 2018 UTC (0.001 )  Time stamp start 1536429765231555265 end 1536429765230555015  Run 360309, LB 167, lumi 16.32
Event Veto ['NoiseBurst'], Sat Sep  8 18:05:21 2018 UTC-Sat Sep  8 18:05:21 2018 UTC (0.001 )  Time stamp start 1536429921955627050 end 1536429921954626250  Run 360309, LB 170, lumi 16.28
Event Veto ['NoiseBurst'], Sat Sep  8 18:06:12 2018 UTC-Sat Sep  8 18:06:12 2018 UTC (0.001 )  Time stamp start 1536429972523551715 end 1536429972522551595  Run 360309, LB 170, lumi 16.27
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:06:48 2018 UTC-Sat Sep  8 18:06:48 2018 UTC (0.001 )  Time stamp start 1536430008338235625 end 1536430008337235625  Run 360309, LB 171, lumi 16.22
Event Veto ['MiniNoiseBurst'], Sat Sep  8 18:13:19 2018 UTC-Sat Sep  8 18:13:19 2018 UTC (0.001 )  Time stamp start 1536430399977249395 end 1536430399976249395  Run 360309, LB 178, lumi 15.95
Event Veto ['NoiseBurst'], Sat Sep  8 18:13:59 2018 UTC-Sat Sep  8 18:13:59 2018 UTC (0.001 )  Time stamp start 1536430439457622505 end 1536430439456622260  Run 360309, LB 178, lumi 15.95
Event Veto ['NoiseBurst'], Sat Sep  8 18:15:15 2018 UTC-Sat Sep  8 18:15:15 2018 UTC (0.001 )  Time stamp start 1536430515320791935 end 1536430515319791435  Run 360309, LB 180, lumi 15.54
Event Veto ['NoiseBurst'], Sat Sep  8 18:20:51 2018 UTC-Sat Sep  8 18:20:51 2018 UTC (0.001 )  Time stamp start 1536430851905161630 end 1536430851904161230  Run 360309, LB 186, lumi 17.08
