Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 334678 to 334678
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 334678 to run 334678  lasting from Sat Sep  2 01:40:53 2017 UTC to Sat Sep  2 08:15:10 2017 UTC
Event Veto ['DataCorruption'], Sat Sep  2 01:55:55 2017 UTC-Sat Sep  2 01:55:56 2017 UTC (0.515 )  Time stamp start 1504317356323941125 end 1504317355809419510  Run 334678, LB 17, lumi 0.08
Event Veto ['DataCorruption'], Sat Sep  2 01:55:58 2017 UTC-Sat Sep  2 01:56:00 2017 UTC (2.545 )  Time stamp start 1504317360600557145 end 1504317358055693785  Run 334678, LB 17, lumi 0.41
Event Veto ['DataCorruption'], Sat Sep  2 01:56:00 2017 UTC-Sat Sep  2 01:56:01 2017 UTC (0.917 )  Time stamp start 1504317361893123740 end 1504317360976276125  Run 334678, LBs 17-18, lumi 0.15
Event Veto ['DataCorruption'], Sat Sep  2 01:56:03 2017 UTC-Sat Sep  2 01:56:04 2017 UTC (1.289 )  Time stamp start 1504317364680455695 end 1504317363391490800  Run 334678, LB 18, lumi 0.21
Event Veto ['DataCorruption'], Sat Sep  2 01:56:04 2017 UTC-Sat Sep  2 01:56:05 2017 UTC (0.966 )  Time stamp start 1504317365944435870 end 1504317364978430425  Run 334678, LB 18, lumi 0.16
Event Veto ['DataCorruption'], Sat Sep  2 01:56:07 2017 UTC-Sat Sep  2 01:56:07 2017 UTC (0.871 )  Time stamp start 1504317367903614610 end 1504317367032509535  Run 334678, LB 18, lumi 0.14
Event Veto ['DataCorruption'], Sat Sep  2 01:56:08 2017 UTC-Sat Sep  2 01:56:09 2017 UTC (1.152 )  Time stamp start 1504317369426146360 end 1504317368273894195  Run 334678, LB 18, lumi 0.19
Event Veto ['DataCorruption'], Sat Sep  2 01:56:09 2017 UTC-Sat Sep  2 01:56:11 2017 UTC (1.115 )  Time stamp start 1504317371015578295 end 1504317369900438215  Run 334678, LB 18, lumi 0.18
Event Veto ['DataCorruption'], Sat Sep  2 01:56:11 2017 UTC-Sat Sep  2 01:56:12 2017 UTC (1.425 )  Time stamp start 1504317372441102855 end 1504317371015971995  Run 334678, LB 18, lumi 0.23
Event Veto ['DataCorruption'], Sat Sep  2 01:56:13 2017 UTC-Sat Sep  2 01:56:14 2017 UTC (0.923 )  Time stamp start 1504317374347759975 end 1504317373424949745  Run 334678, LB 18, lumi 0.15
Event Veto ['DataCorruption'], Sat Sep  2 01:56:14 2017 UTC-Sat Sep  2 01:56:15 2017 UTC (0.965 )  Time stamp start 1504317375368925590 end 1504317374403772190  Run 334678, LB 18, lumi 0.16
Event Veto ['DataCorruption'], Sat Sep  2 01:56:16 2017 UTC-Sat Sep  2 01:56:16 2017 UTC (0.646 )  Time stamp start 1504317376714788480 end 1504317376069159105  Run 334678, LB 18, lumi 0.10
Event Veto ['DataCorruption'], Sat Sep  2 01:56:16 2017 UTC-Sat Sep  2 01:56:17 2017 UTC (0.730 )  Time stamp start 1504317377628031285 end 1504317376897636030  Run 334678, LB 18, lumi 0.12
Event Veto ['DataCorruption'], Sat Sep  2 01:56:19 2017 UTC-Sat Sep  2 01:56:19 2017 UTC (0.788 )  Time stamp start 1504317379978424620 end 1504317379190830670  Run 334678, LB 18, lumi 0.13
Event Veto ['DataCorruption'], Sat Sep  2 01:56:20 2017 UTC-Sat Sep  2 01:56:21 2017 UTC (1.575 )  Time stamp start 1504317381686642115 end 1504317380111701380  Run 334678, LB 18, lumi 0.26
