Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 337005 to 337005
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 337005 to run 337005  lasting from Mon Oct  2 04:18:47 2017 UTC to Mon Oct  2 08:30:01 2017 UTC
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:40:22 2017 UTC-Mon Oct  2 05:40:22 2017 UTC (0.001 )  Time stamp start 1506922822110307750 end 1506922822109307750  Run 337005, LB 89, lumi 14.61
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:40:52 2017 UTC-Mon Oct  2 05:40:52 2017 UTC (0.001 )  Time stamp start 1506922852138297130 end 1506922852137297130  Run 337005, LB 90, lumi 14.61
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:40:54 2017 UTC-Mon Oct  2 05:40:54 2017 UTC (0.001 )  Time stamp start 1506922854953149300 end 1506922854952149300  Run 337005, LB 90, lumi 14.61
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:41:07 2017 UTC-Mon Oct  2 05:41:07 2017 UTC (0.001 )  Time stamp start 1506922867523861410 end 1506922867522861410  Run 337005, LB 90, lumi 14.61
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:42:10 2017 UTC-Mon Oct  2 05:42:10 2017 UTC (0.001 )  Time stamp start 1506922930853759450 end 1506922930852759450  Run 337005, LB 92, lumi 14.52
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:42:15 2017 UTC-Mon Oct  2 05:42:15 2017 UTC (0.001 )  Time stamp start 1506922935654227490 end 1506922935653227490  Run 337005, LB 92, lumi 14.52
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:42:30 2017 UTC-Mon Oct  2 05:42:30 2017 UTC (0.001 )  Time stamp start 1506922950832552255 end 1506922950831552255  Run 337005, LB 92, lumi 14.52
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:42:31 2017 UTC-Mon Oct  2 05:42:31 2017 UTC (0.001 )  Time stamp start 1506922951430349900 end 1506922951429349900  Run 337005, LB 92, lumi 14.52
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:43:25 2017 UTC-Mon Oct  2 05:43:25 2017 UTC (0.001 )  Time stamp start 1506923005308524380 end 1506923005307524380  Run 337005, LB 94, lumi 14.45
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:44:03 2017 UTC-Mon Oct  2 05:44:03 2017 UTC (0.001 )  Time stamp start 1506923043151850085 end 1506923043150850085  Run 337005, LB 95, lumi 14.41
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:44:15 2017 UTC-Mon Oct  2 05:44:15 2017 UTC (0.001 )  Time stamp start 1506923055124529925 end 1506923055123529925  Run 337005, LB 95, lumi 14.41
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:44:23 2017 UTC-Mon Oct  2 05:44:23 2017 UTC (0.001 )  Time stamp start 1506923063968531370 end 1506923063967531370  Run 337005, LB 95, lumi 14.41
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:44:55 2017 UTC-Mon Oct  2 05:44:55 2017 UTC (0.001 )  Time stamp start 1506923095898800950 end 1506923095897800950  Run 337005, LB 96, lumi 14.37
Event Veto ['NoiseBurst'], Mon Oct  2 05:45:00 2017 UTC-Mon Oct  2 05:45:00 2017 UTC (0.001 )  Time stamp start 1506923100854957365 end 1506923100853956615  Run 337005, LB 96, lumi 14.38
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:45:08 2017 UTC-Mon Oct  2 05:45:08 2017 UTC (0.001 )  Time stamp start 1506923108121843270 end 1506923108120843270  Run 337005, LB 96, lumi 14.37
Event Veto ['NoiseBurst'], Mon Oct  2 05:45:16 2017 UTC-Mon Oct  2 05:45:16 2017 UTC (0.001 )  Time stamp start 1506923116994834865 end 1506923116993746140  Run 337005, LB 96, lumi 15.65
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:45:22 2017 UTC-Mon Oct  2 05:45:22 2017 UTC (0.001 )  Time stamp start 1506923122014459720 end 1506923122013459720  Run 337005, LB 96, lumi 14.37
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:46:33 2017 UTC-Mon Oct  2 05:46:33 2017 UTC (0.001 )  Time stamp start 1506923193349067110 end 1506923193348067110  Run 337005, LB 98, lumi 14.29
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:48:03 2017 UTC-Mon Oct  2 05:48:03 2017 UTC (0.001 )  Time stamp start 1506923283989385905 end 1506923283988385905  Run 337005, LB 100, lumi 14.25
Event Veto ['MiniNoiseBurst'], Mon Oct  2 05:48:09 2017 UTC-Mon Oct  2 05:48:09 2017 UTC (0.001 )  Time stamp start 1506923289580894565 end 1506923289579894565  Run 337005, LB 100, lumi 14.25
