Warning in <TInterpreter::ReadRootmapFile>: class  UCharDbArray found in libRootCnvDict.so  is already in libStorageSvcDict.so 
Warning in <TInterpreter::ReadRootmapFile>: class  Event found in libtest_GPyTestDict.so  is already in libG4AtlasControlDict.so 
Reading event veto info from db oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2, tag LARBadChannelsOflEventVeto-RUN2-UPD4-10  Run 349335 to 349335
Reading folder /LAR/BadChannelsOfl/EventVeto from DB oracle://ATLAS_COOLPROD;schema=ATLAS_COOLOFL_LAR;dbname=CONDBR2
Data source lookup using /cvmfs/atlas.cern.ch/repo/sw/software/21.0/AtlasCore/21.0.20/InstallArea/x86_64-slc6-gcc62-opt/XML/AtlasAuthentication/dblookup.xml file
Dumping EventVeto data from run 349335 to run 349335  lasting from Wed May  2 08:16:23 2018 UTC to Wed May  2 12:55:30 2018 UTC
Event Veto ['MiniNoiseBurst'], Wed May  2 09:48:45 2018 UTC-Wed May  2 09:48:45 2018 UTC (0.001 )  Time stamp start 1525254525490080045 end 1525254525489080045  Run 349335, LB 98, lumi 15.11
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed May  2 09:49:34 2018 UTC-Wed May  2 09:49:34 2018 UTC (0.001 )  Time stamp start 1525254574903142810 end 1525254574901839760  Run 349335, LB 98, lumi 19.69
Event Veto ['MiniNoiseBurst'], Wed May  2 09:49:35 2018 UTC-Wed May  2 09:49:35 2018 UTC (0.001 )  Time stamp start 1525254575010925810 end 1525254575009925810  Run 349335, LB 98, lumi 15.11
Event Veto ['MiniNoiseBurst'], Wed May  2 09:50:36 2018 UTC-Wed May  2 09:50:36 2018 UTC (0.001 )  Time stamp start 1525254636775033175 end 1525254636774033175  Run 349335, LB 99, lumi 15.06
Event Veto ['MiniNoiseBurst'], Wed May  2 09:50:54 2018 UTC-Wed May  2 09:50:54 2018 UTC (0.001 )  Time stamp start 1525254654927386905 end 1525254654926386905  Run 349335, LB 100, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 09:51:15 2018 UTC-Wed May  2 09:51:15 2018 UTC (0.001 )  Time stamp start 1525254675345487685 end 1525254675344487685  Run 349335, LB 100, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 09:51:16 2018 UTC-Wed May  2 09:51:16 2018 UTC (0.001 )  Time stamp start 1525254676567632745 end 1525254676566632745  Run 349335, LB 100, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 09:51:40 2018 UTC-Wed May  2 09:51:40 2018 UTC (0.001 )  Time stamp start 1525254700337353910 end 1525254700336353910  Run 349335, LB 100, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 09:52:24 2018 UTC-Wed May  2 09:52:24 2018 UTC (0.001 )  Time stamp start 1525254744712403135 end 1525254744711403135  Run 349335, LB 103, lumi 15.07
Event Veto ['MiniNoiseBurst'], Wed May  2 09:52:47 2018 UTC-Wed May  2 09:52:47 2018 UTC (0.001 )  Time stamp start 1525254767233668210 end 1525254767232668210  Run 349335, LB 104, lumi 15.11
Event Veto ['MiniNoiseBurst'], Wed May  2 09:52:51 2018 UTC-Wed May  2 09:52:51 2018 UTC (0.001 )  Time stamp start 1525254771814593895 end 1525254771813593895  Run 349335, LB 104, lumi 15.11
Event Veto ['NoiseBurst'], Wed May  2 09:53:17 2018 UTC-Wed May  2 09:53:17 2018 UTC (0.001 )  Time stamp start 1525254797147615210 end 1525254797146335710  Run 349335, LB 104, lumi 19.33
Event Veto ['NoiseBurst'], Wed May  2 09:53:43 2018 UTC-Wed May  2 09:53:43 2018 UTC (0.001 )  Time stamp start 1525254823592858935 end 1525254823591691595  Run 349335, LB 104, lumi 17.64
Event Veto ['MiniNoiseBurst'], Wed May  2 09:54:01 2018 UTC-Wed May  2 09:54:01 2018 UTC (0.001 )  Time stamp start 1525254841656434895 end 1525254841655434895  Run 349335, LB 105, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:54:08 2018 UTC-Wed May  2 09:54:08 2018 UTC (0.001 )  Time stamp start 1525254848942929045 end 1525254848941929045  Run 349335, LB 105, lumi 15.00
Event Veto ['MiniNoiseBurst'], Wed May  2 09:55:00 2018 UTC-Wed May  2 09:55:00 2018 UTC (0.001 )  Time stamp start 1525254900375615480 end 1525254900374615480  Run 349335, LB 106, lumi 14.95
Event Veto ['MiniNoiseBurst'], Wed May  2 09:55:36 2018 UTC-Wed May  2 09:55:36 2018 UTC (0.001 )  Time stamp start 1525254936086032680 end 1525254936085032680  Run 349335, LB 107, lumi 14.84
Event Veto ['MiniNoiseBurst'], Wed May  2 09:56:01 2018 UTC-Wed May  2 09:56:01 2018 UTC (0.001 )  Time stamp start 1525254961383333920 end 1525254961382333920  Run 349335, LB 107, lumi 14.84
Event Veto ['NoiseBurst', 'MiniNoiseBurst'], Wed May  2 09:56:08 2018 UTC-Wed May  2 09:56:08 2018 UTC (0.001 )  Time stamp start 1525254968949067330 end 1525254968948067330  Run 349335, LB 107, lumi 14.84
Event Veto ['MiniNoiseBurst'], Wed May  2 09:56:15 2018 UTC-Wed May  2 09:56:15 2018 UTC (0.001 )  Time stamp start 1525254975127804000 end 1525254975126804000  Run 349335, LB 107, lumi 14.84
Event Veto ['MiniNoiseBurst'], Wed May  2 09:56:37 2018 UTC-Wed May  2 09:56:37 2018 UTC (0.001 )  Time stamp start 1525254997210211245 end 1525254997209211245  Run 349335, LB 108, lumi 14.76
Event Veto ['NoiseBurst'], Wed May  2 09:56:37 2018 UTC-Wed May  2 09:56:37 2018 UTC (0.001 )  Time stamp start 1525254997980777875 end 1525254997979777380  Run 349335, LB 108, lumi 14.77
Event Veto ['MiniNoiseBurst'], Wed May  2 09:56:47 2018 UTC-Wed May  2 09:56:47 2018 UTC (0.001 )  Time stamp start 1525255007563628845 end 1525255007562628845  Run 349335, LB 108, lumi 14.76
Event Veto ['MiniNoiseBurst'], Wed May  2 09:56:58 2018 UTC-Wed May  2 09:56:58 2018 UTC (0.001 )  Time stamp start 1525255018024371345 end 1525255018023371345  Run 349335, LB 108, lumi 14.76
Event Veto ['MiniNoiseBurst'], Wed May  2 09:57:17 2018 UTC-Wed May  2 09:57:17 2018 UTC (0.001 )  Time stamp start 1525255037780092355 end 1525255037779092355  Run 349335, LB 109, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed May  2 09:57:36 2018 UTC-Wed May  2 09:57:36 2018 UTC (0.001 )  Time stamp start 1525255056324357320 end 1525255056323357320  Run 349335, LB 109, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed May  2 09:58:00 2018 UTC-Wed May  2 09:58:00 2018 UTC (0.001 )  Time stamp start 1525255080105893825 end 1525255080104893825  Run 349335, LB 109, lumi 14.72
Event Veto ['MiniNoiseBurst'], Wed May  2 10:04:23 2018 UTC-Wed May  2 10:04:23 2018 UTC (0.001 )  Time stamp start 1525255463587069300 end 1525255463586069300  Run 349335, LB 148, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 10:04:51 2018 UTC-Wed May  2 10:04:51 2018 UTC (0.001 )  Time stamp start 1525255491217739025 end 1525255491216739025  Run 349335, LB 149, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 10:05:05 2018 UTC-Wed May  2 10:05:05 2018 UTC (0.001 )  Time stamp start 1525255505302878140 end 1525255505301878140  Run 349335, LB 149, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 10:05:07 2018 UTC-Wed May  2 10:05:07 2018 UTC (0.001 )  Time stamp start 1525255507758503230 end 1525255507757503230  Run 349335, LB 149, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 10:05:15 2018 UTC-Wed May  2 10:05:15 2018 UTC (0.001 )  Time stamp start 1525255515662373040 end 1525255515661373040  Run 349335, LB 149, lumi 14.68
Event Veto ['MiniNoiseBurst'], Wed May  2 10:05:45 2018 UTC-Wed May  2 10:05:45 2018 UTC (0.001 )  Time stamp start 1525255545513855760 end 1525255545512855760  Run 349335, LB 151, lumi 14.23
Event Veto ['MiniNoiseBurst'], Wed May  2 10:07:40 2018 UTC-Wed May  2 10:07:40 2018 UTC (0.001 )  Time stamp start 1525255660631354285 end 1525255660630354285  Run 349335, LB 152, lumi 13.93
Event Veto ['NoiseBurst'], Wed May  2 10:07:44 2018 UTC-Wed May  2 10:07:44 2018 UTC (0.003 )  Time stamp start 1525255664660578320 end 1525255664657800305  Run 349335, LB 153, lumi 41.40
Event Veto ['MiniNoiseBurst'], Wed May  2 10:07:55 2018 UTC-Wed May  2 10:07:55 2018 UTC (0.001 )  Time stamp start 1525255675658347325 end 1525255675657347325  Run 349335, LB 153, lumi 14.90
Event Veto ['MiniNoiseBurst'], Wed May  2 10:08:39 2018 UTC-Wed May  2 10:08:39 2018 UTC (0.001 )  Time stamp start 1525255719929976410 end 1525255719928976410  Run 349335, LB 153, lumi 14.90
Event Veto ['MiniNoiseBurst'], Wed May  2 10:09:03 2018 UTC-Wed May  2 10:09:03 2018 UTC (0.001 )  Time stamp start 1525255743602275385 end 1525255743601275385  Run 349335, LB 154, lumi 14.88
Event Veto ['MiniNoiseBurst'], Wed May  2 10:09:03 2018 UTC-Wed May  2 10:09:03 2018 UTC (0.001 )  Time stamp start 1525255743981469450 end 1525255743980469450  Run 349335, LB 154, lumi 14.88
Event Veto ['MiniNoiseBurst'], Wed May  2 10:09:14 2018 UTC-Wed May  2 10:09:14 2018 UTC (0.001 )  Time stamp start 1525255754558681330 end 1525255754557681330  Run 349335, LB 154, lumi 14.88
Event Veto ['MiniNoiseBurst'], Wed May  2 10:09:48 2018 UTC-Wed May  2 10:09:48 2018 UTC (0.001 )  Time stamp start 1525255788603222390 end 1525255788602222390  Run 349335, LB 155, lumi 14.86
Event Veto ['MiniNoiseBurst'], Wed May  2 10:09:49 2018 UTC-Wed May  2 10:09:49 2018 UTC (0.001 )  Time stamp start 1525255789535399500 end 1525255789534399500  Run 349335, LB 155, lumi 14.86
Event Veto ['MiniNoiseBurst'], Wed May  2 10:10:07 2018 UTC-Wed May  2 10:10:07 2018 UTC (0.001 )  Time stamp start 1525255807346006490 end 1525255807345005970  Run 349335, LB 156, lumi 14.86
Event Veto ['MiniNoiseBurst'], Wed May  2 10:10:29 2018 UTC-Wed May  2 10:10:29 2018 UTC (0.001 )  Time stamp start 1525255829844243500 end 1525255829843243500  Run 349335, LB 157, lumi 14.74
Event Veto ['MiniNoiseBurst'], Wed May  2 10:11:26 2018 UTC-Wed May  2 10:11:26 2018 UTC (0.001 )  Time stamp start 1525255886257504485 end 1525255886256504485  Run 349335, LB 158, lumi 14.70
Event Veto ['MiniNoiseBurst'], Wed May  2 10:12:31 2018 UTC-Wed May  2 10:12:31 2018 UTC (0.001 )  Time stamp start 1525255951547980900 end 1525255951546980900  Run 349335, LB 159, lumi 14.82
Event Veto ['MiniNoiseBurst'], Wed May  2 10:14:15 2018 UTC-Wed May  2 10:14:15 2018 UTC (0.001 )  Time stamp start 1525256055562284410 end 1525256055561284410  Run 349335, LB 162, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed May  2 10:14:24 2018 UTC-Wed May  2 10:14:24 2018 UTC (0.001 )  Time stamp start 1525256064945031520 end 1525256064944031520  Run 349335, LB 162, lumi 14.93
Event Veto ['MiniNoiseBurst'], Wed May  2 10:14:39 2018 UTC-Wed May  2 10:14:39 2018 UTC (0.001 )  Time stamp start 1525256079844260260 end 1525256079843260260  Run 349335, LB 163, lumi 14.95
Event Veto ['MiniNoiseBurst'], Wed May  2 10:15:14 2018 UTC-Wed May  2 10:15:14 2018 UTC (0.001 )  Time stamp start 1525256114143081360 end 1525256114142081360  Run 349335, LB 164, lumi 14.88
Event Veto ['MiniNoiseBurst'], Wed May  2 10:16:48 2018 UTC-Wed May  2 10:16:48 2018 UTC (0.001 )  Time stamp start 1525256208110553830 end 1525256208109553830  Run 349335, LB 166, lumi 14.81
